split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,class_0,class_1
train,0.9824340343475342,2.021383285522461,0.599136471748352,-0.5885146260261536,0.5427146553993225,-1.5960803031921387,-0.9656261801719666,0.7741356492042542,1.1244372129440308,1.0,0.0
train,-0.33932486176490784,2.295016288757324,1.5358412265777588,-0.7281823754310608,-0.8734912872314453,-0.9008272290229797,-0.7758047580718994,1.8666843175888062,0.4340640902519226,0.0,1.0
train,0.8279860019683838,2.687054395675659,1.022853136062622,0.12883596122264862,0.6186130046844482,-1.33621346950531,-1.166261911392212,0.7677794098854065,0.8770212531089783,1.0,0.0
train,1.0251322984695435,3.120500326156616,0.1454213410615921,-0.5384750366210938,1.0150762796401978,-0.8009877800941467,-1.4329229593276978,0.14600428938865662,1.5456346273422241,0.0,1.0
train,0.0324348583817482,2.7560853958129883,0.6526349186897278,-0.2808654010295868,0.5392166972160339,-1.3055094480514526,-0.6494148373603821,0.4020383358001709,0.5156709551811218,1.0,0.0
train,0.6332604885101318,1.4022791385650635,1.1672961711883545,-0.031893618404865265,0.9871373772621155,-1.925889253616333,-1.520627498626709,1.317198395729065,0.20231683552265167,0.0,1.0
train,0.5498642325401306,1.8692588806152344,1.1513278484344482,-0.3860068917274475,-0.31940340995788574,-1.2037659883499146,-1.0087330341339111,0.9595091342926025,0.8323020339012146,1.0,0.0
train,-0.1943402737379074,2.4387574195861816,0.42259517312049866,-0.7855676412582397,0.25507649779319763,-2.9324560165405273,0.32157543301582336,0.8547454476356506,1.031481146812439,0.0,1.0
train,0.8217647671699524,2.4160728454589844,1.0964382886886597,-0.17797382175922394,-0.5349481701850891,-1.5663264989852905,-0.07696202397346497,0.6669977903366089,0.8344175219535828,1.0,0.0
train,1.2796845436096191,1.7061458826065063,1.386574387550354,-1.4071714878082275,-0.5990115404129028,-0.9949265122413635,-0.04485273361206055,0.5660136342048645,1.0287013053894043,0.0,1.0
