split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,class_0,class_1,class_2,class_3,class_4
train,-1.5229042768478394,-0.8546434044837952,-0.943956732749939,0.5255249738693237,0.7212796807289124,-0.8387587070465088,0.7016197443008423,0.2866213917732239,-0.5631383657455444,1.0,0.0,0.0,0.0,0.0
train,-0.6518018841743469,-0.7608619332313538,-0.6214547753334045,0.7499901056289673,1.2430262565612793,-0.8196594715118408,2.043142795562744,0.8186295628547668,0.25649577379226685,0.0,1.0,0.0,0.0,0.0
train,-0.8853517770767212,-0.6148125529289246,-1.8903803825378418,1.5709166526794434,2.691131591796875,-1.066837191581726,-0.15117037296295166,0.6732043027877808,-1.2376306056976318,0.0,0.0,1.0,0.0,0.0
train,-0.6898555755615234,-2.178990364074707,-1.901963710784912,1.3154833316802979,1.2991516590118408,-1.2421739101409912,2.484492063522339,-1.9032167196273804,-2.103403091430664,0.0,0.0,0.0,1.0,0.0
train,-1.095126986503601,0.5802122950553894,3.149851083755493,-0.9344573616981506,-0.5773884654045105,-0.33079788088798523,2.030334234237671,-0.3616630434989929,-0.08044816553592682,0.0,0.0,0.0,0.0,1.0
train,-0.9755092263221741,-0.26911047101020813,-1.0497328042984009,-0.28000885248184204,0.7659658193588257,0.14845342934131622,0.48150134086608887,0.19819051027297974,-0.7694861888885498,1.0,0.0,0.0,0.0,0.0
train,-0.5832536816596985,-0.42920857667922974,-1.1852983236312866,-0.6636655330657959,0.865222156047821,-1.158151388168335,-0.04659368097782135,-0.4503646194934845,-1.4810370206832886,0.0,1.0,0.0,0.0,0.0
train,-0.828684389591217,0.4675767719745636,-2.409139394760132,-0.12096011638641357,-1.189786434173584,-1.5548489093780518,1.6234943866729736,-0.347805917263031,0.571689784526825,0.0,0.0,1.0,0.0,0.0
train,0.7826417088508606,0.7486599087715149,-1.2111008167266846,-1.578118085861206,1.4801298379898071,0.0577494315803051,0.5698237419128418,2.1702451705932617,1.262725830078125,0.0,0.0,0.0,1.0,0.0
train,2.2796754837036133,-0.7731653451919556,-0.7981674671173096,-1.7447607517242432,-0.5741589069366455,-2.7365481853485107,2.690669298171997,0.32765254378318787,-0.11551403254270554,0.0,0.0,0.0,0.0,1.0
train,-0.9696222543716431,-0.8476574420928955,-0.7930130362510681,0.459238737821579,0.09778400510549545,-0.0687323585152626,0.8060246109962463,0.7597408890724182,-0.9807730913162231,1.0,0.0,0.0,0.0,0.0
train,0.021139562129974365,-1.3662952184677124,-0.6889736652374268,-0.6756045818328857,0.15321271121501923,0.01882365345954895,0.7201029062271118,1.042484998703003,-1.0509896278381348,0.0,1.0,0.0,0.0,0.0
train,-1.301478385925293,-0.8226357698440552,-0.24793057143688202,1.2015109062194824,0.4470539093017578,-2.2866175174713135,0.23539133369922638,1.7854804992675781,0.3619788587093353,0.0,0.0,1.0,0.0,0.0
train,-3.1271398067474365,-0.9345238208770752,-0.798843502998352,1.2192498445510864,0.5251087546348572,-1.2665842771530151,-1.1164218187332153,2.4123623371124268,0.3294689655303955,0.0,0.0,0.0,1.0,0.0
train,-1.5649631023406982,-1.0396958589553833,-1.2191029787063599,-0.14423935115337372,3.473797559738159,2.3512766361236572,1.967287540435791,-1.9719529151916504,0.4376992881298065,0.0,0.0,0.0,0.0,1.0
train,-1.399276614189148,-0.5047639608383179,-1.790381908416748,0.8712451457977295,0.6369626522064209,-0.49099835753440857,0.6781196594238281,0.3932684063911438,-0.46978554129600525,1.0,0.0,0.0,0.0,0.0
train,-0.8033642172813416,-0.1895207166671753,-1.0254870653152466,0.21370066702365875,0.6324259638786316,-1.7290221452713013,2.0609445571899414,0.7020291090011597,-0.8152471780776978,0.0,1.0,0.0,0.0,0.0
train,-0.726570188999176,-1.6966019868850708,-0.04070942476391792,0.9335850477218628,-0.6777252554893494,-2.289860486984253,0.7845693826675415,0.776411771774292,0.2501937448978424,0.0,0.0,1.0,0.0,0.0
train,0.8439773321151733,-1.4527403116226196,-2.2428009510040283,0.0003688932047225535,0.1514301896095276,-1.7526320219039917,-0.6450383067131042,-1.0752798318862915,-2.800649642944336,0.0,0.0,0.0,1.0,0.0
train,0.7796755433082581,-1.7076878547668457,-0.5279590487480164,-2.752342939376831,1.0367029905319214,-3.1308135986328125,-0.49643996357917786,0.36602142453193665,0.5427701473236084,0.0,0.0,0.0,0.0,1.0
train,-0.5863690376281738,-0.39619749784469604,-1.0785367488861084,-0.04353401064872742,0.5430882573127747,-0.9551547169685364,0.974732518196106,0.5249923467636108,-1.0488271713256836,1.0,0.0,0.0,0.0,0.0
train,-0.15890291333198547,-0.05441344901919365,-1.5510023832321167,-0.05392301827669144,0.004046405665576458,-0.8372746109962463,0.3016059100627899,0.4928736090660095,-2.061586856842041,0.0,1.0,0.0,0.0,0.0
train,-1.0368335247039795,-0.3174881339073181,-0.8537333011627197,-1.4671480655670166,0.7580749988555908,-0.923202395439148,2.8580586910247803,1.0747780799865723,-0.4208132326602936,0.0,0.0,1.0,0.0,0.0
train,-1.5409270524978638,-2.3620986938476562,-2.5356287956237793,1.20142662525177,1.8235832452774048,2.189944267272949,0.03951819986104965,0.6392892599105835,-1.1290651559829712,0.0,0.0,0.0,1.0,0.0
train,-0.8503181338310242,0.6088619828224182,-3.702118396759033,-3.135099172592163,-1.4157546758651733,0.480256050825119,-0.040224455296993256,0.2537454664707184,-1.2279468774795532,0.0,0.0,0.0,0.0,1.0
val,-1.2266074419021606,-0.20146393775939941,-0.7704556584358215,0.3718966245651245,0.6841803789138794,-0.8981992602348328,0.8057383298873901,0.5624898076057434,-0.11344697326421738,1.0,0.0,0.0,0.0,0.0
val,-1.091495156288147,-0.561502993106842,-1.0617413520812988,1.2050672769546509,1.0373388528823853,0.4874693751335144,0.8805770874023438,1.5385550260543823,-1.21445894241333,0.0,1.0,0.0,0.0,0.0
val,0.014421449974179268,-1.3878631591796875,-0.42037737369537354,2.2271790504455566,0.20895355939865112,0.36830079555511475,1.8221818208694458,1.4837629795074463,-0.16821730136871338,0.0,0.0,1.0,0.0,0.0
val,-0.5731148719787598,-0.3266596496105194,-2.2264556884765625,-1.2168396711349487,1.974507212638855,-1.0760645866394043,1.4712964296340942,0.6210716366767883,-3.5020694732666016,0.0,0.0,0.0,1.0,0.0
val,0.10024556517601013,-2.3527603149414062,0.8136423826217651,-1.4360483884811401,1.7684704065322876,-0.37746426463127136,2.8114418983459473,2.9453532695770264,-0.9242033958435059,0.0,0.0,0.0,0.0,1.0
val,-0.9000088572502136,-0.7167591452598572,-1.0394222736358643,0.5871233344078064,-0.19463585317134857,-0.7597275376319885,0.807227611541748,-0.0433366596698761,-0.07609823346138,1.0,0.0,0.0,0.0,0.0
val,-0.6289509534835815,-0.7550306916236877,-1.567623257637024,0.8861477375030518,0.917500913143158,-0.709353506565094,0.04979763925075531,1.1537667512893677,0.8306618928909302,0.0,1.0,0.0,0.0,0.0
