split,feature_0,feature_1,feature_2,feature_3,feature_4,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
train,0.9299121499061584,-0.5696011781692505,-0.6987743973731995,-1.6353334188461304,-1.579066514968872,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.959082305431366,-1.0146349668502808,0.6773303151130676,-1.2035202980041504,-0.18832877278327942,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.7380585670471191,-0.16166217625141144,1.829445242881775,-0.0892307311296463,-2.1938350200653076,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,3.445800304412842,0.8420614004135132,-0.5067799687385559,1.1160742044448853,-1.3759267330169678,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.7443464994430542,-2.6905553340911865,-2.859222650527954,1.0224907398223877,0.8980109691619873,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-1.5867689847946167,1.058255910873413,0.902226448059082,3.566354990005493,-3.257904291152954,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-4.295225620269775,-0.6999074816703796,-0.3893701434135437,3.6217689514160156,-2.6261401176452637,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,1.8296027183532715,-1.2461737394332886,-1.7749196290969849,5.494872093200684,2.854990005493164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,2.5956687927246094,7.411259174346924,-2.107278823852539,-3.161064386367798,-3.9215359687805176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-7.35917329788208,1.877060055732727,2.5789999961853027,1.15073561668396,-5.369741439819336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,0.16900725662708282,0.021235378459095955,-1.1299010515213013,-1.1214581727981567,-0.597323477268219,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.519655704498291,0.23184797167778015,-0.0524410717189312,-2.956272602081299,-0.21163128316402435,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.104485273361206,0.13192881643772125,-1.080191969871521,-3.8183329105377197,-1.9135591983795166,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-2.140058994293213,0.34066474437713623,-3.155172109603882,-0.8332942128181458,-0.16841697692871094,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.1345725059509277,-3.4964356422424316,2.9969797134399414,-1.414799451828003,0.22598537802696228,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,4.349602699279785,3.0188357830047607,1.2591789960861206,-3.586581230163574,0.1979982852935791,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,2.2876129150390625,-0.8660311698913574,4.138949394226074,-2.7013862133026123,3.89461350440979,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-1.4645254611968994,3.10548996925354,-6.661935329437256,0.6354331374168396,1.2354323863983154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,5.222728729248047,1.2968789339065552,-4.050215244293213,-6.908061981201172,2.1153507232666016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,0.9557141065597534,6.73286771774292,-2.5170600414276123,-3.8978426456451416,5.180760383605957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,0.24178476631641388,-1.0071516036987305,0.25929340720176697,-0.9907876253128052,-0.5406075716018677,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.3992222547531128,-0.10979095101356506,-0.5995332598686218,-0.6662754416465759,-0.6267581582069397,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.776923179626465,-0.5580223798751831,-2.2280049324035645,-1.2636082172393799,-0.9074683785438538,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,3.5147149562835693,0.19399528205394745,-2.6864209175109863,-0.7105947136878967,-1.6786465644836426,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.29312852025032043,-4.001936912536621,-2.3571178913116455,1.5550202131271362,-0.9077039361000061,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,1.6875420808792114,3.17205548286438,-4.831089019775391,0.030046971514821053,-1.3122378587722778,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,3.260091781616211,-5.661016464233398,-3.2503936290740967,0.47039058804512024,0.4144217371940613,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,5.626550674438477,-3.341585636138916,2.3997528553009033,-5.752364635467529,-1.5932198762893677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,1.2887365818023682,-3.495009183883667,5.551297187805176,-6.431551933288574,2.0257673263549805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,2.133449077606201,-5.475569248199463,4.791851997375488,-5.563210487365723,4.168766975402832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-0.0002849064767360687,-0.24241580069065094,-0.5082166194915771,-1.2203996181488037,-1.7854902744293213,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.195696473121643,-1.713193655014038,-0.9233132600784302,-1.1522114276885986,0.2113652229309082,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.9442965984344482,-1.9216183423995972,-0.7296376824378967,-0.15730524063110352,-2.753350257873535,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.500861883163452,1.9638437032699585,-1.0421819686889648,0.16941891610622406,1.0718172788619995,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-2.827106475830078,-1.0910192728042603,-3.9937918186187744,-1.2337024211883545,-1.3772364854812622,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-3.690495491027832,2.705099582672119,-3.340397834777832,-0.747283399105072,-0.9252520799636841,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,0.13493062555789948,-3.9719576835632324,5.046340465545654,0.8741739392280579,0.7100346684455872,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
