split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,class_0,class_1,class_2,class_3,class_4,class_5,class_6
train,0.3095788359642029,2.1473336219787598,0.11688464134931564,-1.172546148300171,1.3719605207443237,0.36102497577667236,-1.2213236093521118,-0.5383379459381104,-1.8143548965454102,1.5631085634231567,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.7211792469024658,1.8946119546890259,0.7673537135124207,-1.6441144943237305,0.8804757595062256,0.08684966713190079,0.2689310312271118,-0.8036692142486572,-1.0631604194641113,2.089521884918213,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-0.2195366770029068,3.741488456726074,-1.3980625867843628,-1.472801685333252,0.6265100240707397,-0.06332147866487503,-1.693705677986145,-0.5389476418495178,-1.695286512374878,0.9277073740959167,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,0.6611286997795105,1.2740471363067627,0.6971474885940552,-1.6872626543045044,1.9440232515335083,0.5102590918540955,-4.222771644592285,0.9492451548576355,-0.580041766166687,3.053096294403076,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,2.335106372833252,4.6544928550720215,0.7009862661361694,0.09833125025033951,0.30390650033950806,0.5517473816871643,-3.184866189956665,-1.4265705347061157,-0.35509392619132996,4.784013748168945,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-2.082420825958252,4.930774211883545,0.49208661913871765,-2.8719587326049805,3.1248860359191895,1.552474856376648,-0.9401755332946777,-3.042088508605957,0.11892503499984741,2.6275365352630615,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-2.8388619422912598,4.088261127471924,-2.1027305126190186,-1.5592544078826904,0.63037109375,2.3704488277435303,2.4959046840667725,-0.012471538037061691,-3.9720661640167236,2.7397260665893555,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,0.5007134675979614,2.3890063762664795,0.29434463381767273,-1.0051748752593994,0.5592972636222839,0.8073345422744751,-1.0205786228179932,-0.8715728521347046,-1.8615223169326782,2.3019468784332275,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.6898019909858704,2.715081214904785,-0.24990388751029968,-1.4491842985153198,1.1511799097061157,1.6612845659255981,-1.1097726821899414,-1.5097111463546753,-1.6958696842193604,1.4095723628997803,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,0.9388157725334167,3.404937267303467,2.0818684101104736,-0.7760782837867737,1.1459745168685913,-1.088688611984253,-1.721087098121643,0.1855965256690979,-1.3596585988998413,1.9467581510543823,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,0.8398321270942688,3.867313861846924,-1.2688366174697876,-1.459912657737732,1.8872231245040894,-1.0345542430877686,-1.2669034004211426,0.010530649684369564,-1.5356429815292358,4.178811073303223,0.0,0.0,0.0,1.0,0.0,0.0,0.0
