split,feature_0,feature_1,feature_2,feature_3,class_0,class_1,class_2,class_3,class_4,class_5
train,0.7586201429367065,0.558463990688324,-0.1449933499097824,-0.6566367745399475,1.0,0.0,0.0,0.0,0.0,0.0
train,1.5596559047698975,-1.431351661682129,-1.8760604858398438,0.02473086304962635,0.0,1.0,0.0,0.0,0.0,0.0
train,3.4422552585601807,-0.8309842348098755,-1.8420699834823608,-0.9944819808006287,0.0,0.0,1.0,0.0,0.0,0.0
train,1.6747463941574097,3.1389381885528564,-1.6806583404541016,1.645824909210205,0.0,0.0,0.0,1.0,0.0,0.0
train,2.6895484924316406,-0.11485917866230011,1.8244304656982422,-4.2583794593811035,0.0,0.0,0.0,0.0,1.0,0.0
train,-2.2857701778411865,-4.101507663726807,-0.93485027551651,2.926889657974243,0.0,0.0,0.0,0.0,0.0,1.0
train,0.34782037138938904,0.12393129616975784,-1.0598386526107788,-0.16182957589626312,1.0,0.0,0.0,0.0,0.0,0.0
train,0.879901647567749,-1.9717546701431274,-0.40556028485298157,-0.9540835022926331,0.0,1.0,0.0,0.0,0.0,0.0
train,1.7657886743545532,-2.5802559852600098,1.2171366214752197,0.05086299777030945,0.0,0.0,1.0,0.0,0.0,0.0
train,1.563857913017273,-0.8107602596282959,3.2505671977996826,1.2769938707351685,0.0,0.0,0.0,1.0,0.0,0.0
train,3.6753296852111816,2.233807325363159,-1.6025832891464233,-3.4023096561431885,0.0,0.0,0.0,0.0,1.0,0.0
train,-3.413364887237549,3.665684223175049,0.7380176782608032,0.08090482652187347,0.0,0.0,0.0,0.0,0.0,1.0
train,1.4319117069244385,-0.09886421263217926,-0.5186558365821838,0.8154754638671875,1.0,0.0,0.0,0.0,0.0,0.0
train,-0.578143298625946,-0.5278589129447937,0.6920610666275024,-0.09336523711681366,0.0,1.0,0.0,0.0,0.0,0.0
train,2.355689525604248,-1.073273777961731,0.9611917734146118,2.0423290729522705,0.0,0.0,1.0,0.0,0.0,0.0
train,1.0146963596343994,-2.1167919635772705,-1.0225366353988647,-3.5412540435791016,0.0,0.0,0.0,1.0,0.0,0.0
train,3.2807881832122803,-4.168388843536377,-1.911555528640747,-1.4425737857818604,0.0,0.0,0.0,0.0,1.0,0.0
train,2.189387083053589,-2.940002202987671,-5.612875461578369,0.0015881784493103623,0.0,0.0,0.0,0.0,0.0,1.0
train,1.2817102670669556,-0.28354090452194214,-0.8059147000312805,0.7835454344749451,1.0,0.0,0.0,0.0,0.0,0.0
train,2.4986512660980225,0.028334418311715126,-0.5161985158920288,-1.4595961570739746,0.0,1.0,0.0,0.0,0.0,0.0
train,1.8707184791564941,-2.934084892272949,-0.11751910299062729,0.6781395077705383,0.0,0.0,1.0,0.0,0.0,0.0
train,0.5446406602859497,-2.626546859741211,2.649531841278076,0.47517356276512146,0.0,0.0,0.0,1.0,0.0,0.0
train,-1.021039605140686,0.4732508361339569,3.984238386154175,-1.0746302604675293,0.0,0.0,0.0,0.0,1.0,0.0
train,-4.382604598999023,1.0508143901824951,0.8674926161766052,1.7324117422103882,0.0,0.0,0.0,0.0,0.0,1.0
train,0.605262815952301,-0.7241783738136292,0.10249295085668564,-0.5794031620025635,1.0,0.0,0.0,0.0,0.0,0.0
train,-0.7965165376663208,-0.3557398319244385,-1.1556340456008911,-0.19508115947246552,0.0,1.0,0.0,0.0,0.0,0.0
train,0.6137900352478027,2.3138716220855713,-1.479071021080017,-1.3243751525878906,0.0,0.0,1.0,0.0,0.0,0.0
train,3.4755966663360596,-2.1811091899871826,-2.144489049911499,1.65562903881073,0.0,0.0,0.0,1.0,0.0,0.0
train,2.1546359062194824,2.3987371921539307,0.32989808917045593,-4.176312446594238,0.0,0.0,0.0,0.0,1.0,0.0
train,1.9109470844268799,1.6848121881484985,2.010380268096924,4.992758274078369,0.0,0.0,0.0,0.0,0.0,1.0
val,0.6911925077438354,-1.0145405530929565,-0.21207162737846375,0.24664215743541718,1.0,0.0,0.0,0.0,0.0,0.0
val,2.6500837802886963,-0.13414113223552704,0.5002883076667786,-0.8742161989212036,0.0,1.0,0.0,0.0,0.0,0.0
val,-0.34488415718078613,0.00546309445053339,-2.8453867435455322,-1.1554226875305176,0.0,0.0,1.0,0.0,0.0,0.0
val,1.8636505603790283,-3.8325138092041016,-1.3695374727249146,0.9107121229171753,0.0,0.0,0.0,1.0,0.0,0.0
val,1.152891993522644,2.3455333709716797,-2.6749038696289062,3.580522298812866,0.0,0.0,0.0,0.0,1.0,0.0
val,1.1810206174850464,-4.870185852050781,2.187471389770508,2.5714571475982666,0.0,0.0,0.0,0.0,0.0,1.0
val,0.8653245568275452,0.5812841057777405,-0.18856990337371826,0.490735799074173,1.0,0.0,0.0,0.0,0.0,0.0
val,2.4752674102783203,1.2044869661331177,-0.37286731600761414,-0.3680710196495056,0.0,1.0,0.0,0.0,0.0,0.0
val,-1.571559190750122,-0.9878526329994202,0.26803675293922424,-1.0989265441894531,0.0,0.0,1.0,0.0,0.0,0.0
val,3.165188789367676,0.4764896333217621,2.8364977836608887,0.6323354840278625,0.0,0.0,0.0,1.0,0.0,0.0
val,3.0752463340759277,-4.4583892822265625,0.9358408451080322,0.7339124083518982,0.0,0.0,0.0,0.0,1.0,0.0
val,0.5516050457954407,3.2444944381713867,-2.8427393436431885,-4.364246368408203,0.0,0.0,0.0,0.0,0.0,1.0
val,1.5109926462173462,-0.9755701422691345,-0.2530570328235626,-0.4377131164073944,1.0,0.0,0.0,0.0,0.0,0.0
val,1.3778821229934692,-1.7428573369979858,0.3366239368915558,0.8270148038864136,0.0,1.0,0.0,0.0,0.0,0.0
val,-1.310786485671997,-0.9544886350631714,-0.7229344248771667,1.5498977899551392,0.0,0.0,1.0,0.0,0.0,0.0
val,2.031449794769287,-0.6562877893447876,3.089315176010132,1.489362120628357,0.0,0.0,0.0,1.0,0.0,0.0
val,3.4819843769073486,-0.023668823763728142,2.323215961456299,3.301283836364746,0.0,0.0,0.0,0.0,1.0,0.0
val,-0.25059106945991516,4.703893184661865,2.7928802967071533,-0.6049758791923523,0.0,0.0,0.0,0.0,0.0,1.0
val,1.2764835357666016,-0.8521832227706909,-0.16617290675640106,0.5510182976722717,1.0,0.0,0.0,0.0,0.0,0.0
val,2.019778251647949,-0.8760478496551514,0.7744343876838684,0.9721021056175232,0.0,1.0,0.0,0.0,0.0,0.0
val,1.3942208290100098,-2.0123870372772217,-2.5495314598083496,0.866104245185852,0.0,0.0,1.0,0.0,0.0,0.0
val,-0.8384239673614502,-3.673741102218628,-0.07888250052928925,-0.33927634358406067,0.0,0.0,0.0,1.0,0.0,0.0
val,1.1807525157928467,-2.6713979244232178,-4.708650588989258,0.4402008354663849,0.0,0.0,0.0,0.0,1.0,0.0
val,2.424927234649658,0.49075034260749817,3.275197744369507,4.37881326675415,0.0,0.0,0.0,0.0,0.0,1.0
val,1.6505218744277954,-0.5472075939178467,-0.28479495644569397,-0.7929747700691223,1.0,0.0,0.0,0.0,0.0,0.0
val,1.8230304718017578,-0.2415599822998047,-0.20792506635189056,-1.93107008934021,0.0,1.0,0.0,0.0,0.0,0.0
val,2.2596657276153564,0.32167136669158936,-2.755122423171997,-1.446044683456421,0.0,0.0,1.0,0.0,0.0,0.0
val,2.0550599098205566,3.075366973876953,1.642034649848938,0.3676992654800415,0.0,0.0,0.0,1.0,0.0,0.0
val,1.0275987386703491,-0.8513695597648621,-4.748848915100098,2.29801082611084,0.0,0.0,0.0,0.0,1.0,0.0
