split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
train,2.7030022144317627,0.3484758138656616,-0.00894035305827856,0.3977039158344269,-0.3466140329837799,0.23002544045448303,0.31851398944854736,-0.2583214044570923,0.9782668948173523,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.8422207832336426,-1.1810399293899536,0.32756391167640686,-0.22409605979919434,-1.3559622764587402,0.5147194862365723,0.36298733949661255,-0.23747621476650238,0.2958420515060425,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.3564889430999756,2.1365625858306885,1.0503993034362793,-0.40191107988357544,-0.422199010848999,0.6537056565284729,-1.0784008502960205,0.22086206078529358,-0.21192778646945953,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.6690728664398193,0.5834922790527344,2.0755672454833984,1.153378963470459,-0.3943127989768982,0.9599608182907104,-1.1943374872207642,-2.014803409576416,0.9931224584579468,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.5079570412635803,1.6285868883132935,0.23970940709114075,0.6480599045753479,-1.6036248207092285,2.041779041290283,-1.1465034484863281,1.1920456886291504,2.284299850463867,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,2.5482072830200195,-1.599090576171875,0.37773609161376953,-0.5120680928230286,-1.7858567237854004,2.8365323543548584,0.21515294909477234,4.304515361785889,-0.7950100898742676,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,2.034926176071167,2.7364964485168457,5.958293914794922,0.7747604250907898,0.16052483022212982,-2.534754991531372,-0.5717989802360535,-0.4813705384731293,1.7017056941986084,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,2.5073909759521484,-1.5745484828948975,1.7105882167816162,-1.8293806314468384,-1.749356746673584,3.972616672515869,1.1059890985488892,-3.3253417015075684,5.884375095367432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,1.1734306812286377,2.6837480068206787,1.8912758827209473,-3.4859352111816406,2.8391146659851074,0.8201717138290405,5.637725353240967,1.8504410982131958,5.29174280166626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,6.713961124420166,-3.6244421005249023,-3.243802785873413,-1.8139313459396362,0.5997828841209412,4.228780269622803,0.5058433413505554,-2.1978507041931152,-4.695065975189209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,2.5881335735321045,-0.5189269185066223,0.5745441913604736,-0.22126786410808563,-0.3827788531780243,-0.5431658625602722,0.48551878333091736,0.11236393451690674,0.5556848645210266,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.33616042137146,0.2436136156320572,1.4054714441299438,0.33187881112098694,-0.24419765174388885,1.3998796939849854,0.5021984577178955,0.3022521734237671,0.19018839299678802,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,4.171382427215576,-1.0453728437423706,1.10239839553833,0.879478394985199,-0.09745404869318008,-0.6258257031440735,0.7149850130081177,0.1830441802740097,2.0331857204437256,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.2283568382263184,-1.9527122974395752,-1.642099142074585,-2.5795817375183105,0.7421984076499939,0.3391287922859192,0.19409619271755219,0.22646468877792358,0.5346646308898926,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,4.998196125030518,-1.6036040782928467,-0.35413843393325806,0.35580798983573914,3.4737751483917236,0.36973273754119873,-0.22886361181735992,-0.7840631008148193,0.7625547647476196,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
