split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
train,0.9224852919578552,-1.512710452079773,-0.3981176018714905,0.26447927951812744,-1.4158624410629272,2.3694393634796143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.207472801208496,-1.2545486688613892,0.8222022652626038,2.0732581615448,-2.143089532852173,2.866938352584839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.1324869692325592,0.6673312187194824,-0.16487884521484375,-1.027666449546814,-0.8823466300964355,3.24104905128479,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.9647376537322998,-4.388822078704834,0.2833411693572998,-1.0949064493179321,0.17783376574516296,1.8375641107559204,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,4.677483081817627,-0.13039441406726837,-0.2813120186328888,2.15574049949646,-0.49315789341926575,5.504628658294678,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-0.16437745094299316,-6.272611141204834,2.397183656692505,2.3865764141082764,-2.423995018005371,4.710854530334473,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,2.8075807094573975,-3.6140284538269043,0.9555522799491882,-4.824963569641113,1.085477590560913,1.2068381309509277,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,2.0510411262512207,2.521998405456543,3.7518301010131836,-0.843626856803894,-5.285112380981445,6.321416854858398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,4.885742664337158,-6.343760967254639,-4.537921905517578,0.49704381823539734,-2.6941416263580322,-1.3787046670913696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-4.794523239135742,2.6537060737609863,-5.013801574707031,5.195106029510498,0.44031625986099243,0.9981926679611206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,1.3669122457504272,-2.2034449577331543,-0.3219270706176758,1.2322181463241577,-0.8585731387138367,2.8870890140533447,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.08188406378030777,-0.8052569031715393,-0.3803326189517975,2.4241204261779785,-0.9994659423828125,3.20666241645813,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.363613247871399,0.25408583879470825,-0.9572305679321289,2.3773298263549805,-2.062605142593384,4.171166896820068,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.2040696144104004,-3.9438114166259766,1.1167312860488892,-2.0837087631225586,-1.5383104085922241,3.808154582977295,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.1376819610595703,-0.5906034708023071,-3.7050766944885254,0.06507305800914764,-3.1110289096832275,5.365034103393555,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,1.2117120027542114,-5.309823036193848,-3.5654914379119873,-0.685746967792511,1.6248081922531128,4.0126729011535645,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-0.23163056373596191,-4.003871440887451,5.193629741668701,4.246085166931152,0.06276056915521622,3.6439919471740723,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
