split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,class_0,class_1,class_2
train,0.9880669713020325,-0.24187366664409637,-0.97481369972229,0.16094335913658142,-0.19235333800315857,-1.0918798446655273,1.413020372390747,-0.08505698293447495,0.24619290232658386,-0.8554136753082275,1.0,0.0,0.0
train,0.791806697845459,-0.8724704384803772,-0.5117751359939575,1.0536714792251587,-0.8175883889198303,-0.6683346033096313,0.6303780674934387,-0.6184642314910889,1.9665130376815796,-0.9181143641471863,0.0,1.0,0.0
train,0.5947110652923584,-1.6775193214416504,-1.187746286392212,1.4929499626159668,-1.5952363014221191,-0.2690275311470032,-0.0700589120388031,-1.6050119400024414,1.0882604122161865,-0.5876774787902832,0.0,0.0,1.0
train,1.3236281871795654,-0.4512070119380951,-1.2314796447753906,0.6909984946250916,-0.32499706745147705,-1.02109694480896,0.6672674417495728,-0.6409205794334412,0.20894812047481537,-0.4748533070087433,1.0,0.0,0.0
train,0.2703198790550232,0.36833256483078003,-1.2303032875061035,0.4105651378631592,0.6765430569648743,-1.518465280532837,0.16723638772964478,0.30611708760261536,0.08159490674734116,-1.5025417804718018,0.0,1.0,0.0
train,1.399226427078247,-2.233621835708618,-0.5955359935760498,0.8759816884994507,-1.0472227334976196,-1.2440065145492554,0.30347684025764465,-0.8681073188781738,0.7718402147293091,-2.3806686401367188,0.0,0.0,1.0
train,1.6130603551864624,-0.593066394329071,-0.839990496635437,0.9231889843940735,-0.4250219166278839,-1.1544246673583984,0.8489964008331299,0.009563373401761055,0.9466069340705872,-0.8990942239761353,1.0,0.0,0.0
train,0.8927759528160095,-1.2860862016677856,-0.8021395802497864,0.9943574070930481,-0.8653133511543274,-2.4431209564208984,1.0128365755081177,-0.626910388469696,-0.43945756554603577,-0.8830286264419556,0.0,1.0,0.0
train,-0.7398847937583923,-0.453431636095047,-1.0848898887634277,2.28442120552063,-0.4946504235267639,-1.9967833757400513,0.8012735247612,-0.7987126111984253,0.21873481571674347,1.1754150390625,0.0,0.0,1.0
train,0.7197641730308533,-0.4884995222091675,-1.1536548137664795,1.3845276832580566,-0.4944086968898773,-1.236896276473999,0.9863625764846802,0.6212972402572632,0.45241910219192505,-0.969528317451477,1.0,0.0,0.0
train,1.3460230827331543,-1.815657615661621,-1.0557421445846558,1.0775938034057617,-0.29900801181793213,-0.5913773775100708,0.4063416123390198,-0.4207289218902588,-0.45400264859199524,-0.2038424164056778,0.0,1.0,0.0
train,1.3325486183166504,-1.0599526166915894,-1.5091357231140137,1.4401154518127441,0.05884867534041405,-3.3124868869781494,1.0116298198699951,0.007496783044189215,-1.1233315467834473,0.4286136329174042,0.0,0.0,1.0
train,1.33603835105896,-0.25094443559646606,-0.9752966165542603,0.9968762397766113,-0.21348313987255096,-1.366786241531372,0.8224708437919617,-0.6144465208053589,0.011325230821967125,-0.389658123254776,1.0,0.0,0.0
train,0.7338007092475891,-0.5972939729690552,-1.6551530361175537,0.998816967010498,-0.9080260396003723,-1.7392916679382324,2.2008466720581055,0.8082882165908813,-0.20663729310035706,-0.6166449785232544,0.0,1.0,0.0
train,1.3565618991851807,0.016798755154013634,-0.47571536898612976,0.0073916614055633545,0.005611042026430368,-0.5141041874885559,0.10802628099918365,0.7726320624351501,2.8726556301116943,-0.0808020606637001,0.0,0.0,1.0
val,0.49079498648643494,-0.2647596597671509,-1.1148871183395386,0.7744449377059937,-0.5858977437019348,-0.8801075220108032,1.0945826768875122,0.14856183528900146,0.22156378626823425,-1.1144250631332397,1.0,0.0,0.0
