split,feature_0,feature_1,feature_2,class_0,class_1,class_2,class_3
train,-0.8675283789634705,1.0286020040512085,0.7039947509765625,1.0,0.0,0.0,0.0
train,1.124459147453308,1.0615599155426025,1.9798628091812134,0.0,1.0,0.0,0.0
train,-2.5343992710113525,-0.6749934554100037,-0.2080441415309906,0.0,0.0,1.0,0.0
train,0.22312358021736145,-0.42003652453422546,4.137189865112305,0.0,0.0,0.0,1.0
train,-0.5544840097427368,-0.011802267283201218,0.46609243750572205,1.0,0.0,0.0,0.0
train,-1.0887339115142822,1.3834768533706665,1.8783423900604248,0.0,1.0,0.0,0.0
train,2.4254353046417236,2.592949390411377,0.31457850337028503,0.0,0.0,1.0,0.0
train,-1.6182167530059814,-2.7139270305633545,-0.6789416670799255,0.0,0.0,0.0,1.0
train,-0.6556278467178345,0.39847326278686523,0.9454808831214905,1.0,0.0,0.0,0.0
train,0.41785165667533875,2.3960375785827637,1.4547786712646484,0.0,1.0,0.0,0.0
train,-0.6304225325584412,3.091754913330078,-1.4775233268737793,0.0,0.0,1.0,0.0
train,3.6566224098205566,2.449226140975952,0.047621455043554306,0.0,0.0,0.0,1.0
train,-0.9495344758033752,0.7854763865470886,0.1196875348687172,1.0,0.0,0.0,0.0
train,1.5947444438934326,0.6942567825317383,1.5691205263137817,0.0,1.0,0.0,0.0
train,2.0426113605499268,0.756474494934082,-1.8935149908065796,0.0,0.0,1.0,0.0
train,-0.8129993677139282,-1.43923020362854,3.5427768230438232,0.0,0.0,0.0,1.0
train,-0.9140775203704834,0.9248892664909363,0.023305384442210197,1.0,0.0,0.0,0.0
train,-0.33906280994415283,2.739037036895752,0.07719793170690536,0.0,1.0,0.0,0.0
train,-1.489582896232605,0.46168434619903564,-2.2375261783599854,0.0,0.0,1.0,0.0
train,-1.9054317474365234,0.13683803379535675,-3.1108782291412354,0.0,0.0,0.0,1.0
val,-0.4392552971839905,1.330773115158081,-0.36938971281051636,1.0,0.0,0.0,0.0
val,0.18699276447296143,0.29412180185317993,2.2605807781219482,0.0,1.0,0.0,0.0
val,2.95820951461792,0.15910604596138,0.463830828666687,0.0,0.0,1.0,0.0
val,2.502387762069702,1.231423258781433,3.441124200820923,0.0,0.0,0.0,1.0
val,0.7486661672592163,1.351607322692871,-0.07655671238899231,1.0,0.0,0.0,0.0
val,1.7898319959640503,0.6214842796325684,1.2613481283187866,0.0,1.0,0.0,0.0
val,-2.951944589614868,0.5384154319763184,0.5652163028717041,0.0,0.0,1.0,0.0
val,-0.8496363162994385,-2.9725308418273926,-0.708928108215332,0.0,0.0,0.0,1.0
val,-0.41596150398254395,0.3493356704711914,-0.4511072337627411,1.0,0.0,0.0,0.0
val,1.9404337406158447,1.3620573282241821,0.20521661639213562,0.0,1.0,0.0,0.0
val,-0.5916683077812195,1.101733922958374,-2.589216470718384,0.0,0.0,1.0,0.0
val,-0.31058910489082336,2.1114559173583984,4.08929443359375,0.0,0.0,0.0,1.0
val,-0.514910101890564,0.3161040246486664,-0.364246129989624,1.0,0.0,0.0,0.0
val,-0.6977379322052002,0.4901149570941925,-1.510056734085083,0.0,1.0,0.0,0.0
val,-1.3207744359970093,3.4046430587768555,-0.25383830070495605,0.0,0.0,1.0,0.0
val,-0.18340446054935455,-0.17389416694641113,4.205893039703369,0.0,0.0,0.0,1.0
val,-0.9386166930198669,0.6891952157020569,0.5642887353897095,1.0,0.0,0.0,0.0
val,0.2224937230348587,-0.44710779190063477,1.8893563747406006,0.0,1.0,0.0,0.0
val,2.7092933654785156,2.0259993076324463,-0.20209439098834991,0.0,0.0,1.0,0.0
val,-2.211263656616211,0.616263210773468,-2.9804303646087646,0.0,0.0,0.0,1.0
test,-0.7897710204124451,0.34977027773857117,0.700438916683197,1.0,0.0,0.0,0.0
test,1.5457016229629517,1.678174614906311,1.2818143367767334,0.0,1.0,0.0,0.0
test,1.343813419342041,3.437980890274048,0.8330293297767639,0.0,0.0,1.0,0.0
test,-2.502730131149292,2.565068006515503,2.867248296737671,0.0,0.0,0.0,1.0
test,0.4836312234401703,0.8825087547302246,-0.5560290813446045,1.0,0.0,0.0,0.0
test,-0.7219802737236023,0.30193519592285156,-1.4593991041183472,0.0,1.0,0.0,0.0
test,2.924018383026123,0.6591537594795227,1.10232412815094,0.0,0.0,1.0,0.0
test,-1.8410636186599731,4.040447235107422,1.7206681966781616,0.0,0.0,0.0,1.0
test,0.945680558681488,0.4342481791973114,0.14984335005283356,1.0,0.0,0.0,0.0
test,1.589316964149475,0.04728790745139122,-0.6768357157707214,0.0,1.0,0.0,0.0
test,-0.8096276521682739,3.1202468872070312,-1.3631618022918701,0.0,0.0,1.0,0.0
test,-0.11603080481290817,3.965501308441162,2.7564761638641357,0.0,0.0,0.0,1.0
test,1.0263866186141968,0.7296334505081177,0.3182898759841919,1.0,0.0,0.0,0.0
test,-1.9364513158798218,1.1213672161102295,0.15686260163784027,0.0,1.0,0.0,0.0
test,-0.8650634288787842,-0.9677227735519409,2.590984344482422,0.0,0.0,1.0,0.0
test,2.997018575668335,-1.8337395191192627,0.8825347423553467,0.0,0.0,0.0,1.0
test,-0.9421594142913818,0.8261547684669495,0.09064322710037231,1.0,0.0,0.0,0.0
test,-1.4564446210861206,-0.04077029228210449,-0.7226549983024597,0.0,1.0,0.0,0.0
test,2.75059175491333,-0.17706289887428284,-0.47989699244499207,0.0,0.0,1.0,0.0
test,-2.249821186065674,0.8910871744155884,-2.956991195678711,0.0,0.0,0.0,1.0
test,-0.8555182814598083,0.4532776176929474,0.0036553179379552603,1.0,0.0,0.0,0.0
test,-1.3153278827667236,-0.6288807392120361,0.7578993439674377,0.0,1.0,0.0,0.0
test,-1.634771466255188,0.7636371850967407,-2.167388916015625,0.0,0.0,1.0,0.0
test,0.4205879271030426,4.142075538635254,2.475264310836792,0.0,0.0,0.0,1.0
test,1.0044848918914795,0.8502758741378784,0.5372223258018494,1.0,0.0,0.0,0.0
test,0.3081832528114319,-1.1811118125915527,0.5271968841552734,0.0,1.0,0.0,0.0
test,0.43085575103759766,-1.763791561126709,-1.1936802864074707,0.0,0.0,1.0,0.0
test,0.721189022064209,2.637998342514038,3.808168649673462,0.0,0.0,0.0,1.0
test,0.31499069929122925,0.2860318720340729,-0.48580431938171387,1.0,0.0,0.0,0.0
test,-1.0305390357971191,-0.1573980301618576,-1.0787526369094849,0.0,1.0,0.0,0.0
test,-2.2949206829071045,-0.6734645962715149,1.53904128074646,0.0,0.0,1.0,0.0
test,-1.5465971231460571,-2.758544683456421,-0.6364437937736511,0.0,0.0,0.0,1.0
test,0.7722041010856628,1.1930128335952759,-0.20309339463710785,1.0,0.0,0.0,0.0
