split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,class_0,class_1
train,-0.42491525411605835,0.6850573420524597,-0.8916997313499451,0.6298031806945801,-0.8906970024108887,2.0284526348114014,-1.3915432691574097,-0.345248281955719,0.0877239778637886,0.7393467426300049,1.0,0.0
train,0.3209337592124939,1.3711419105529785,-0.12014499306678772,-0.045380521565675735,-1.9085767269134521,1.8228974342346191,-2.4774632453918457,-1.1225069761276245,0.041140805929899216,0.47243037819862366,0.0,1.0
train,0.6314134001731873,0.7399897575378418,-0.8991309404373169,0.9088984727859497,-1.0618271827697754,1.8031586408615112,-0.950292706489563,-0.5175180435180664,-0.5145273804664612,0.796191394329071,1.0,0.0
train,1.0340343713760376,-0.24678516387939453,-1.0987046957015991,0.2215617448091507,-1.3756084442138672,1.1949446201324463,-2.0439960956573486,-1.6954766511917114,0.20555216073989868,1.0838828086853027,0.0,1.0
train,0.07108460366725922,1.4169433116912842,-1.1930456161499023,0.6142040491104126,-1.4519929885864258,2.408651113510132,-1.3476775884628296,-0.720609188079834,-0.618951141834259,0.7197969555854797,1.0,0.0
train,0.20439593493938446,-0.3290589153766632,-1.841838002204895,-0.3457142412662506,-1.2376399040222168,1.7800374031066895,-1.0713365077972412,-1.7595934867858887,-1.044403314590454,1.0719443559646606,0.0,1.0
train,0.19096209108829498,0.8924049735069275,-1.484572172164917,0.2519432306289673,-1.0278538465499878,2.650506019592285,-1.620046615600586,-0.08875460922718048,-0.34066715836524963,0.9788342118263245,1.0,0.0
train,0.5465255975723267,0.583174467086792,-0.9583373069763184,0.5303856134414673,-1.1614837646484375,1.43080472946167,-1.1445133686065674,-2.1506505012512207,0.5315184593200684,1.4947205781936646,0.0,1.0
train,0.4720868170261383,0.5816541314125061,-1.393244743347168,0.1376509964466095,-1.2563782930374146,2.6307358741760254,-1.339067816734314,-0.5913540124893188,-0.9605467319488525,0.7233223915100098,1.0,0.0
train,0.02502717822790146,0.4314139485359192,-0.6776334047317505,0.8005809783935547,-1.270712971687317,1.2239158153533936,-0.3476537764072418,-0.6318399310112,-1.156032681465149,0.03795081749558449,0.0,1.0
val,0.23890919983386993,1.232457160949707,-1.1618595123291016,1.1003916263580322,-1.1959643363952637,2.3139827251434326,-1.2107958793640137,-1.0507978200912476,-0.4337502419948578,0.883124828338623,1.0,0.0
val,0.033349599689245224,1.320069432258606,-0.4938049912452698,-0.06375700980424881,-1.02190363407135,3.176659345626831,-1.0319188833236694,-0.15454892814159393,-0.9329633116722107,1.5647271871566772,0.0,1.0
val,0.4229365885257721,1.1132097244262695,-0.9673053622245789,0.15549732744693756,-1.1014660596847534,2.67903733253479,-1.7747907638549805,-0.5258486270904541,-0.6025803685188293,1.1229348182678223,1.0,0.0
val,-0.13754558563232422,1.3718122243881226,-1.6524065732955933,-0.1895955204963684,-1.2417235374450684,2.023913860321045,-1.7955235242843628,0.4997684061527252,0.5589693188667297,0.4008825123310089,0.0,1.0
val,0.41364508867263794,0.484647661447525,-1.4395171403884888,0.41645798087120056,-0.8896188139915466,2.247081995010376,-1.6774533987045288,-0.10507362335920334,-0.8369390368461609,1.1550111770629883,1.0,0.0
val,0.5896871089935303,0.7851993441581726,-1.4264657497406006,0.9889916777610779,-1.375476598739624,0.49665024876594543,-1.6244044303894043,-0.12621577084064484,0.1532016545534134,1.1595532894134521,0.0,1.0
val,-0.14100301265716553,0.742243766784668,-0.9176497459411621,0.9467213153839111,-0.45215779542922974,2.083333969116211,-1.4137111902236938,-0.388735294342041,-0.2952556908130646,0.5534817576408386,1.0,0.0
val,0.2886683940887451,0.9813395738601685,-1.9414829015731812,1.2121433019638062,-0.6097679734230042,2.7474288940429688,-1.7237318754196167,-1.3207004070281982,-0.7557597160339355,-0.5387622714042664,0.0,1.0
val,0.6735121011734009,0.6062307953834534,-0.7970221042633057,0.28466224670410156,-0.9186280369758606,2.8124160766601562,-1.4962213039398193,-0.7341465950012207,-0.48225945234298706,0.5124613642692566,1.0,0.0
val,0.8989183306694031,0.9116100668907166,-1.6640692949295044,0.9049853682518005,-2.500900983810425,2.1502997875213623,-1.5871683359146118,-1.3419959545135498,-1.1106748580932617,0.8452417254447937,0.0,1.0
