split,feature_0,feature_1,feature_2,feature_3,feature_4,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7
train,-1.0978374481201172,1.3938056230545044,1.35166335105896,-0.5141032934188843,0.14166121184825897,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.0925371646881104,1.7455772161483765,2.9521398544311523,-1.222909927368164,-1.5670948028564453,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.4081059694290161,0.5282132029533386,1.586875081062317,-2.471682071685791,-1.1148030757904053,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,0.1904960572719574,4.865020275115967,1.8666883707046509,0.4954509735107422,-0.8877373337745667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,1.1997215747833252,1.4045463800430298,-0.6575698852539062,-2.288161516189575,-4.178195476531982,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-4.899816036224365,-2.2695086002349854,3.1002352237701416,-1.4916378259658813,1.185640573501587,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-5.211639881134033,-3.94425368309021,0.07555767893791199,0.09459701180458069,-0.20836497843265533,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-3.5530147552490234,2.2752890586853027,8.641446113586426,0.44488635659217834,1.4389455318450928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-1.1487460136413574,1.3648076057434082,1.8061414957046509,-1.117984414100647,-0.32765892148017883,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.9007191061973572,1.2678624391555786,1.5250061750411987,-1.6642372608184814,-0.6553317308425903,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-3.082017183303833,0.7136244177818298,0.833097517490387,-0.7983667850494385,-2.0386788845062256,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-1.690896987915039,2.007312059402466,4.047463417053223,0.94846111536026,-3.1409640312194824,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-0.46073323488235474,-2.761359453201294,-0.08161112666130066,-2.7451817989349365,-1.964213490486145,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-0.13853846490383148,-1.1801501512527466,-3.8924529552459717,-0.5837874412536621,-0.9107261896133423,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,1.9334301948547363,3.5944759845733643,0.542829692363739,3.0076723098754883,4.212395191192627,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,4.183414459228516,-1.4677517414093018,0.43203017115592957,0.7362967729568481,-6.247670650482178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-1.0321943759918213,1.7027647495269775,1.8678189516067505,-0.23818489909172058,-1.2107490301132202,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.6075667142868042,2.0016965866088867,1.499045491218567,1.085601568222046,0.3453570306301117,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.3765562772750854,3.122760534286499,0.06511105597019196,-1.4678593873977661,0.14676475524902344,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,0.06315819919109344,4.704967021942139,0.6901847720146179,0.7464519143104553,-0.298400342464447,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-0.13469833135604858,0.9202123880386353,4.997406482696533,-4.059450626373291,-0.6924757361412048,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-1.5589618682861328,-3.078988552093506,5.3411946296691895,0.516487717628479,-2.457829236984253,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
