split,feature_0,feature_1,feature_2,feature_3,feature_4,class_0,class_1,class_2,class_3,class_4
train,2.156147003173828,-0.40444982051849365,-1.0936000347137451,-0.6456505656242371,0.8070509433746338,1.0,0.0,0.0,0.0,0.0
train,-0.13705258071422577,-1.221279263496399,-0.5838437080383301,-0.9593145251274109,0.09309545904397964,0.0,1.0,0.0,0.0,0.0
train,0.05365533381700516,-2.799860715866089,-0.9336051940917969,-0.9727343916893005,-0.5504225492477417,0.0,0.0,1.0,0.0,0.0
train,2.1727335453033447,-1.5623514652252197,3.182762384414673,0.8295262455940247,0.3384340703487396,0.0,0.0,0.0,1.0,0.0
train,-0.7248957753181458,-0.9748678803443909,2.2560243606567383,-3.3608436584472656,-0.9825448989868164,0.0,0.0,0.0,0.0,1.0
train,1.9547183513641357,-1.3219709396362305,-0.8263622522354126,-0.2951323688030243,0.9737695455551147,1.0,0.0,0.0,0.0,0.0
train,1.774993658065796,-2.319672107696533,-0.5827242136001587,-0.5261979103088379,1.4603937864303589,0.0,1.0,0.0,0.0,0.0
train,1.0321539640426636,1.213006854057312,1.5325499773025513,-0.4636595845222473,1.6328456401824951,0.0,0.0,1.0,0.0,0.0
train,-0.6946666240692139,0.5428977608680725,-1.2459759712219238,-2.7168495655059814,-1.1763789653778076,0.0,0.0,0.0,1.0,0.0
train,1.0325558185577393,1.1855225563049316,-0.24204492568969727,3.144305944442749,-2.6619582176208496,0.0,0.0,0.0,0.0,1.0
train,0.9853256940841675,0.08660587668418884,-0.6140585541725159,0.14929351210594177,0.32380637526512146,1.0,0.0,0.0,0.0,0.0
train,1.680351734161377,-1.8250410556793213,-1.787285566329956,-0.7808282375335693,-0.20799897611141205,0.0,1.0,0.0,0.0,0.0
train,0.5842340588569641,-2.3230607509613037,1.114323377609253,-0.8462690711021423,-0.9322462677955627,0.0,0.0,1.0,0.0,0.0
train,2.0435142517089844,-4.048369884490967,-2.0355663299560547,0.2542102634906769,-0.6153573989868164,0.0,0.0,0.0,1.0,0.0
train,2.860076665878296,-1.095781683921814,2.420156240463257,0.3809484839439392,4.278437614440918,0.0,0.0,0.0,0.0,1.0
