split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,class_0,class_1,class_2,class_3,class_4,class_5,class_6
train,0.8000622391700745,1.2850291728973389,-2.1372768878936768,0.8327734470367432,-1.8931375741958618,-1.589532494544983,0.8091002702713013,1.4949421882629395,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.5259958505630493,1.5276317596435547,-2.5519940853118896,0.23032306134700775,-0.6775967478752136,-2.0614094734191895,2.004826068878174,0.9509758949279785,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,0.2862699031829834,0.275856077671051,-2.0907373428344727,2.147127628326416,-2.5350725650787354,-0.2532144784927368,0.3677361309528351,2.101895332336426,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,2.9797301292419434,1.7224092483520508,-4.790198802947998,-0.1280881017446518,-2.383312463760376,-3.659149408340454,0.12195680290460587,2.8308908939361572,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,0.7154802083969116,2.1295523643493652,-4.852287769317627,-1.4762614965438843,-1.5532475709915161,-4.914814472198486,0.9445431232452393,4.045313835144043,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,0.8456865549087524,0.4242299199104309,-2.4508304595947266,-2.4479684829711914,-0.03208799660205841,0.21855683624744415,3.716149091720581,-1.0190104246139526,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,5.098448753356934,6.173224925994873,-3.411858558654785,0.4750198721885681,-1.682246208190918,-1.234197735786438,1.9282710552215576,1.774673342704773,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,0.694323718547821,0.897544264793396,-2.381681442260742,0.8744917511940002,-1.0829299688339233,-3.070615530014038,0.7900756001472473,1.4528822898864746,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.7709802389144897,0.06501588970422745,-2.2979142665863037,-0.26801714301109314,-2.645601987838745,-2.6127359867095947,0.2798777222633362,2.2377004623413086,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-0.36654090881347656,-0.5817784070968628,-1.0879662036895752,-0.18619506061077118,-1.4069252014160156,-2.2359182834625244,0.4081210494041443,-0.02999371476471424,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,0.6273251175880432,2.3892412185668945,-4.488619327545166,2.9977378845214844,-3.6480746269226074,-2.1406054496765137,0.35382911562919617,1.336168885231018,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,3.370298385620117,3.2664153575897217,-5.031301498413086,1.9651223421096802,-1.2035998106002808,-2.4668338298797607,-0.5144165754318237,3.519702434539795,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-0.32376351952552795,-3.1664726734161377,0.36223629117012024,-0.47137418389320374,-0.8811434507369995,-4.084718704223633,-1.2679389715194702,0.4736410081386566,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,2.8986129760742188,2.4452383518218994,-1.4657095670700073,-1.0412094593048096,-2.8052873611450195,-7.788338661193848,2.4679296016693115,3.184624671936035,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-0.021161172538995743,1.0684188604354858,-2.60068941116333,0.8033101558685303,-1.981935977935791,-2.431781053543091,0.6721602082252502,1.2985835075378418,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.029697299003601,1.9970124959945679,-2.9196887016296387,1.3595592975616455,-1.1197543144226074,-2.885310649871826,-0.248503640294075,2.7334070205688477,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,2.4217801094055176,2.575881242752075,-2.567948818206787,-0.5913167595863342,-1.399498462677002,-1.8706458806991577,1.362026333808899,0.3084835112094879,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,2.934723138809204,-0.25022944808006287,-2.7132813930511475,-1.755859136581421,-3.313826560974121,-2.2068183422088623,0.4918188750743866,1.2337956428527832,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,0.9639340043067932,-0.6239071488380432,-6.012085437774658,-1.216953158378601,-1.8389601707458496,-2.7737317085266113,-0.2593609094619751,-0.6992096900939941,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,0.8604696989059448,0.3753953278064728,-4.214239597320557,-0.4223574995994568,-1.739615559577942,-7.243131637573242,-1.8679778575897217,2.7539148330688477,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,2.4633982181549072,2.701425313949585,0.9842417240142822,-0.9414593577384949,-0.889968991279602,-1.5710057020187378,-4.932389259338379,1.6128454208374023,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,0.48729100823402405,0.8291178345680237,-2.4338502883911133,0.32417580485343933,-1.1335946321487427,-1.910913109779358,0.30797356367111206,0.8322724103927612,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.8277579545974731,1.9937125444412231,-2.0291740894317627,1.1324913501739502,-0.5886541604995728,-2.641998291015625,1.1288527250289917,1.9699841737747192,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,1.2591907978057861,-0.01461720559746027,-1.9654699563980103,0.6984013915061951,-1.5681413412094116,-4.620832920074463,-0.9737077951431274,1.5408871173858643,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,1.2991403341293335,3.5193686485290527,-2.2111105918884277,2.188525676727295,-0.9561264514923096,-1.0124831199645996,-0.810704231262207,-0.5478797554969788,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,1.1302729845046997,-2.179896593093872,-3.7080636024475098,0.5828220844268799,-4.7731451988220215,-2.465928554534912,-0.5592281818389893,0.7372045516967773,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-1.0088943243026733,2.7234606742858887,-4.5608696937561035,-2.5297842025756836,-4.628556251525879,-2.7248191833496094,-1.1750338077545166,3.2892327308654785,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,1.1668754816055298,2.72876238822937,-1.516222596168518,1.8221381902694702,3.514163017272949,-4.976722717285156,0.6376644968986511,-1.955204725265503,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,0.3676128089427948,1.2760798931121826,-2.4895966053009033,0.39476290345191956,-1.8199626207351685,-2.3432319164276123,1.2110294103622437,1.4831831455230713,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.14472274482250214,0.5646423697471619,-2.131441116333008,2.046546459197998,-1.205330491065979,-3.261708974838257,0.22038228809833527,2.022944927215576,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,2.0776419639587402,0.912709653377533,-1.597334623336792,0.5502991080284119,-2.046968460083008,-2.0768895149230957,1.5295599699020386,-0.709705650806427,0.0,0.0,1.0,0.0,0.0,0.0,0.0
