split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
train,-0.020089931786060333,-0.06802992522716522,1.1476657390594482,-0.3362882733345032,0.8625236749649048,0.7708521485328674,0.9552435874938965,0.2219689041376114,1.4821770191192627,-0.2574457824230194,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.0077884197235107,0.5044140815734863,-0.04560394585132599,-0.5360483527183533,1.869973063468933,-0.44296586513519287,1.4023886919021606,-0.1375494748353958,0.3345933258533478,-0.10355040431022644,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.3246244192123413,-0.39594724774360657,0.26592910289764404,-1.7968627214431763,0.31266430020332336,1.11419677734375,1.5535389184951782,-0.6515607237815857,2.7269973754882812,0.5025551319122314,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.6712285280227661,0.71115642786026,0.5158085227012634,-2.834223985671997,1.9316253662109375,-0.8258805871009827,-0.8298519849777222,1.0250182151794434,1.9424285888671875,-0.2795272171497345,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.2933911085128784,-2.218193531036377,-0.7796648740768433,1.0548434257507324,-0.8020467162132263,1.819704532623291,3.2768425941467285,-1.9656884670257568,0.07615158706903458,-0.9293604493141174,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-0.8405080437660217,-2.6277236938476562,2.130120277404785,1.0234431028366089,-0.9945572018623352,0.3665288984775543,0.05924871936440468,1.4100252389907837,4.696354389190674,-2.2881920337677,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-3.6496832370758057,2.3584773540496826,2.711153268814087,-1.5286483764648438,-0.5804097056388855,1.2269861698150635,0.08174388855695724,2.687947988510132,-0.3038827180862427,-3.253295660018921,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,2.500105381011963,-0.34562647342681885,4.15547513961792,0.734690248966217,-2.144322633743286,1.5626919269561768,0.36802938580513,1.3415602445602417,6.529790878295898,-2.015416145324707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-1.112797498703003,-0.26797962188720703,3.628866672515869,-2.2821896076202393,-1.8145136833190918,-3.659032106399536,-0.03162447735667229,-3.660148859024048,-3.5321083068847656,2.6644511222839355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,1.7633885145187378,0.30762091279029846,6.028587818145752,0.5310803651809692,1.9537835121154785,-3.0556325912475586,0.134568452835083,-5.168020248413086,-3.5894179344177246,1.4893125295639038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,0.31626006960868835,-0.742352306842804,0.6675308346748352,-0.03125990182161331,0.4705822467803955,0.07900755852460861,1.4315235614776611,-0.16614273190498352,0.9350414276123047,-0.10981893539428711,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.32862403988838196,-1.0433536767959595,-0.7981021404266357,-0.47396108508110046,0.8274604678153992,-0.2915152609348297,1.060550570487976,0.24866649508476257,1.9283788204193115,0.17013807594776154,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.049609288573265076,0.22918559610843658,2.1190743446350098,0.5399880409240723,1.2998051643371582,2.1699023246765137,0.4875810742378235,0.3103405237197876,0.6246654987335205,-0.8101043701171875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.3076469898223877,-0.5745379328727722,-1.1440446376800537,0.11954069882631302,1.0764080286026,2.556821584701538,1.7290736436843872,0.4820192754268646,1.2720454931259155,1.5117827653884888,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.1662709712982178,-0.9504604935646057,1.241675853729248,1.1241410970687866,0.30255746841430664,-3.4306933879852295,2.358384370803833,-0.2939228415489197,0.12279406189918518,-1.0765939950942993,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,0.7930548787117004,-2.6817524433135986,-0.23885300755500793,1.2712922096252441,0.5573720932006836,-2.7982006072998047,0.6514372229576111,1.1594574451446533,4.136428356170654,2.0829262733459473,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,3.609076499938965,-1.131908893585205,2.1312484741210938,-2.3135271072387695,-1.202043890953064,2.622131586074829,3.5729024410247803,-2.675506830215454,-0.7746899127960205,-2.495398998260498,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-1.9979051351547241,-1.4260221719741821,0.12356670945882797,-0.5903621912002563,-2.0367512702941895,0.21236343681812286,-5.22153377532959,-1.1421661376953125,-1.5349314212799072,-0.2707754969596863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,2.6879947185516357,-5.6276655197143555,-0.5246769785881042,2.413700819015503,0.8146171569824219,1.4079383611679077,0.6772018671035767,-2.726731538772583,-1.1651744842529297,4.334512710571289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,2.1381008625030518,-1.343195915222168,1.0838072299957275,2.133896589279175,6.87756872177124,-3.5351550579071045,2.9680416584014893,-0.6113035678863525,-1.0046894550323486,4.963769435882568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,0.43690675497055054,-0.11488896608352661,1.142362356185913,-0.86066734790802,0.5005398988723755,0.3081892132759094,0.46999144554138184,0.10370690375566483,1.0751655101776123,0.1746644377708435,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.6338711380958557,0.22188635170459747,0.7724692225456238,0.6690489649772644,0.22559691965579987,-0.4165779650211334,0.920089066028595,-0.2884904444217682,0.03422769904136658,0.2532014846801758,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.068806767463684,0.042131513357162476,-0.9809723496437073,-1.2575913667678833,1.3284361362457275,2.3686375617980957,1.5735046863555908,-0.47472500801086426,0.6348786950111389,0.008626165799796581,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.6179256439208984,-0.14101596176624298,0.07969571650028229,-0.7886800765991211,2.0019657611846924,3.0102925300598145,0.16837361454963684,-0.4609498083591461,2.1898398399353027,-1.5979766845703125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.4648320972919464,-2.4525110721588135,-0.43841367959976196,-2.524078369140625,0.3805514872074127,0.9245314002037048,2.22611403465271,-2.68733549118042,-0.7240254282951355,1.199434518814087,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,1.411522626876831,-3.148620367050171,-0.028910242021083832,-2.6960883140563965,0.8446361422538757,0.24179479479789734,1.9699981212615967,3.9762930870056152,-0.9253272414207458,-1.2880865335464478,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-0.08843658864498138,1.148188829421997,0.3002606928348541,3.524441719055176,-3.589630365371704,1.2815929651260376,1.0947164297103882,1.6161367893218994,-0.581702709197998,-2.661581039428711,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,1.094344139099121,-3.5860235691070557,-2.3456833362579346,3.0813469886779785,2.759134531021118,0.357614129781723,4.6227498054504395,-1.6984683275222778,-1.2394485473632812,-2.1060733795166016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-1.465329885482788,1.8461252450942993,3.0837466716766357,0.5796812176704407,-0.6122289896011353,6.415475845336914,3.3036532402038574,2.0943756103515625,-0.08539410680532455,-4.324714183807373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-4.048162937164307,3.3265492916107178,1.0035470724105835,-0.966801106929779,-2.746101140975952,1.4767327308654785,7.630092620849609,2.1124565601348877,0.5014820694923401,-3.289835214614868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,0.882003128528595,-0.6945372819900513,0.5886334776878357,-0.8831532597541809,0.5469205379486084,-0.046443767845630646,1.1936407089233398,-0.08397199213504791,1.0470774173736572,0.12406942248344421,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.0053925663232803345,0.8310786485671997,1.1229827404022217,-0.4637085497379303,0.04147861525416374,-0.6772581338882446,1.2242679595947266,0.04416000843048096,2.2625536918640137,-0.12376893311738968,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.46853557229042053,1.3354989290237427,0.7417449951171875,-1.6674973964691162,1.6561418771743774,1.7044252157211304,2.1122894287109375,-0.6682652235031128,1.0865399837493896,0.6359537839889526,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.8786506056785583,2.444315195083618,1.5729200839996338,0.9164882302284241,1.8711477518081665,-0.27758073806762695,0.9039466977119446,-1.1006436347961426,0.6463274359703064,1.4013155698776245,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.4035378396511078,-0.09408340603113174,1.6631824970245361,1.6175435781478882,0.02318793721497059,3.1524319648742676,1.493388295173645,0.6685964465141296,-1.9772164821624756,-0.5470193028450012,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-2.75588321685791,-1.506706714630127,-0.5227383375167847,-2.3146474361419678,2.1700937747955322,2.36791729927063,3.8260703086853027,-0.97600919008255,2.6649959087371826,-1.8157291412353516,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-0.6665846109390259,-1.0799176692962646,3.2174057960510254,-1.3954437971115112,-0.9719168543815613,-1.471986174583435,2.482767105102539,0.5609239935874939,6.725880146026611,-0.27666157484054565,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,0.037581246346235275,2.9289052486419678,1.7756798267364502,-4.484933376312256,3.4541115760803223,2.427076578140259,5.363182067871094,2.9504241943359375,0.6502982974052429,-0.4806390404701233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,0.8599129319190979,2.972752094268799,4.011282444000244,-1.5890109539031982,2.0051276683807373,-3.7007839679718018,3.397336006164551,3.2697043418884277,5.515953063964844,-2.6321680545806885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,3.5782835483551025,0.7828584909439087,-0.12603239715099335,1.5335441827774048,2.241629123687744,-0.9141918420791626,6.357983112335205,6.856873989105225,-0.6963605284690857,-2.2642312049865723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,0.5457966923713684,0.06212629750370979,0.3696507513523102,-0.7066100239753723,0.8955801129341125,0.6235297322273254,1.1855939626693726,-0.07681603729724884,1.7582213878631592,0.3242456018924713,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.40455853939056396,-1.1512035131454468,0.2285604327917099,0.39187851548194885,0.8283372521400452,-0.2170744091272354,1.1936805248260498,-0.39318540692329407,0.45697101950645447,-0.6430957913398743,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.32919690012931824,0.5797545313835144,0.7527676820755005,-1.905511736869812,0.2978726625442505,-1.8902111053466797,1.3111857175827026,0.016186857596039772,0.08934923261404037,0.7949348092079163,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.3665095567703247,-0.29490911960601807,0.9108850359916687,1.2634152173995972,0.16995938122272491,0.9349709153175354,1.1360820531845093,0.18909858167171478,-1.8529142141342163,-1.5500414371490479,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.4500740170478821,-1.5930054187774658,1.9895691871643066,-0.9401962757110596,2.4648194313049316,-0.3218350112438202,1.2525720596313477,3.1400296688079834,-1.0102509260177612,1.8022502660751343,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,1.5344029664993286,0.695813000202179,1.5065854787826538,-1.9470926523208618,0.5743553638458252,2.298705577850342,-0.026049083098769188,4.98384952545166,2.325528383255005,0.8558355569839478,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,0.9312317967414856,-2.9342164993286133,1.1515586376190186,-2.347770929336548,-2.4575130939483643,-0.04677435755729675,4.278722763061523,-3.9365036487579346,1.530513048171997,-1.0191255807876587,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-3.9831080436706543,-1.1276662349700928,1.390730619430542,-1.3382564783096313,0.7595606446266174,2.346482515335083,2.98887300491333,1.407362937927246,-0.4761284291744232,5.522502899169922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,4.007972717285156,1.4851677417755127,1.1676619052886963,-2.007258892059326,-1.7277443408966064,1.8843300342559814,-2.858980655670166,5.373625755310059,2.4320082664489746,2.914881706237793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,7.739229202270508,3.0442957878112793,-0.10342942178249359,-3.232095718383789,2.557304620742798,3.264862537384033,4.229482173919678,-0.36152178049087524,-0.28810036182403564,1.8026707172393799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
val,0.637947678565979,-0.38020846247673035,0.6606223583221436,-0.7413225769996643,1.1340770721435547,0.53426593542099,1.2228955030441284,-0.2908930778503418,0.7241587042808533,-0.5071513652801514,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-0.011935084126889706,-0.3493632972240448,1.8375215530395508,-0.29999402165412903,1.2090421915054321,-0.3542398512363434,2.3336472511291504,0.058881036937236786,1.1691300868988037,0.1255897581577301,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-1.8259042501449585,-0.30162039399147034,0.3258804678916931,-0.7214869260787964,0.9246795177459717,-1.0707323551177979,2.4508588314056396,0.9370172023773193,1.3039300441741943,-0.24120359122753143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-1.6075209379196167,-0.429456889629364,2.064344644546509,-0.24988502264022827,0.14678923785686493,0.316455215215683,-0.05827805772423744,1.8227604627609253,1.8570796251296997,-2.28444504737854,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val,-1.998860478401184,-1.3980177640914917,-1.3969601392745972,0.9865620732307434,0.5174393057823181,-1.1801321506500244,-1.342713713645935,0.8842247128486633,-0.05370456725358963,0.9802459478378296,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
val,-0.8334037065505981,-1.0340453386306763,-1.380483627319336,-1.4524067640304565,1.3605296611785889,-0.934269368648529,1.8126490116119385,3.236177444458008,4.98630952835083,-1.5410665273666382,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
val,-2.203223705291748,0.815359354019165,-0.9854084849357605,-5.8076887130737305,2.0571670532226562,1.9671021699905396,2.2304439544677734,2.553187608718872,0.4405413269996643,-0.2225981205701828,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val,2.0372612476348877,2.7832913398742676,0.7307671308517456,-0.9310340881347656,2.5115487575531006,4.6027655601501465,-2.2886359691619873,-2.8234994411468506,1.4962655305862427,2.9825825691223145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
