split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8
train,-0.9533208608627319,-0.1418665647506714,-1.0622155666351318,-0.49107399582862854,-2.7149555683135986,0.1647043228149414,0.5129057168960571,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.4309900999069214,-0.8556060194969177,-2.689157247543335,-0.1667078286409378,-2.1273317337036133,0.9717363119125366,0.44422730803489685,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-2.021282434463501,1.063748836517334,-2.229264974594116,0.02894926443696022,-3.5718812942504883,-2.284735918045044,0.4236263930797577,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.6056074500083923,-0.4326801002025604,-0.8251937031745911,-1.2001607418060303,-1.557409644126892,3.1159374713897705,-0.6521123051643372,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,1.0130794048309326,0.10190900415182114,-1.9104496240615845,-2.92797589302063,0.9737437963485718,0.9889549612998962,0.9650608897209167,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,0.6790341734886169,-0.36583277583122253,2.437835931777954,-0.5305209755897522,-4.1279296875,1.1966372728347778,-3.2379517555236816,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-3.4519550800323486,3.507373094558716,-3.412085771560669,3.2519736289978027,-3.4925413131713867,0.026135122403502464,4.115504741668701,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-0.9798920154571533,-1.5711556673049927,-4.699584007263184,0.9594858288764954,2.345893383026123,3.3382058143615723,3.913539171218872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-2.5461385250091553,-4.989929676055908,1.1540435552597046,-1.5358822345733643,-6.22517204284668,5.1867499351501465,-1.6751397848129272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-0.703722357749939,0.5906808972358704,-1.2266658544540405,-0.4117905795574188,-2.7250566482543945,-0.19841833412647247,0.3135099709033966,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.1045011281967163,0.49148502945899963,-0.6511274576187134,-0.17197328805923462,-1.873885154724121,1.1363047361373901,1.4235646724700928,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.4510776102542877,0.49286019802093506,-2.997668981552124,-0.7024819850921631,-3.165945053100586,1.248040795326233,2.1013495922088623,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.155967354774475,0.4631126821041107,-3.1078197956085205,0.6096504926681519,-4.3713459968566895,0.6096104979515076,-2.6930882930755615,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,1.0811381340026855,3.7464969158172607,-0.16315297782421112,-1.7172093391418457,-2.904510498046875,2.111116886138916,-0.047734059393405914,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-0.3028298020362854,-0.35016852617263794,0.2024696320295334,-0.9702768921852112,-5.232163906097412,-3.653048276901245,3.057093620300293,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-0.3397238850593567,-3.2899515628814697,-5.438961505889893,2.993692636489868,-1.287498950958252,-0.7766387462615967,2.047708749771118,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,1.3060288429260254,-5.730037212371826,0.02436339482665062,3.41524600982666,-1.9966620206832886,0.35000547766685486,-0.41533735394477844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-5.51737642288208,-0.17085686326026917,3.9186277389526367,-0.5803713202476501,1.4040485620498657,2.666712999343872,-3.631749153137207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-1.737767219543457,0.758936882019043,-1.1056020259857178,-0.6601908206939697,-2.6570277214050293,0.02788413316011429,-0.6340605020523071,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.9012116193771362,0.29152801632881165,-1.2330750226974487,-1.1837998628616333,-1.5271226167678833,-1.0050634145736694,-0.904128909111023,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.8560997247695923,1.7571971416473389,-0.49855077266693115,1.3139710426330566,-3.3634073734283447,1.341431736946106,-0.2656269371509552,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.9122810363769531,0.6471582055091858,-1.3627992868423462,2.903289318084717,-3.567004680633545,-0.8781973123550415,1.181596279144287,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-0.0716567113995552,1.5572583675384521,-1.9843504428863525,1.2484211921691895,-4.47910737991333,3.3819055557250977,1.984989881515503,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-0.5481717586517334,-4.43080997467041,1.54456627368927,-1.2312296628952026,-2.6340315341949463,-1.1532249450683594,0.7671372890472412,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
