split,feature_0,feature_1,feature_2,class_0,class_1,class_2,class_3,class_4
train,-0.6307957768440247,-0.4876798391342163,0.19109687209129333,1.0,0.0,0.0,0.0,0.0
train,-0.730499267578125,-2.6017918586730957,0.7793971300125122,0.0,1.0,0.0,0.0,0.0
train,-0.27231472730636597,1.5565346479415894,3.0791308879852295,0.0,0.0,1.0,0.0,0.0
train,3.041771411895752,-2.8164916038513184,0.2478088140487671,0.0,0.0,0.0,1.0,0.0
train,-4.161020278930664,-3.458925247192383,2.481278657913208,0.0,0.0,0.0,0.0,1.0
train,0.39678284525871277,-0.041970446705818176,0.6663628220558167,1.0,0.0,0.0,0.0,0.0
train,-1.3061676025390625,0.38379132747650146,-0.21941085159778595,0.0,1.0,0.0,0.0,0.0
train,-2.168665885925293,1.4712696075439453,1.8718980550765991,0.0,0.0,1.0,0.0,0.0
train,-3.0932421684265137,2.040024518966675,0.448839396238327,0.0,0.0,0.0,1.0,0.0
train,1.7572755813598633,-3.4704525470733643,4.73231840133667,0.0,0.0,0.0,0.0,1.0
train,0.2931513786315918,-0.3569842278957367,1.8683485984802246,1.0,0.0,0.0,0.0,0.0
train,-0.49725931882858276,-1.6347204446792603,2.8316853046417236,0.0,1.0,0.0,0.0,0.0
train,1.0322881937026978,-1.2777286767959595,-1.5636802911758423,0.0,0.0,1.0,0.0,0.0
train,-1.6858205795288086,-3.8173422813415527,-0.9392451047897339,0.0,0.0,0.0,1.0,0.0
train,-2.329624652862549,-0.8430659770965576,5.6281914710998535,0.0,0.0,0.0,0.0,1.0
train,-1.1024694442749023,-0.31343480944633484,1.4262402057647705,1.0,0.0,0.0,0.0,0.0
train,-1.0816700458526611,-1.093995213508606,-0.6787276864051819,0.0,1.0,0.0,0.0,0.0
train,1.9427992105484009,-2.561683177947998,0.23451222479343414,0.0,0.0,1.0,0.0,0.0
train,-1.4113221168518066,1.3582491874694824,-2.1417863368988037,0.0,0.0,0.0,1.0,0.0
train,0.07422812283039093,2.5407769680023193,4.893801212310791,0.0,0.0,0.0,0.0,1.0
train,0.35535135865211487,-0.3047930598258972,1.7961500883102417,1.0,0.0,0.0,0.0,0.0
train,-0.4747912287712097,-1.835629940032959,2.7098987102508545,0.0,1.0,0.0,0.0,0.0
train,0.8637137413024902,-3.401920795440674,1.736572027206421,0.0,0.0,1.0,0.0,0.0
train,-0.544766366481781,1.9317450523376465,4.096145153045654,0.0,0.0,0.0,1.0,0.0
train,-3.7276697158813477,-3.7357864379882812,2.9702413082122803,0.0,0.0,0.0,0.0,1.0
val,0.0379837304353714,0.048782892525196075,1.7057944536209106,1.0,0.0,0.0,0.0,0.0
val,0.5863597989082336,0.10703208297491074,2.7281692028045654,0.0,1.0,0.0,0.0,0.0
val,1.6193889379501343,-2.9151124954223633,1.8553494215011597,0.0,0.0,1.0,0.0,0.0
val,-0.7154797315597534,2.63619065284729,3.262038230895996,0.0,0.0,0.0,1.0,0.0
