split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,class_0,class_1,class_2,class_3,class_4,class_5,class_6
train,1.5601413249969482,0.014339364133775234,-1.6473160982131958,-0.11347460001707077,0.003719362895935774,0.3471125662326813,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.37417829036712646,-0.06446502357721329,-2.051952600479126,0.45067617297172546,-0.606674075126648,1.0338915586471558,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,2.2061707973480225,1.9009166955947876,-0.31402215361595154,1.3551541566848755,0.07458283007144928,1.9555811882019043,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,1.3650797605514526,2.4134907722473145,-2.5621583461761475,2.46399188041687,-0.15749432146549225,2.781937837600708,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,1.2690917253494263,1.6201835870742798,-1.683303952217102,-3.1975648403167725,-0.36029478907585144,4.935064315795898,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-1.6961617469787598,0.20971444249153137,-0.7187979221343994,-2.1130073070526123,-3.677088737487793,4.566988468170166,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,0.8665029406547546,2.8038618564605713,-1.1993321180343628,-0.17041076719760895,-2.614269971847534,-4.785454750061035,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,1.4208109378814697,0.6173737645149231,-1.8327981233596802,-0.06848181039094925,-0.3601550757884979,2.0336666107177734,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,2.375271797180176,1.3281961679458618,-0.6439575552940369,0.26224881410598755,0.09052418917417526,1.3687604665756226,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,2.4608590602874756,0.8222495913505554,-2.5602290630340576,-0.3532397449016571,-2.9527180194854736,0.7830583453178406,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,2.812258005142212,1.8226618766784668,-3.6010475158691406,-0.6950871348381042,2.0793633460998535,0.3585011661052704,0.0,0.0,0.0,1.0,0.0,0.0,0.0
