split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,class_0,class_1,class_2,class_3,class_4
train,-0.4373047649860382,1.6048418283462524,-0.21115365624427795,0.7466526627540588,1.0756255388259888,-1.6893196105957031,-1.4291906356811523,0.15146826207637787,1.0,0.0,0.0,0.0,0.0
train,-2.0920848846435547,2.011698007583618,-0.301618367433548,0.7255393266677856,1.0248972177505493,-1.4041790962219238,-1.874329686164856,-1.0486607551574707,0.0,1.0,0.0,0.0,0.0
train,-1.6452314853668213,0.32708996534347534,-1.3112298250198364,2.3970253467559814,1.8797487020492554,-1.7678132057189941,-2.732335329055786,0.23070083558559418,0.0,0.0,1.0,0.0,0.0
train,0.46284738183021545,0.298117458820343,-2.4825377464294434,1.975807785987854,1.3110699653625488,-2.581747531890869,1.1951028108596802,-0.2648707330226898,0.0,0.0,0.0,1.0,0.0
train,-0.6033025979995728,0.5923585295677185,-0.7310805320739746,-2.312549591064453,-1.3536447286605835,-3.995042562484741,-1.6222612857818604,1.6978636980056763,0.0,0.0,0.0,0.0,1.0
train,-0.5273682475090027,1.5166289806365967,-0.18106266856193542,0.7345901727676392,0.35706135630607605,-2.037276268005371,-0.8839370608329773,0.05408285930752754,1.0,0.0,0.0,0.0,0.0
train,-0.6861862540245056,1.4176082611083984,-0.34339573979377747,0.6910579204559326,0.056264035403728485,-1.6129957437515259,-1.7960644960403442,-1.1729130744934082,0.0,1.0,0.0,0.0,0.0
train,-1.5205518007278442,2.321564197540283,-1.225017786026001,-0.3183785378932953,0.04963471367955208,-2.7448527812957764,1.04636549949646,-0.052592482417821884,0.0,0.0,1.0,0.0,0.0
train,0.992134153842926,1.7610394954681396,-1.2996538877487183,-0.07465898990631104,0.06704878807067871,-2.9051754474639893,-3.1176443099975586,2.043957471847534,0.0,0.0,0.0,1.0,0.0
train,-3.5378735065460205,0.8273088335990906,2.4587008953094482,1.9937466382980347,3.703015089035034,-1.263332486152649,-1.4087169170379639,-0.38222986459732056,0.0,0.0,0.0,0.0,1.0
train,-1.447728157043457,1.4678361415863037,0.3508199453353882,0.6056177616119385,1.0210747718811035,-1.8090696334838867,-0.9465168118476868,0.40483206510543823,1.0,0.0,0.0,0.0,0.0
train,-0.12864303588867188,1.8150339126586914,0.900319516658783,0.3321775496006012,1.2947334051132202,-1.1573406457901,-1.3020340204238892,0.42624592781066895,0.0,1.0,0.0,0.0,0.0
train,-0.7189851999282837,3.154829740524292,-0.407747358083725,0.3737333416938782,0.7637509107589722,0.05853186920285225,-1.2219955921173096,2.119710683822632,0.0,0.0,1.0,0.0,0.0
train,0.06984539330005646,-0.4483349621295929,0.46825897693634033,0.4978879690170288,-0.8361207842826843,-2.9250757694244385,1.152216911315918,0.49136725068092346,0.0,0.0,0.0,1.0,0.0
train,0.25418621301651,1.0597667694091797,-1.6567906141281128,4.296635150909424,-1.9396402835845947,-2.0245308876037598,0.6246736645698547,-0.27290070056915283,0.0,0.0,0.0,0.0,1.0
train,-1.4288235902786255,1.548343539237976,0.5168023705482483,1.0396335124969482,0.6305542588233948,-1.8189104795455933,-1.042306661605835,0.389474093914032,1.0,0.0,0.0,0.0,0.0
train,-1.524389386177063,2.582200288772583,-0.753729522228241,1.557034969329834,1.6728272438049316,-1.1416387557983398,-0.1317606419324875,-0.5798974633216858,0.0,1.0,0.0,0.0,0.0
train,-1.837405800819397,1.2451421022415161,-2.422302007675171,2.242393732070923,0.7205780744552612,-0.5718401670455933,-2.059556484222412,1.0419577360153198,0.0,0.0,1.0,0.0,0.0
train,-1.8966151475906372,0.15923497080802917,-1.1554045677185059,1.186766505241394,-0.21009212732315063,-3.777946949005127,1.4569092988967896,-0.7355865836143494,0.0,0.0,0.0,1.0,0.0
train,-4.622179985046387,2.995321750640869,0.4613391160964966,0.36212241649627686,3.2519474029541016,-0.15447930991649628,0.2236819565296173,-0.023865368217229843,0.0,0.0,0.0,0.0,1.0
train,-1.027254343032837,2.261711359024048,-0.6895261406898499,0.42425212264060974,0.9336220622062683,-1.2950036525726318,-1.0296987295150757,0.2892723083496094,1.0,0.0,0.0,0.0,0.0
train,-0.4884834587574005,3.2605061531066895,-0.7578741908073425,1.4065643548965454,1.346798062324524,-1.0123969316482544,-0.6778868436813354,0.29803428053855896,0.0,1.0,0.0,0.0,0.0
train,-1.784321904182434,1.4421632289886475,-1.0234068632125854,1.2285358905792236,-0.22943587601184845,-2.7025301456451416,0.8030932545661926,-1.3385831117630005,0.0,0.0,1.0,0.0,0.0
train,-2.711925506591797,2.8104302883148193,-0.8065799474716187,0.31875795125961304,0.8044348955154419,-2.5291013717651367,0.4921169877052307,-2.6040163040161133,0.0,0.0,0.0,1.0,0.0
train,1.2497810125350952,1.2366666793823242,0.5651454329490662,-0.6780942678451538,-0.4520902633666992,-5.371842384338379,-1.1515411138534546,0.342928022146225,0.0,0.0,0.0,0.0,1.0
val,-1.2736222743988037,1.4797314405441284,0.09807642549276352,1.0373167991638184,0.3859267234802246,-1.2108850479125977,-0.5529102087020874,0.09102357923984528,1.0,0.0,0.0,0.0,0.0
val,-1.8457354307174683,1.4086834192276,0.14357246458530426,1.5399787425994873,0.2890894412994385,-0.9349302649497986,0.4416171908378601,0.42203012108802795,0.0,1.0,0.0,0.0,0.0
val,-2.822383165359497,2.419266700744629,0.8000881671905518,0.5751664042472839,1.4600534439086914,-0.9011874198913574,-1.4645205736160278,2.0117719173431396,0.0,0.0,1.0,0.0,0.0
val,0.05983155965805054,3.4115076065063477,-0.5103546977043152,3.3579909801483154,0.4452820122241974,0.11583223193883896,-1.6251354217529297,-1.2100218534469604,0.0,0.0,0.0,1.0,0.0
val,-1.775302767753601,4.36859130859375,2.6118032932281494,1.8413697481155396,0.45644447207450867,0.8415663838386536,-0.7706149816513062,1.4393038749694824,0.0,0.0,0.0,0.0,1.0
val,-1.1401721239089966,1.1701501607894897,-0.2509508728981018,1.36057448387146,0.2273322492837906,-1.1826262474060059,-1.0114623308181763,0.2964659035205841,1.0,0.0,0.0,0.0,0.0
val,0.0338875949382782,1.6366913318634033,-0.5770086646080017,0.7041200995445251,0.6395484805107117,-2.5812180042266846,-0.09074559062719345,1.2642879486083984,0.0,1.0,0.0,0.0,0.0
val,0.31245431303977966,1.4441643953323364,-1.1185630559921265,2.0745816230773926,0.13783815503120422,-2.8172214031219482,0.8689799904823303,0.688332736492157,0.0,0.0,1.0,0.0,0.0
val,1.3926125764846802,-0.14012610912322998,-0.5524196624755859,2.339723825454712,-0.1891031712293625,-2.973764181137085,-1.094077706336975,-0.9826493263244629,0.0,0.0,0.0,1.0,0.0
val,-0.36080461740493774,4.51592493057251,-2.7240712642669678,1.4420509338378906,0.5762293934822083,-4.230133056640625,0.7854650020599365,-0.8338727951049805,0.0,0.0,0.0,0.0,1.0
val,-0.7867716550827026,1.083762288093567,-0.11515212804079056,1.2476837635040283,0.806110143661499,-2.1200575828552246,-1.1027973890304565,-0.029667025431990623,1.0,0.0,0.0,0.0,0.0
val,-1.8700512647628784,0.928863525390625,-0.3325287699699402,0.49762776494026184,0.6460056900978088,-0.17866013944149017,-0.7042274475097656,0.008644092828035355,0.0,1.0,0.0,0.0,0.0
val,-1.9113531112670898,0.6519582867622375,-1.980486512184143,-0.18779824674129486,0.5872466564178467,-1.0255857706069946,0.5388588309288025,-0.31061479449272156,0.0,0.0,1.0,0.0,0.0
val,-0.8557066321372986,-0.778938353061676,2.3837151527404785,-0.13344159722328186,1.0914719104766846,-1.36753249168396,-0.5783834457397461,0.6356151700019836,0.0,0.0,0.0,1.0,0.0
val,-1.9496285915374756,3.618868350982666,-0.8054560422897339,0.41104719042778015,-1.4658032655715942,-3.8503105640411377,-3.9236221313476562,1.7588953971862793,0.0,0.0,0.0,0.0,1.0
val,-1.4762452840805054,1.6416336297988892,-0.576498806476593,1.4382712841033936,0.3425387144088745,-1.0731676816940308,-1.3540537357330322,0.3933035433292389,1.0,0.0,0.0,0.0,0.0
val,-0.4397704601287842,2.3398776054382324,0.5349271893501282,0.9363194108009338,0.5852625370025635,-2.6371772289276123,-1.16098153591156,1.4771982431411743,0.0,1.0,0.0,0.0,0.0
val,-0.7818494439125061,0.8888782858848572,-0.6663440465927124,3.601656675338745,1.4400511980056763,-1.2268880605697632,-0.5299164056777954,-0.5103821158409119,0.0,0.0,1.0,0.0,0.0
val,-2.9977927207946777,2.292926073074341,-0.7165092825889587,1.3446722030639648,0.4896184206008911,-1.4424183368682861,-2.7680535316467285,3.3347225189208984,0.0,0.0,0.0,1.0,0.0
