split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,class_0,class_1
train,0.42126208543777466,0.45410898327827454,0.2377697378396988,-1.0372952222824097,0.6740663051605225,-0.3929039239883423,-1.360020399093628,-0.8346750736236572,1.0,0.0
train,-0.6712276935577393,0.02418089471757412,-0.06056826189160347,-2.1558828353881836,0.2988119125366211,0.24862638115882874,-0.4930850863456726,0.6900584101676941,0.0,1.0
train,0.7204313278198242,0.6710122227668762,-0.1392204463481903,-0.7478941082954407,-0.13434529304504395,-0.8492340445518494,-1.4776427745819092,0.3343547582626343,1.0,0.0
train,-0.7638973593711853,1.2241061925888062,1.3776590824127197,-1.3085970878601074,-0.5145971179008484,-0.14309647679328918,-2.082209348678589,-0.1816612333059311,0.0,1.0
train,0.6956678628921509,0.5193648338317871,0.7998982071876526,-1.4080132246017456,0.7684488892555237,-0.791679322719574,-1.1379926204681396,-0.25237369537353516,1.0,0.0
train,1.075009822845459,-0.08423656970262527,-0.016294270753860474,-0.8526357412338257,0.9203054308891296,-0.9695289134979248,-0.497060090303421,-1.2308318614959717,0.0,1.0
train,0.5346630215644836,0.16755348443984985,0.34705987572669983,-0.4909624457359314,-0.17193584144115448,-0.18991149961948395,-0.9895014762878418,0.34809306263923645,1.0,0.0
train,-0.7156080603599548,-0.3172948956489563,0.9735397696495056,0.14497090876102448,0.2082066535949707,-0.6843230724334717,-0.8644663691520691,0.017918827012181282,0.0,1.0
train,0.2482161521911621,0.9427836537361145,0.4132448136806488,-1.1141765117645264,-0.04618997499346733,-0.913743793964386,-0.4890783429145813,-0.16694754362106323,1.0,0.0
train,1.6415959596633911,-0.061171501874923706,0.016843702644109726,-0.8080706596374512,0.3759903609752655,-0.7157692909240723,-2.451263189315796,0.24428245425224304,0.0,1.0
val,0.3935166895389557,0.25560012459754944,0.7317901253700256,-0.8540452718734741,-0.20943503081798553,-1.2095386981964111,-1.0159828662872314,-0.1307831108570099,1.0,0.0
val,0.0795021578669548,0.20927578210830688,0.30615562200546265,0.13425517082214355,-0.40826231241226196,-1.7367775440216064,-1.3958734273910522,0.526465654373169,0.0,1.0
val,0.41621607542037964,-0.1398657262325287,-0.21249012649059296,-1.3384581804275513,-0.0533582903444767,-0.25330469012260437,-1.5668880939483643,-0.2803592085838318,1.0,0.0
val,0.2490423172712326,0.43953272700309753,0.019184701144695282,-0.698738157749176,-1.3617807626724243,-0.7279409170150757,-0.5710717439651489,-1.0386109352111816,0.0,1.0
val,0.44397038221359253,0.9368273019790649,-0.1028691902756691,-0.9101778268814087,0.46783775091171265,-0.37990042567253113,-1.0249744653701782,-0.6312229633331299,1.0,0.0
val,0.4007047116756439,1.1625797748565674,0.7360519170761108,-2.135732650756836,-0.19044604897499084,-0.5949769616127014,0.252159059047699,0.27559539675712585,0.0,1.0
val,0.6820967793464661,0.6924976706504822,-0.04968691244721413,-0.805840015411377,-0.3389457166194916,-0.3659442067146301,-0.7420896291732788,0.2155136615037918,1.0,0.0
val,1.1871613264083862,0.701651394367218,0.19143633544445038,0.4041588008403778,-0.5167787671089172,-1.0313271284103394,-1.1649855375289917,-0.003680423367768526,0.0,1.0
val,0.09208022058010101,0.047592587769031525,0.8096421360969543,-0.9933751225471497,0.6292584538459778,-0.21452316641807556,-1.0860843658447266,0.33369922637939453,1.0,0.0
val,0.16903842985630035,1.384575366973877,0.15610724687576294,0.33934590220451355,0.7522829174995422,-0.7284152507781982,-1.5836716890335083,0.52690190076828,0.0,1.0
test,0.2658237814903259,0.4683109521865845,0.5681281089782715,-1.1623347997665405,0.09470724314451218,-0.83632493019104,-0.5856038331985474,0.5808084607124329,1.0,0.0
test,-0.6662558317184448,-0.6921706199645996,0.21968038380146027,-1.2716543674468994,0.3578805923461914,0.7534506916999817,-1.1379897594451904,0.06885997951030731,0.0,1.0
test,1.161810040473938,0.13690364360809326,0.4514305889606476,-1.000319480895996,0.24407391250133514,-0.21017976105213165,-1.2767155170440674,-0.07205256074666977,1.0,0.0
test,0.0625145211815834,-0.012342629954218864,-0.023773808032274246,-0.5626094341278076,-0.28044241666793823,1.239890456199646,-1.4538323879241943,0.05966206640005112,0.0,1.0
test,0.16986756026744843,-0.06458228081464767,0.47687485814094543,-0.9467468857765198,-0.3023295998573303,0.07464196532964706,-1.5788638591766357,-0.015713347122073174,1.0,0.0
test,0.2875584363937378,0.31142565608024597,-0.8610812425613403,-1.2963273525238037,-0.20553165674209595,-0.7132222652435303,-0.009507228620350361,-0.9545572996139526,0.0,1.0
test,0.1417999416589737,0.3874400556087494,-0.14292815327644348,-0.8392358422279358,0.751318633556366,-0.46754059195518494,-0.842069685459137,0.19602875411510468,1.0,0.0
test,0.7104663848876953,0.015845593065023422,0.03365244343876839,-2.4441771507263184,-1.0640336275100708,-0.30828434228897095,-1.5653355121612549,0.5333251357078552,0.0,1.0
test,0.09306684881448746,0.33182382583618164,0.5080915689468384,-0.5262656807899475,0.36135584115982056,-0.9561678767204285,-0.8435941934585571,-0.2852185368537903,1.0,0.0
test,-0.05009326711297035,-0.2285064309835434,-0.3491911292076111,-2.7574143409729004,0.3922417461872101,-0.750248372554779,-1.6318060159683228,0.11238570511341095,0.0,1.0
test,0.18619473278522491,0.24645210802555084,0.07851942628622055,-0.9191665649414062,0.848267674446106,-0.9540714621543884,-1.4328333139419556,-0.09970042109489441,1.0,0.0
test,1.5809170007705688,1.1858184337615967,-0.2527754008769989,-0.9841882586479187,1.1056534051895142,0.21876156330108643,-1.3373304605484009,0.09694352000951767,0.0,1.0
test,-0.2912802994251251,0.42409148812294006,-0.2225116342306137,-1.3539726734161377,0.43685248494148254,-0.5257130861282349,-0.8239742517471313,-0.12293069064617157,1.0,0.0
test,1.6146669387817383,0.4925486147403717,0.3126382827758789,-0.6576387882232666,1.105165958404541,0.38991639018058777,-1.0316853523254395,-0.5277952551841736,0.0,1.0
test,0.36887508630752563,0.3977232575416565,0.13108181953430176,-1.8589180707931519,-0.2627350389957428,-0.9906890988349915,-1.0163534879684448,-0.12329321354627609,1.0,0.0
test,1.6289223432540894,0.9177841544151306,0.7180154919624329,-1.4892653226852417,0.3229871392250061,-1.5995736122131348,-0.7150762677192688,-0.5494800209999084,0.0,1.0
test,0.14165553450584412,0.03720061480998993,0.653515636920929,-1.5415934324264526,0.5453471541404724,-0.2516944408416748,-0.7861874103546143,-0.3140188157558441,1.0,0.0
