split,feature_0,feature_1,feature_2,feature_3,class_0,class_1,class_2
train,-1.5313687324523926,-0.939846396446228,0.8263554573059082,0.32796570658683777,1.0,0.0,0.0
train,-3.1878879070281982,-0.24930408596992493,1.0177252292633057,1.279016375541687,0.0,1.0,0.0
train,-3.561570882797241,2.156888484954834,0.23018617928028107,0.6820575594902039,0.0,0.0,1.0
train,-2.0667431354522705,-0.5325019359588623,0.5552718639373779,0.9107195138931274,1.0,0.0,0.0
train,-2.6757030487060547,-0.5942147374153137,-0.8335168957710266,-0.03445803374052048,0.0,1.0,0.0
train,-4.151867866516113,0.17823977768421173,2.0264463424682617,0.26014700531959534,0.0,0.0,1.0
train,-1.3309152126312256,0.04728088527917862,-0.25632086396217346,-0.13542237877845764,1.0,0.0,0.0
train,-0.7185186147689819,0.08779126405715942,0.27827051281929016,2.1194303035736084,0.0,1.0,0.0
train,-1.2955881357192993,2.194166421890259,1.0274068117141724,-1.7210646867752075,0.0,0.0,1.0
train,-2.388695240020752,0.1237574890255928,0.8945327401161194,0.6862513422966003,1.0,0.0,0.0
train,-2.813460350036621,0.629522442817688,1.1660574674606323,-0.968102216720581,0.0,1.0,0.0
train,-0.1762656718492508,2.1934452056884766,0.5240619778633118,1.9188683032989502,0.0,0.0,1.0
train,-1.6594148874282837,-0.924439013004303,0.45802780985832214,0.15911029279232025,1.0,0.0,0.0
train,-1.9883743524551392,-1.7177249193191528,1.1627013683319092,0.9381380677223206,0.0,1.0,0.0
train,-0.032536935061216354,2.1829543113708496,0.8916383385658264,1.7812705039978027,0.0,0.0,1.0
val,-2.372668504714966,0.34478163719177246,0.322093665599823,0.054853931069374084,1.0,0.0,0.0
val,-1.1586836576461792,0.805189847946167,2.34834623336792,-0.23593026399612427,0.0,1.0,0.0
val,-1.7072947025299072,1.3154062032699585,2.8332087993621826,-1.2444698810577393,0.0,0.0,1.0
val,-1.6144169569015503,0.6047312021255493,1.375475287437439,0.003987703938037157,1.0,0.0,0.0
val,-2.8188910484313965,0.003507558023557067,-0.8702666163444519,0.5514273047447205,0.0,1.0,0.0
val,-0.44455352425575256,-0.2993486523628235,-0.367422878742218,2.9184868335723877,0.0,0.0,1.0
val,-2.239551544189453,0.5992928147315979,0.23547281324863434,0.3065362870693207,1.0,0.0,0.0
val,-3.2839646339416504,0.2671498954296112,0.0566227026283741,-0.37242400646209717,0.0,1.0,0.0
val,-4.426730632781982,0.664334237575531,0.8724609017372131,0.4394468069076538,0.0,0.0,1.0
val,-1.6755523681640625,0.4572126567363739,-0.24361199140548706,0.5387352108955383,1.0,0.0,0.0
val,-3.0197653770446777,-0.08793036639690399,-0.057310350239276886,1.4254339933395386,0.0,1.0,0.0
val,-2.149099349975586,1.4648222923278809,-0.8338876962661743,2.4206764698028564,0.0,0.0,1.0
val,-1.1243959665298462,0.9127935171127319,0.8788818120956421,0.1661549061536789,1.0,0.0,0.0
val,0.2488596886396408,0.6526123285293579,-0.02038619853556156,-0.04916158318519592,0.0,1.0,0.0
val,1.0605387687683105,-0.5605967044830322,1.5816212892532349,1.3753225803375244,0.0,0.0,1.0
test,-1.0858217477798462,-0.12895090878009796,0.9686422944068909,-0.5067610740661621,1.0,0.0,0.0
test,-2.975404739379883,-0.03760162368416786,1.0887055397033691,-0.9575273394584656,0.0,1.0,0.0
test,-2.0239474773406982,2.746955394744873,-0.402183473110199,-0.2780779302120209,0.0,0.0,1.0
test,-2.3610918521881104,0.4951785206794739,0.3984256386756897,0.20553159713745117,1.0,0.0,0.0
test,-0.3469589054584503,0.43337467312812805,2.1150195598602295,0.8268760442733765,0.0,1.0,0.0
test,-3.3603250980377197,-2.04677152633667,1.3041197061538696,-0.5508787631988525,0.0,0.0,1.0
test,-1.7932103872299194,0.7088564038276672,1.204954981803894,-0.040120095014572144,1.0,0.0,0.0
test,-1.4203846454620361,-1.6503663063049316,-0.0649883970618248,1.1341118812561035,0.0,1.0,0.0
test,-3.9915709495544434,-0.35079067945480347,0.3985249102115631,1.9336767196655273,0.0,0.0,1.0
test,-2.330714702606201,-0.23329415917396545,0.4810667335987091,-0.16333229839801788,1.0,0.0,0.0
test,-2.148829460144043,-1.336060881614685,1.0510808229446411,1.5437703132629395,0.0,1.0,0.0
test,1.4550144672393799,0.026258809491991997,0.4995081126689911,-0.15016543865203857,0.0,0.0,1.0
test,-1.5098527669906616,-0.4162770211696625,-0.05008350685238838,0.9011812806129456,1.0,0.0,0.0
test,-2.535489082336426,-0.0366070456802845,-1.0832985639572144,0.12544667720794678,0.0,1.0,0.0
test,-0.6701069474220276,-0.5735683441162109,2.8806025981903076,-1.3637871742248535,0.0,0.0,1.0
test,-2.240854024887085,-0.6091743111610413,0.4166659414768219,0.3342968225479126,1.0,0.0,0.0
test,-1.1408957242965698,-1.4328190088272095,1.7447478771209717,0.974730908870697,0.0,1.0,0.0
test,-4.238375186920166,0.35304197669029236,-0.25155866146087646,1.137433409690857,0.0,0.0,1.0
test,-1.5529980659484863,0.7080713510513306,1.3402719497680664,0.48612192273139954,1.0,0.0,0.0
test,-2.9879207611083984,0.9900197386741638,0.21463775634765625,-0.5435372591018677,0.0,1.0,0.0
test,-2.699397325515747,-2.6254162788391113,1.31125009059906,0.25062593817710876,0.0,0.0,1.0
test,-2.2952821254730225,0.626710057258606,0.7800899147987366,0.2394115924835205,1.0,0.0,0.0
test,-0.7155435681343079,1.6694427728652954,-0.18588924407958984,0.05991964414715767,0.0,1.0,0.0
test,0.4032093584537506,-0.35252395272254944,0.8825427293777466,-1.9514662027359009,0.0,0.0,1.0
test,-2.0260651111602783,0.22206565737724304,1.3010674715042114,-0.16761644184589386,1.0,0.0,0.0
test,-1.0890105962753296,-1.0192452669143677,1.390185832977295,1.7677713632583618,0.0,1.0,0.0
test,-4.256972312927246,-1.1005337238311768,0.5743758082389832,0.6824692487716675,0.0,0.0,1.0
test,-0.8270537257194519,0.7552900314331055,0.6651583909988403,0.16529271006584167,1.0,0.0,0.0
test,-2.256649971008301,1.405615210533142,1.832497477531433,0.6238358616828918,0.0,1.0,0.0
test,-1.2089284658432007,2.9115827083587646,-0.11500471085309982,-0.025422627106308937,0.0,0.0,1.0
test,-1.2571156024932861,0.1352822482585907,1.4921340942382812,0.7226527333259583,1.0,0.0,0.0
test,-1.8865668773651123,1.5619443655014038,1.8437964916229248,0.5006516575813293,0.0,1.0,0.0
test,-1.7722821235656738,-1.5942978858947754,-0.07365140318870544,2.7187910079956055,0.0,0.0,1.0
test,-1.8532880544662476,-0.29081663489341736,-0.1571502983570099,0.7238203287124634,1.0,0.0,0.0
test,-1.301567554473877,1.3991280794143677,1.7915925979614258,-0.5418742299079895,0.0,1.0,0.0
