split,feature_0,feature_1,feature_2,feature_3,feature_4,class_0,class_1,class_2
train,1.2472105026245117,-0.28768739104270935,-0.783378541469574,-1.519871711730957,-0.0262399110943079,1.0,0.0,0.0
train,1.7853789329528809,-0.35693299770355225,-0.30085092782974243,0.6967617869377136,-1.1702641248703003,0.0,1.0,0.0
train,0.7240617275238037,-2.1183247566223145,1.9352073669433594,-1.230279564857483,-0.2325737029314041,0.0,0.0,1.0
train,1.7155758142471313,0.4689411520957947,0.010142330080270767,-1.546339988708496,-0.025989999994635582,1.0,0.0,0.0
train,0.5185531377792358,1.2266682386398315,1.257110595703125,-1.3921765089035034,-0.7994893193244934,0.0,1.0,0.0
train,-0.6866576671600342,1.4369206428527832,-0.3721645474433899,-1.4871891736984253,1.3507084846496582,0.0,0.0,1.0
train,1.5888038873672485,-0.6785817742347717,-0.17231519520282745,-1.313057780265808,0.03438449651002884,1.0,0.0,0.0
train,0.9059383869171143,0.8816727995872498,-0.41987258195877075,-0.08209928870201111,-1.946568250656128,0.0,1.0,0.0
train,2.3616113662719727,-0.017457034438848495,-1.9455516338348389,-1.0920485258102417,-2.4985010623931885,0.0,0.0,1.0
train,1.0942413806915283,0.9877945184707642,-0.1300453543663025,-1.0420379638671875,-0.24403779208660126,1.0,0.0,0.0
train,2.5651915073394775,-0.5272354483604431,-0.6670218110084534,0.11763342469930649,-0.08765336871147156,0.0,1.0,0.0
train,1.1973345279693604,-0.41053685545921326,2.1651508808135986,0.340724915266037,0.8934298157691956,0.0,0.0,1.0
train,0.766418993473053,-0.02223704196512699,0.7598493695259094,-1.3034920692443848,-0.35595232248306274,1.0,0.0,0.0
train,2.662945032119751,1.0213146209716797,-0.05483904853463173,-0.3805166780948639,-1.024887204170227,0.0,1.0,0.0
train,2.511564254760742,-1.1012731790542603,0.8339943885803223,0.9267177581787109,0.6735702753067017,0.0,0.0,1.0
val,1.4333370923995972,-0.03480628505349159,0.1497376263141632,-0.9032672643661499,0.46142712235450745,1.0,0.0,0.0
