split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,class_0,class_1,class_2,class_3,class_4
train,0.8869047164916992,-1.9510458707809448,0.6826885938644409,-0.16884583234786987,-0.39998674392700195,1.0799530744552612,1.0,0.0,0.0,0.0,0.0
train,0.4872484803199768,-1.5787254571914673,1.3711342811584473,-0.41835424304008484,-0.3381502330303192,1.9460817575454712,0.0,1.0,0.0,0.0,0.0
train,0.007709271740168333,0.11305548995733261,1.6193982362747192,-0.5972055792808533,-1.1347687244415283,1.8591331243515015,0.0,0.0,1.0,0.0,0.0
train,2.331526756286621,-3.268982410430908,-0.5535531044006348,-3.6364388465881348,-1.1561176776885986,1.6095609664916992,0.0,0.0,0.0,1.0,0.0
train,-1.2989470958709717,-3.786785364151001,-1.2293744087219238,1.0061701536178589,2.99998140335083,1.4425628185272217,0.0,0.0,0.0,0.0,1.0
train,0.6376158595085144,-2.3613662719726562,-0.5466101765632629,0.166701078414917,-0.9123308062553406,0.9294968843460083,1.0,0.0,0.0,0.0,0.0
train,1.7113678455352783,-2.6981120109558105,1.2980254888534546,-0.0975741371512413,-1.098854899406433,0.6685287356376648,0.0,1.0,0.0,0.0,0.0
train,-0.3130263686180115,-3.9898133277893066,-0.8122972846031189,-1.6815236806869507,-1.3778432607650757,1.803339958190918,0.0,0.0,1.0,0.0,0.0
train,0.8349429965019226,-2.2387256622314453,-0.8412829637527466,-1.848043441772461,-1.42460036277771,-2.9333808422088623,0.0,0.0,0.0,1.0,0.0
train,0.297519713640213,-2.8028860092163086,0.9176824688911438,3.6933367252349854,1.468162178993225,1.639318585395813,0.0,0.0,0.0,0.0,1.0
train,1.160889983177185,-1.7573548555374146,-0.698172926902771,-0.21155397593975067,-1.122098684310913,0.8133683204650879,1.0,0.0,0.0,0.0,0.0
train,0.16470134258270264,-1.476348638534546,0.007325060199946165,-1.3689885139465332,-1.9285115003585815,1.7763855457305908,0.0,1.0,0.0,0.0,0.0
train,-0.7457937002182007,-1.439698576927185,-0.9435557723045349,-2.414201021194458,-0.8705727458000183,-0.8957634568214417,0.0,0.0,1.0,0.0,0.0
train,1.0862360000610352,-3.6458871364593506,0.07028743624687195,3.0492663383483887,-0.681567907333374,1.0981863737106323,0.0,0.0,0.0,1.0,0.0
train,-0.8549917340278625,-1.399370789527893,-1.5017584562301636,-0.9227848052978516,3.5251669883728027,2.2759289741516113,0.0,0.0,0.0,0.0,1.0
train,0.6079188585281372,-1.7359683513641357,0.6208255290985107,-0.7719736099243164,-0.8753648996353149,1.266194462776184,1.0,0.0,0.0,0.0,0.0
train,1.0391912460327148,-1.2445582151412964,0.33352741599082947,0.1539166420698166,0.3349277377128601,-0.6826657056808472,0.0,1.0,0.0,0.0,0.0
train,0.8241294026374817,-1.3287286758422852,2.3406355381011963,0.9071163535118103,-0.3306662440299988,-0.20178748667240143,0.0,0.0,1.0,0.0,0.0
train,4.04762077331543,-2.0091519355773926,-0.9324724078178406,-0.2869844436645508,-1.1784141063690186,2.4636101722717285,0.0,0.0,0.0,1.0,0.0
train,0.4105364978313446,-1.6919431686401367,0.8684935569763184,-4.819003105163574,-2.9824180603027344,0.5762894153594971,0.0,0.0,0.0,0.0,1.0
train,1.020450472831726,-1.938209891319275,-0.669425904750824,-0.42014333605766296,-0.023455698043107986,0.8859498500823975,1.0,0.0,0.0,0.0,0.0
train,-0.9629605412483215,-2.8077335357666016,-0.4900272488594055,-0.5535601377487183,-0.09675814211368561,0.2892356216907501,0.0,1.0,0.0,0.0,0.0
train,0.29474082589149475,-3.336872100830078,-0.5158314108848572,-0.08407407999038696,-1.2948771715164185,-1.816230297088623,0.0,0.0,1.0,0.0,0.0
train,-0.7053080797195435,-3.1707534790039062,-2.9821908473968506,-1.5185716152191162,-2.379279613494873,1.0978144407272339,0.0,0.0,0.0,1.0,0.0
train,1.4832711219787598,-3.536846160888672,-0.49099478125572205,-1.06781005859375,0.5452978014945984,-3.7757132053375244,0.0,0.0,0.0,0.0,1.0
val,0.2728506922721863,-2.362516403198242,-0.32628223299980164,-0.24355243146419525,-0.6272428035736084,-0.07787634432315826,1.0,0.0,0.0,0.0,0.0
val,1.7413231134414673,-2.2275850772857666,0.9066492319107056,-1.650699257850647,-0.0836799368262291,0.7830377221107483,0.0,1.0,0.0,0.0,0.0
val,1.8892911672592163,-3.6850929260253906,-1.5803080797195435,0.6177352666854858,0.18235282599925995,0.6309152245521545,0.0,0.0,1.0,0.0,0.0
val,-1.2785300016403198,-2.4489071369171143,2.6851911544799805,-0.7888215780258179,0.4460115432739258,-1.1124180555343628,0.0,0.0,0.0,1.0,0.0
val,0.02019563317298889,-5.727914333343506,-0.5662510395050049,0.1632436215877533,-3.538201332092285,-0.43096858263015747,0.0,0.0,0.0,0.0,1.0
val,1.0155088901519775,-1.6711442470550537,-0.1413969248533249,-0.5968912839889526,-1.5268446207046509,0.8984807133674622,1.0,0.0,0.0,0.0,0.0
val,0.16929695010185242,-2.3607616424560547,-0.5704182386398315,0.950340986251831,-1.684356689453125,0.16903986036777496,0.0,1.0,0.0,0.0,0.0
val,0.5640522837638855,-1.4716888666152954,-1.3077871799468994,-1.7005728483200073,1.633276343345642,1.3423645496368408,0.0,0.0,1.0,0.0,0.0
val,2.2367231845855713,-3.0499134063720703,0.23349958658218384,0.17789119482040405,-4.079752445220947,0.6939178705215454,0.0,0.0,0.0,1.0,0.0
val,2.3220608234405518,0.5400779247283936,1.5232551097869873,1.8124767541885376,1.8357478380203247,2.056568145751953,0.0,0.0,0.0,0.0,1.0
val,0.5368896722793579,-2.2105793952941895,-0.16033652424812317,-0.7004182934761047,-0.6553850769996643,1.5740323066711426,1.0,0.0,0.0,0.0,0.0
val,-0.7152567505836487,-1.470025658607483,-0.09228483587503433,-1.5002492666244507,-1.400328516960144,-0.026733029633760452,0.0,1.0,0.0,0.0,0.0
val,0.9310051798820496,-0.05625174567103386,-1.8625919818878174,0.3816843330860138,-0.1106458306312561,-0.4342971742153168,0.0,0.0,1.0,0.0,0.0
val,-0.8843964338302612,-3.794862747192383,1.767372727394104,0.4706234037876129,0.9985525608062744,-1.0856329202651978,0.0,0.0,0.0,1.0,0.0
val,-3.133082628250122,-1.1742664575576782,-2.3172667026519775,-0.8188170194625854,0.34507444500923157,-1.3707457780838013,0.0,0.0,0.0,0.0,1.0
val,1.0875494480133057,-1.372406005859375,0.016630152240395546,0.029876435175538063,-0.32420334219932556,0.9658622145652771,1.0,0.0,0.0,0.0,0.0
val,2.466778516769409,-2.393113136291504,-0.02892775647342205,-0.25526314973831177,-0.7768352031707764,1.2226790189743042,0.0,1.0,0.0,0.0,0.0
val,1.814047932624817,-3.2890145778656006,1.179744005203247,-0.010264961048960686,-1.8353430032730103,2.251657724380493,0.0,0.0,1.0,0.0,0.0
val,3.2406816482543945,-1.917025089263916,-0.6643105745315552,-1.656817078590393,-2.797189474105835,-1.0766141414642334,0.0,0.0,0.0,1.0,0.0
val,0.7708811163902283,-2.9577581882476807,-0.8296462893486023,-4.493988990783691,0.5250568985939026,3.0719635486602783,0.0,0.0,0.0,0.0,1.0
val,0.7391674518585205,-1.9445077180862427,-0.4928864538669586,-0.9317571520805359,-0.8060830235481262,1.4278632402420044,1.0,0.0,0.0,0.0,0.0
val,0.3899123966693878,-2.7385482788085938,-1.1985445022583008,-0.3196169435977936,-0.10212785005569458,-0.6183708310127258,0.0,1.0,0.0,0.0,0.0
val,-1.2337334156036377,-3.636610507965088,-0.8361755013465881,0.8697811961174011,-0.3952747881412506,0.7483361959457397,0.0,0.0,1.0,0.0,0.0
val,3.67685604095459,-2.124845504760742,0.8642019033432007,-0.7253848314285278,1.2706005573272705,2.0487663745880127,0.0,0.0,0.0,1.0,0.0
val,1.1371378898620605,-0.21622101962566376,-3.126107931137085,3.0095314979553223,-1.186068058013916,0.778563916683197,0.0,0.0,0.0,0.0,1.0
test,0.12910917401313782,-1.5730862617492676,-0.09463387727737427,-0.19910989701747894,0.04856804385781288,0.5081279277801514,1.0,0.0,0.0,0.0,0.0
test,0.4988954961299896,-2.693901538848877,-0.3551153242588043,-1.9611400365829468,-0.8614515662193298,-0.3938941955566406,0.0,1.0,0.0,0.0,0.0
