split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,class_0,class_1,class_2,class_3,class_4,class_5
train,-0.8408475518226624,0.13924536108970642,-1.5548224449157715,-1.1590306758880615,-0.4276958405971527,1.0344094038009644,-0.22397379577159882,0.019375385716557503,0.08047384768724442,-0.24509406089782715,1.0,0.0,0.0,0.0,0.0,0.0
train,-1.0707889795303345,-0.7030229568481445,-2.282397985458374,-0.6812950372695923,-0.2601136565208435,1.9532626867294312,-0.17351791262626648,0.8483338952064514,-0.19303731620311737,0.22182896733283997,0.0,1.0,0.0,0.0,0.0,0.0
train,-2.190622329711914,-0.803846001625061,-0.2047005146741867,-0.4907349646091461,1.5811169147491455,1.5685402154922485,-0.945309579372406,0.38862913846969604,-0.012127140536904335,-1.0156934261322021,0.0,0.0,1.0,0.0,0.0,0.0
train,-2.5956857204437256,-1.6514002084732056,-0.10016368329524994,-2.3760671615600586,1.3095251321792603,2.723463296890259,-1.7898577451705933,-1.3114864826202393,-1.037771224975586,0.1432124376296997,0.0,0.0,0.0,1.0,0.0,0.0
train,-1.3357607126235962,3.6884758472442627,1.2735328674316406,-2.649061441421509,0.8166549205780029,1.904565691947937,-0.6604512929916382,0.4141157269477844,-1.7943443059921265,0.0870804712176323,0.0,0.0,0.0,0.0,1.0,0.0
train,-2.7640881538391113,-0.6400044560432434,-2.8043811321258545,-1.922242522239685,1.6346453428268433,3.4445343017578125,3.9202628135681152,0.7060304880142212,-1.4160720109939575,-2.2629806995391846,0.0,0.0,0.0,0.0,0.0,1.0
train,-0.7299086451530457,-0.25842803716659546,-1.312666416168213,-2.2508833408355713,-0.10077935457229614,0.8868246078491211,-0.5464151501655579,-0.2627091109752655,-0.6756238341331482,-0.7146973609924316,1.0,0.0,0.0,0.0,0.0,0.0
train,0.016792181879281998,0.8566840887069702,-1.9648151397705078,-1.2951291799545288,0.8021720051765442,1.5995920896530151,-0.5947055220603943,-0.7780843377113342,-0.6524611711502075,-0.1521831452846527,0.0,1.0,0.0,0.0,0.0,0.0
train,-3.1340255737304688,-0.10023793578147888,-2.6693625450134277,-1.9331231117248535,0.7889329195022583,2.2015573978424072,-0.6893333792686462,0.599711000919342,-0.4992397129535675,-1.698570966720581,0.0,0.0,1.0,0.0,0.0,0.0
train,0.1162693127989769,0.30313315987586975,0.21452204883098602,-1.5447477102279663,-0.11729327589273453,1.5734442472457886,0.9312247633934021,-2.434455156326294,0.3290805220603943,1.2082922458648682,0.0,0.0,0.0,1.0,0.0,0.0
train,1.1873652935028076,-1.312428593635559,-0.5876412391662598,-0.17304493486881256,1.5066990852355957,2.8846282958984375,0.5667916536331177,-2.031665086746216,-1.0916073322296143,1.4661097526550293,0.0,0.0,0.0,0.0,1.0,0.0
