split,feature_0,feature_1,feature_2,feature_3,feature_4,class_0,class_1,class_2,class_3
train,-0.1648736596107483,0.24471653997898102,0.3517753481864929,-1.8763952255249023,0.6572126150131226,1.0,0.0,0.0,0.0
train,-0.14244109392166138,-0.5312678813934326,-0.6881720423698425,-2.526825428009033,1.3105162382125854,0.0,1.0,0.0,0.0
train,-1.2122130393981934,0.664986252784729,-0.4742451012134552,1.5562827587127686,1.4401041269302368,0.0,0.0,1.0,0.0
train,-0.11190132796764374,0.679712176322937,1.9894944429397583,-4.09024715423584,-0.7481234073638916,0.0,0.0,0.0,1.0
train,-0.012822110205888748,-0.13832712173461914,-0.1301524043083191,-0.08672045916318893,0.6672096252441406,1.0,0.0,0.0,0.0
train,0.3322567343711853,0.05071122944355011,0.7756224274635315,-2.1540277004241943,-0.5868432521820068,0.0,1.0,0.0,0.0
train,-0.12058103084564209,2.81023907661438,1.0146273374557495,-1.5936442613601685,-0.026184312999248505,0.0,0.0,1.0,0.0
train,2.9585351943969727,1.5644477605819702,0.4569113850593567,-0.6240196824073792,3.240807056427002,0.0,0.0,0.0,1.0
train,0.05882113054394722,-0.18861007690429688,0.7390061020851135,-0.3441134989261627,0.390476793050766,1.0,0.0,0.0,0.0
train,-1.427356481552124,0.699880063533783,0.35864394903182983,-1.8598476648330688,0.12849579751491547,0.0,1.0,0.0,0.0
train,-0.20530405640602112,0.568270206451416,-0.2539418637752533,-1.8063806295394897,3.6734561920166016,0.0,0.0,1.0,0.0
train,0.601222038269043,0.22672145068645477,-2.0228848457336426,-3.136866331100464,-1.5544110536575317,0.0,0.0,0.0,1.0
train,0.32204797863960266,0.012017959728837013,-0.0942404717206955,-0.7373590469360352,1.767985224723816,1.0,0.0,0.0,0.0
train,0.47331711649894714,0.3629845380783081,-1.3071037530899048,0.24044756591320038,1.1583547592163086,0.0,1.0,0.0,0.0
train,-2.279886245727539,-1.2349246740341187,0.7704803347587585,-1.7436778545379639,1.6305416822433472,0.0,0.0,1.0,0.0
train,0.33697935938835144,-1.8572943210601807,-1.6990476846694946,-0.33595484495162964,-1.9233129024505615,0.0,0.0,0.0,1.0
train,-0.40449434518814087,-0.37142249941825867,0.5304417610168457,-1.5727554559707642,0.9161860942840576,1.0,0.0,0.0,0.0
train,-1.3270906209945679,0.1658858358860016,0.8180831670761108,-1.4300700426101685,-0.3075883686542511,0.0,1.0,0.0,0.0
train,1.3128570318222046,1.3892627954483032,-0.9420190453529358,-3.05910587310791,1.2870126962661743,0.0,0.0,1.0,0.0
train,1.7775391340255737,3.24332857131958,0.622713029384613,-2.6372580528259277,1.6180078983306885,0.0,0.0,0.0,1.0
val,-0.11504615098237991,-0.6982830166816711,0.3457998037338257,-0.8875152468681335,1.3510733842849731,1.0,0.0,0.0,0.0
val,-0.6672748923301697,1.0091538429260254,0.8093258738517761,-1.9615223407745361,2.031414031982422,0.0,1.0,0.0,0.0
val,0.2900824248790741,2.384023666381836,0.5203644633293152,-2.514854669570923,-0.30957332253456116,0.0,0.0,1.0,0.0
val,-1.6776422262191772,2.0391008853912354,-0.31677111983299255,0.5066137313842773,3.5161445140838623,0.0,0.0,0.0,1.0
val,-0.146595761179924,-0.4816000759601593,0.2894331216812134,-0.253650963306427,1.12539803981781,1.0,0.0,0.0,0.0
val,0.5574411153793335,1.6298916339874268,-0.21032428741455078,-2.0555508136749268,1.3082561492919922,0.0,1.0,0.0,0.0
val,-0.8976841568946838,-1.8273640871047974,0.007720816880464554,-0.12377713620662689,-0.9629064202308655,0.0,0.0,1.0,0.0
val,1.7114481925964355,3.0403103828430176,-0.945912778377533,0.5440553426742554,-0.30956825613975525,0.0,0.0,0.0,1.0
val,-0.4053121507167816,-0.6275106072425842,0.2816050946712494,-1.286124587059021,1.0799314975738525,1.0,0.0,0.0,0.0
val,0.708544909954071,1.3531304597854614,-0.9796868562698364,-1.5385935306549072,1.5074964761734009,0.0,1.0,0.0,0.0
val,0.43379852175712585,0.8620502948760986,0.08896427601575851,0.22623181343078613,-1.7581994533538818,0.0,0.0,1.0,0.0
val,-3.253417730331421,2.2926645278930664,-0.04899109899997711,-0.6430564522743225,0.5331181287765503,0.0,0.0,0.0,1.0
val,0.07383541017770767,0.7606835961341858,0.4378076195716858,-0.3383233845233917,1.3341208696365356,1.0,0.0,0.0,0.0
val,1.6322050094604492,0.3732917308807373,-0.5310644507408142,-1.1494998931884766,-0.09409273415803909,0.0,1.0,0.0,0.0
val,-0.7247409820556641,-2.193882465362549,-0.44716113805770874,-1.0514804124832153,-0.6690206527709961,0.0,0.0,1.0,0.0
val,2.241128921508789,-2.583808660507202,-0.6355176568031311,-2.072805404663086,-0.48874807357788086,0.0,0.0,0.0,1.0
val,-0.3142980933189392,0.06556237488985062,-0.6749916076660156,-1.0023715496063232,0.6723729968070984,1.0,0.0,0.0,0.0
val,-1.0961006879806519,-0.061299871653318405,-0.12352342903614044,-2.038959503173828,2.007481813430786,0.0,1.0,0.0,0.0
val,1.0985276699066162,1.5884815454483032,-0.7644850611686707,1.0068202018737793,-0.17481960356235504,0.0,0.0,1.0,0.0
val,-0.298284649848938,0.511206865310669,-1.7913073301315308,1.1300326585769653,3.6000614166259766,0.0,0.0,0.0,1.0
test,0.09533360600471497,0.030691472813487053,-0.448611855506897,-0.9384177923202515,1.622484564781189,1.0,0.0,0.0,0.0
test,2.032717704772949,0.12629875540733337,0.19548285007476807,-0.5664861798286438,0.6631293892860413,0.0,1.0,0.0,0.0
test,0.8716802000999451,2.2617876529693604,1.4568610191345215,-2.105912685394287,1.8988068103790283,0.0,0.0,1.0,0.0
test,-0.1598709374666214,1.077917218208313,4.007765293121338,-1.438095211982727,1.5473253726959229,0.0,0.0,0.0,1.0
test,0.4463375508785248,-0.17625556886196136,0.859370231628418,-1.146281361579895,0.3310583531856537,1.0,0.0,0.0,0.0
test,-1.2166860103607178,-0.6827319860458374,-0.22143582999706268,0.03929174318909645,1.5559288263320923,0.0,1.0,0.0,0.0
test,0.8040980696678162,0.03907313570380211,-1.8953542709350586,-2.581123113632202,2.0474636554718018,0.0,0.0,1.0,0.0
test,0.9877653121948242,3.9558627605438232,0.07371322065591812,-0.37807348370552063,1.4761419296264648,0.0,0.0,0.0,1.0
test,0.5072917938232422,0.5762572288513184,-0.2647431194782257,-0.7714490294456482,1.497330665588379,1.0,0.0,0.0,0.0
test,0.7875349521636963,-0.614894688129425,-0.4024015963077545,-0.9255132079124451,-0.7104714512825012,0.0,1.0,0.0,0.0
test,1.537725567817688,0.8836382627487183,-1.3772131204605103,0.9793461561203003,1.1925150156021118,0.0,0.0,1.0,0.0
test,0.38375309109687805,-2.286041259765625,0.20078416168689728,-2.9519617557525635,-1.559046745300293,0.0,0.0,0.0,1.0
test,0.08553146570920944,0.6724933981895447,-0.13884694874286652,-0.9346516728401184,1.6592072248458862,1.0,0.0,0.0,0.0
test,-1.0888030529022217,1.5667353868484497,0.5648543834686279,-0.8156799674034119,1.5761134624481201,0.0,1.0,0.0,0.0
test,1.3493435382843018,-0.5531316995620728,1.4825751781463623,-3.195345163345337,0.3909400701522827,0.0,0.0,1.0,0.0
test,2.46950364112854,-1.9154413938522339,2.2650506496429443,-1.155849575996399,2.216554880142212,0.0,0.0,0.0,1.0
test,0.6455240249633789,0.6124542355537415,-0.3578075170516968,-1.3269884586334229,0.8994489908218384,1.0,0.0,0.0,0.0
test,0.4657779037952423,0.01303610485047102,1.5613149404525757,0.22132012248039246,0.07839832454919815,0.0,1.0,0.0,0.0
test,-0.3675026297569275,-2.3535327911376953,-1.2465392351150513,-1.0350027084350586,1.5075117349624634,0.0,0.0,1.0,0.0
test,1.882511019706726,0.17584235966205597,0.49640053510665894,0.6897626519203186,4.043547630310059,0.0,0.0,0.0,1.0
test,0.26525408029556274,0.4075464904308319,0.21753281354904175,-1.7714333534240723,1.3556586503982544,1.0,0.0,0.0,0.0
test,-0.8771827816963196,-0.010288340039551258,-0.8481625914573669,-2.0230417251586914,0.0026669648941606283,0.0,1.0,0.0,0.0
test,-0.3453288972377777,1.3211371898651123,2.18259596824646,-0.6699408292770386,-0.9855359792709351,0.0,0.0,1.0,0.0
test,2.161741018295288,1.8243296146392822,0.49884265661239624,-1.4969967603683472,-2.031454086303711,0.0,0.0,0.0,1.0
test,-0.13203029334545135,0.3447895050048828,-0.3151324391365051,-1.51325523853302,0.31775400042533875,1.0,0.0,0.0,0.0
test,1.5911813974380493,-0.8619086146354675,-0.4967462420463562,-0.7896024584770203,0.471405029296875,0.0,1.0,0.0,0.0
test,-0.1199914962053299,2.999108076095581,0.1157054677605629,-1.8567698001861572,0.7822099924087524,0.0,0.0,1.0,0.0
test,0.8080001473426819,-1.3978813886642456,1.2455508708953857,-0.3974665701389313,-2.5389091968536377,0.0,0.0,0.0,1.0
test,0.2838657796382904,0.30474853515625,1.1778863668441772,-1.0141810178756714,0.8642731308937073,1.0,0.0,0.0,0.0
test,0.5520715713500977,1.225846290588379,-1.1517210006713867,-0.2538517415523529,0.35657212138175964,0.0,1.0,0.0,0.0
test,-0.621065080165863,-1.8260304927825928,1.5067589282989502,-0.45684537291526794,-0.7556837201118469,0.0,0.0,1.0,0.0
test,0.9530161619186401,-0.31941094994544983,1.5312602519989014,2.6475260257720947,0.2922784984111786,0.0,0.0,0.0,1.0
test,-0.4930410087108612,-0.281660795211792,0.5327628254890442,-1.4407804012298584,0.510379433631897,1.0,0.0,0.0,0.0
test,-0.6552765369415283,-0.29805123805999756,1.3959347009658813,0.2953151762485504,1.4371553659439087,0.0,1.0,0.0,0.0
test,-1.861797571182251,-1.6015340089797974,1.055418848991394,-0.12518109381198883,1.7564359903335571,0.0,0.0,1.0,0.0
test,-0.5960421562194824,0.7665939331054688,-0.29697394371032715,-3.7086939811706543,3.5814130306243896,0.0,0.0,0.0,1.0
test,0.17872419953346252,-0.23294904828071594,0.6985514760017395,-0.26896539330482483,0.5008705258369446,1.0,0.0,0.0,0.0
test,-0.472851425409317,-1.589667797088623,0.7047935724258423,-1.5702298879623413,0.6910741925239563,0.0,1.0,0.0,0.0
test,0.18195924162864685,-0.8904241323471069,-0.021288590505719185,-3.232170820236206,2.507007598876953,0.0,0.0,1.0,0.0
test,-1.4789626598358154,-1.4863108396530151,-0.5726684331893921,-4.135379314422607,0.5450249314308167,0.0,0.0,0.0,1.0
test,0.07962585240602493,-0.6629235744476318,0.1737392097711563,-0.5864415168762207,1.3359490633010864,1.0,0.0,0.0,0.0
test,0.14925338327884674,-0.04433248192071915,1.5924427509307861,0.43208110332489014,0.49837467074394226,0.0,1.0,0.0,0.0
