split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,class_0,class_1,class_2,class_3,class_4,class_5,class_6
train,0.6449261903762817,0.5476773977279663,-0.3000001013278961,0.35407310724258423,-0.7648904323577881,0.6759278774261475,-1.5138121843338013,0.2737513780593872,-0.3343941271305084,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.17095588147640228,1.035835862159729,0.9486744999885559,0.5125407576560974,-0.9634499549865723,0.2527777850627899,0.18098115921020508,-0.23008154332637787,-0.5278239250183105,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,0.5304678678512573,1.5710922479629517,0.27330702543258667,2.233959674835205,-0.03589266911149025,-1.148539423942566,-1.160030722618103,-1.154611349105835,-1.400566577911377,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-0.7267382144927979,2.273923873901367,0.026125896722078323,2.4885246753692627,-0.4696790874004364,2.663487672805786,-0.15144991874694824,-1.0303621292114258,-1.1843202114105225,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,0.6242555975914001,-1.2976044416427612,0.4083777666091919,2.323082447052002,1.1005138158798218,-1.8357644081115723,-0.9576887488365173,-3.226038932800293,0.9161236882209778,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-1.5351922512054443,-0.040636900812387466,-0.13104099035263062,0.40066757798194885,3.279660224914551,1.943781852722168,-2.6838114261627197,-1.1833614110946655,3.282538652420044,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-1.9248509407043457,3.0317115783691406,-2.603003978729248,-3.0334503650665283,2.3928029537200928,-1.606404423713684,-2.1039934158325195,-3.0480587482452393,0.346539705991745,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-0.33217620849609375,0.04085153341293335,0.26670557260513306,0.20990467071533203,-0.4332817792892456,0.19543032348155975,-0.7909985780715942,-0.12796863913536072,-0.21625764667987823,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.9453144073486328,0.9799830913543701,-0.21598315238952637,0.14631469547748566,0.5498982071876526,0.9747923612594604,-1.08999502658844,-1.380394697189331,0.3745858669281006,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,0.5797985792160034,-0.044258736073970795,-1.1741416454315186,0.19558338820934296,1.76712167263031,0.4400298297405243,-2.8759052753448486,-0.9158345460891724,-0.3434351980686188,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,2.021127939224243,1.167752742767334,-0.9030245542526245,-0.669362485408783,-1.7131733894348145,2.4573631286621094,-3.01092791557312,-0.546066403388977,0.5474289059638977,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,0.21436792612075806,0.17737607657909393,-0.9957135319709778,-0.493313193321228,-1.9632651805877686,-1.8462364673614502,-3.79840087890625,-1.0509458780288696,-3.501694917678833,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,0.8959908485412598,-1.4493494033813477,1.4734121561050415,-1.181991457939148,-1.1181244850158691,3.6492483615875244,-4.1763014793396,2.3034400939941406,-1.0035958290100098,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-4.481655597686768,3.0874674320220947,-0.10535763949155807,1.4832626581192017,1.570866346359253,1.959593415260315,-4.452157497406006,0.37301498651504517,0.9632587432861328,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-0.32402732968330383,0.7907886505126953,0.029088132083415985,0.5931230783462524,-0.577779233455658,0.2832336723804474,-0.9631313681602478,-0.8695334792137146,-0.882942795753479,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.0029627084732056,0.29893362522125244,-0.6696332097053528,0.6639648079872131,0.0659334734082222,0.45711034536361694,-1.5846316814422607,-1.1877187490463257,0.8466638922691345,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,0.8041404485702515,2.1632211208343506,-0.9998438358306885,-0.8270491361618042,-0.3002147078514099,1.5217630863189697,-0.46286359429359436,-1.271916151046753,0.33252575993537903,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-1.9097219705581665,-0.05440446361899376,1.6608669757843018,0.8374714851379395,-1.2279117107391357,0.9623236656188965,-0.5367433428764343,1.9536980390548706,0.5220530033111572,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-0.700870931148529,-1.3750687837600708,1.7970085144042969,-0.14590387046337128,-0.45716091990470886,3.5454869270324707,-3.252716541290283,0.707867443561554,0.8546434640884399,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,0.726481556892395,0.3570263087749481,-0.5488841533660889,-0.6701087951660156,4.34408712387085,-0.23166309297084808,1.6835700273513794,1.1715083122253418,-1.6060230731964111,0.0,0.0,0.0,0.0,0.0,1.0,0.0
