split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,class_0,class_1,class_2,class_3
train,0.8916988968849182,1.3675466775894165,-0.38127025961875916,-0.260682612657547,-2.259068250656128,-0.7567178606987,1.0,0.0,0.0,0.0
train,1.980202317237854,1.3495519161224365,0.22689104080200195,-0.5780128836631775,-2.157221794128418,-1.643405795097351,0.0,1.0,0.0,0.0
train,-1.1193512678146362,0.2382829487323761,1.9212384223937988,-1.2911779880523682,-0.8976739048957825,-0.5782623887062073,0.0,0.0,1.0,0.0
train,0.3159693777561188,3.6447811126708984,1.0234688520431519,-0.9927968382835388,-1.6519144773483276,-3.515700340270996,0.0,0.0,0.0,1.0
train,0.4779362082481384,1.8452565670013428,-0.18157127499580383,-1.1749520301818848,-1.9108517169952393,-0.377448171377182,1.0,0.0,0.0,0.0
train,-0.5538759827613831,0.3268803656101227,-0.4355000853538513,-1.413377285003662,-1.4469197988510132,-0.041523732244968414,0.0,1.0,0.0,0.0
train,0.27127140760421753,0.9912512898445129,-2.0081119537353516,-1.5732008218765259,-3.009420871734619,0.4786221385002136,0.0,0.0,1.0,0.0
train,-0.6862697601318359,2.6777496337890625,-2.1040217876434326,-0.8141633868217468,0.5815531015396118,1.4669312238693237,0.0,0.0,0.0,1.0
train,0.18790140748023987,1.6028743982315063,0.840630292892456,-0.38674893975257874,-2.0012452602386475,-0.5660049915313721,1.0,0.0,0.0,0.0
train,0.9073328375816345,0.7271979451179504,1.033169150352478,-1.943307638168335,-1.7132024765014648,-0.5445898175239563,0.0,1.0,0.0,0.0
train,0.025777507573366165,0.17136894166469574,-0.7190973162651062,1.081640601158142,-2.0886459350585938,1.6087497472763062,0.0,0.0,1.0,0.0
train,-1.5740764141082764,0.7296302318572998,1.4740768671035767,0.8788360953330994,1.137918472290039,-0.7473491430282593,0.0,0.0,0.0,1.0
train,0.48389479517936707,1.5417027473449707,0.007753513753414154,-1.0335878133773804,-2.0984132289886475,-0.8707578778266907,1.0,0.0,0.0,0.0
train,0.00855386070907116,0.92735356092453,0.4830656051635742,0.5526994466781616,-0.06386031955480576,0.05069367587566376,0.0,1.0,0.0,0.0
train,1.397334337234497,1.9771244525909424,-1.9343982934951782,-2.1682446002960205,-1.929389476776123,0.42906346917152405,0.0,0.0,1.0,0.0
train,1.0976378917694092,-0.42819324135780334,-1.1046042442321777,1.121791958808899,-1.4685848951339722,2.5400185585021973,0.0,0.0,0.0,1.0
train,0.2520105540752411,1.1912627220153809,-0.6403515934944153,-0.7218878865242004,-1.7435672283172607,-0.7528153657913208,1.0,0.0,0.0,0.0
train,-0.2833966910839081,2.153027057647705,-0.4703265428543091,-1.5060412883758545,-2.2222208976745605,0.47127777338027954,0.0,1.0,0.0,0.0
train,-1.003244400024414,1.112748622894287,1.9482089281082153,1.0773268938064575,-0.6825490593910217,-0.5328173637390137,0.0,0.0,1.0,0.0
train,2.3385226726531982,-0.4371268153190613,0.32411202788352966,-1.6136870384216309,0.14581036567687988,-2.6077213287353516,0.0,0.0,0.0,1.0
val,0.4191987216472626,1.3364958763122559,-0.46129167079925537,-0.1607711762189865,-1.6094825267791748,0.3991583585739136,1.0,0.0,0.0,0.0
val,0.5366660952568054,2.245729684829712,-0.2754916548728943,0.11460453271865845,-3.066202402114868,0.42398983240127563,0.0,1.0,0.0,0.0
val,2.2106571197509766,0.7027444839477539,0.049169376492500305,1.3563741445541382,-2.544605016708374,0.9424545764923096,0.0,0.0,1.0,0.0
val,0.5829486846923828,1.6386891603469849,0.04440644755959511,-2.6182215213775635,-2.2250235080718994,2.8647494316101074,0.0,0.0,0.0,1.0
val,0.8622986674308777,1.571642279624939,-0.21586297452449799,-1.0683374404907227,-1.9368727207183838,0.061877697706222534,1.0,0.0,0.0,0.0
val,0.8342123627662659,-0.26563867926597595,-0.44715645909309387,0.03831041604280472,-1.5254350900650024,0.35233446955680847,0.0,1.0,0.0,0.0
val,1.2650110721588135,2.558152675628662,-0.23301108181476593,-2.988577127456665,-2.109880208969116,-0.709610104560852,0.0,0.0,1.0,0.0
val,-1.1008187532424927,0.9503719806671143,-0.8681513667106628,-3.0288403034210205,-1.5940513610839844,-2.6183176040649414,0.0,0.0,0.0,1.0
val,0.35665133595466614,1.7017745971679688,0.19055132567882538,0.5033445358276367,-1.5524998903274536,-0.09585411101579666,1.0,0.0,0.0,0.0
val,1.4738444089889526,0.848652184009552,-0.23395967483520508,0.8016906976699829,-1.1266614198684692,0.7008507251739502,0.0,1.0,0.0,0.0
