split,feature_0,feature_1,feature_2,feature_3,class_0,class_1
train,-0.6928938031196594,0.656011700630188,2.034242868423462,1.3418468236923218,1.0,0.0
train,-0.3292922377586365,2.182861089706421,-0.29757246375083923,0.894903838634491,0.0,1.0
train,-0.49863070249557495,0.8852204084396362,1.916629672050476,0.008765843696892262,1.0,0.0
train,-0.20309951901435852,2.905871868133545,0.6957994699478149,1.0972554683685303,0.0,1.0
train,0.02332928404211998,0.46989744901657104,0.9938833713531494,1.4105453491210938,1.0,0.0
train,-0.5576737523078918,-0.4808971583843231,0.10433858633041382,0.48623695969581604,0.0,1.0
train,-0.9329221844673157,1.6184049844741821,1.1297379732131958,0.22057156264781952,1.0,0.0
train,0.0544673353433609,2.787524700164795,0.6025410890579224,1.2679251432418823,0.0,1.0
train,-1.1548969745635986,1.3912625312805176,1.837153434753418,0.5427371859550476,1.0,0.0
train,-0.160639226436615,2.3115954399108887,-0.0883994773030281,0.26889169216156006,0.0,1.0
val,-0.5396360158920288,1.0848612785339355,0.5173166394233704,1.349856972694397,1.0,0.0
val,0.9004240036010742,0.719012975692749,0.05152634531259537,0.08037026971578598,0.0,1.0
val,-0.35309475660324097,1.290511965751648,0.5094013214111328,0.3161815106868744,1.0,0.0
val,-1.3021386861801147,2.4639716148376465,2.2369184494018555,0.18815140426158905,0.0,1.0
val,-0.3684462308883667,0.7569546103477478,1.5857069492340088,-0.11870650947093964,1.0,0.0
val,-0.8756315112113953,1.6490654945373535,2.7016544342041016,2.059972047805786,0.0,1.0
val,-1.3752896785736084,0.9629384875297546,1.1376954317092896,0.8029420375823975,1.0,0.0
val,-0.6811046004295349,1.025752305984497,2.472362995147705,-0.8206711411476135,0.0,1.0
val,0.4955173432826996,1.4530110359191895,1.523789882659912,0.800618052482605,1.0,0.0
val,0.08105070143938065,0.7635354995727539,1.1769967079162598,-1.1061110496520996,0.0,1.0
test,-1.1479054689407349,1.605892300605774,0.9866717457771301,0.7774060368537903,1.0,0.0
test,-1.3267039060592651,0.6521823406219482,0.08492885529994965,-0.376139760017395,0.0,1.0
test,-0.46955111622810364,0.32575756311416626,2.0223629474639893,0.6810425519943237,1.0,0.0
test,-2.2614006996154785,1.4800899028778076,1.8642443418502808,1.0890083312988281,0.0,1.0
test,-0.3117239475250244,1.997387409210205,1.375107765197754,1.103169560432434,1.0,0.0
test,-0.8543126583099365,-0.3720738887786865,2.080798864364624,1.919851303100586,0.0,1.0
test,-0.14604301750659943,0.7589375376701355,2.266084909439087,0.7503654956817627,1.0,0.0
test,-0.03299523517489433,1.3957395553588867,2.985511541366577,1.8319441080093384,0.0,1.0
test,0.012618567794561386,0.40539655089378357,1.6801115274429321,0.25446513295173645,1.0,0.0
test,-0.580845832824707,-0.15669234097003937,2.8915207386016846,1.1617838144302368,0.0,1.0
test,0.4577396810054779,0.8792714476585388,1.0999748706817627,1.2257051467895508,1.0,0.0
test,1.0993387699127197,1.24825119972229,1.106757640838623,2.0926880836486816,0.0,1.0
test,-0.90320885181427,0.25664329528808594,1.0186482667922974,0.9356043338775635,1.0,0.0
test,0.1290995478630066,-0.5164931416511536,1.6386513710021973,-0.2834048867225647,0.0,1.0
test,-1.3001339435577393,1.2346535921096802,1.5042425394058228,0.44632983207702637,1.0,0.0
test,0.09761416912078857,-0.10626910626888275,0.17286469042301178,-0.217298686504364,0.0,1.0
test,0.08769159018993378,1.2439121007919312,1.8761613368988037,1.4704424142837524,1.0,0.0
test,-1.0104384422302246,1.9005018472671509,2.802661895751953,1.6864136457443237,0.0,1.0
test,-0.5043745636940002,0.848246693611145,1.2179384231567383,-0.15937134623527527,1.0,0.0
test,-1.649389624595642,1.4555308818817139,1.1483279466629028,-0.6880436539649963,0.0,1.0
test,0.2428009808063507,0.5762360095977783,1.9302014112472534,0.6597422957420349,1.0,0.0
test,0.049020420759916306,2.080918788909912,2.449918746948242,2.0345194339752197,0.0,1.0
test,0.020685778930783272,0.5470452308654785,2.0459206104278564,0.5225326418876648,1.0,0.0
test,-0.7152092456817627,1.084038496017456,1.9409384727478027,2.6894686222076416,0.0,1.0
test,-0.432201087474823,1.3396073579788208,0.6222755908966064,1.4326505661010742,1.0,0.0
test,0.026856303215026855,-0.3088504672050476,-0.05854858458042145,0.7050867080688477,0.0,1.0
test,-0.45650333166122437,1.0093275308609009,1.3598382472991943,-0.1906960904598236,1.0,0.0
test,-0.43675893545150757,1.1136728525161743,-0.6495056748390198,0.6738623380661011,0.0,1.0
test,-0.26911768317222595,0.6205872893333435,0.5652222037315369,1.2468218803405762,1.0,0.0
test,-0.2914310693740845,0.38149863481521606,3.1409752368927,0.24262244999408722,0.0,1.0
test,0.3210206925868988,1.2563917636871338,1.383595585823059,0.14817850291728973,1.0,0.0
test,-0.12452299892902374,1.9060226678848267,3.126375436782837,0.7017042636871338,0.0,1.0
test,-1.1689767837524414,0.8113837242126465,1.6334339380264282,1.3271394968032837,1.0,0.0
