split,feature_0,feature_1,feature_2,feature_3,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7
train,0.5721335411071777,-0.5636860132217407,1.7557427883148193,1.2641913890838623,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.790014624595642,-2.2956573963165283,1.6448508501052856,1.4685832262039185,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.4163127839565277,0.9553102850914001,1.2468889951705933,3.270958662033081,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-1.4769744873046875,-4.140469551086426,0.170883908867836,2.88969087600708,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-3.6143834590911865,1.3972307443618774,3.578190565109253,-0.8001081347465515,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-3.6523330211639404,2.2070541381835938,-1.4340214729309082,3.4535858631134033,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,4.717592239379883,-4.716382026672363,-1.5691430568695068,2.050386905670166,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,3.356142520904541,-4.014141082763672,1.0418776273727417,-5.301621913909912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-0.507745087146759,-1.35884690284729,1.6868616342544556,2.0556740760803223,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.6983778476715088,-0.3487341105937958,1.0800267457962036,0.008479233831167221,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-2.4012694358825684,-3.1150617599487305,1.166642665863037,1.232176423072815,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-1.2528390884399414,0.943739652633667,4.743628025054932,0.21635712683200836,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,0.17082899808883667,-2.825186014175415,5.831003665924072,-0.6220932006835938,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-2.2710134983062744,-2.8528566360473633,6.686374187469482,2.634425640106201,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-3.1467154026031494,3.941617965698242,2.3309733867645264,-2.7748444080352783,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-5.581117630004883,0.02914404682815075,-4.2901763916015625,0.2663092315196991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-0.307675302028656,-0.2804928123950958,1.0712753534317017,0.6837995052337646,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.02886962890625,-1.3563249111175537,2.8721847534179688,1.7893576622009277,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.1302977800369263,0.2144026905298233,-0.9639163613319397,0.4703124761581421,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-2.6064846515655518,-0.784876823425293,-1.6408637762069702,1.7934558391571045,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,4.651394367218018,-0.22185643017292023,1.4331800937652588,0.9518412947654724,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
