split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7
train,-1.9243093729019165,1.248117446899414,-0.5584346652030945,2.008737802505493,-0.6297237277030945,1.3322750329971313,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.8054848909378052,0.5246407389640808,-0.13777288794517517,3.338892936706543,-0.8168420195579529,0.23936611413955688,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.2366375923156738,1.5371347665786743,-1.4063022136688232,4.013951778411865,-1.5620232820510864,2.6826884746551514,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-3.0954253673553467,-0.5393809080123901,0.24077250063419342,4.067053318023682,-2.318467378616333,2.2916879653930664,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,0.7080819606781006,4.252307415008545,2.163273572921753,0.2517014741897583,-1.544557809829712,3.079423666000366,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-3.052154779434204,1.094766616821289,0.4900413453578949,6.398581504821777,-4.117857456207275,1.5101338624954224,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-1.3745238780975342,2.623565673828125,-2.347754955291748,6.947320461273193,2.854506731033325,2.1965432167053223,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-0.0959404706954956,-1.115583062171936,2.60917592048645,-3.5425989627838135,2.7168142795562744,3.708599805831909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-1.4392695426940918,1.0660690069198608,-0.35541388392448425,1.2037233114242554,-1.7496607303619385,1.1139473915100098,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.5494697093963623,0.10924895107746124,-1.05355966091156,3.125441789627075,-1.2664111852645874,0.8472585678100586,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.9731228351593018,1.2540940046310425,-2.7344558238983154,3.153733968734741,-0.1258135288953781,0.3325687646865845,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-4.136778354644775,1.3194811344146729,-1.8051233291625977,1.2205325365066528,1.0465936660766602,0.8793707489967346,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-3.2916066646575928,2.898059844970703,2.7377519607543945,2.819446325302124,0.8125133514404297,2.932513475418091,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,2.139719247817993,0.012977072969079018,-1.7774320840835571,6.104936122894287,-2.7272326946258545,0.6270545125007629,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,0.19004186987876892,-0.11867181211709976,-0.12195834517478943,5.379828929901123,1.8890862464904785,-3.7531251907348633,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,-6.255988597869873,-1.1412404775619507,-4.656646728515625,4.6698455810546875,0.9283201098442078,2.0700228214263916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-1.25896418094635,1.1941124200820923,0.45486998558044434,1.4025285243988037,-1.0110268592834473,1.5381275415420532,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.9823139309883118,0.6109187006950378,0.34392407536506653,3.295067071914673,-1.3758095502853394,1.8901549577713013,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,1.2165238857269287,2.677182197570801,-0.7803449630737305,2.14253568649292,-1.3554000854492188,0.027433346956968307,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,0.3754558563232422,0.35564979910850525,-1.0283914804458618,0.8792756795883179,-1.3047640323638916,-2.3035223484039307,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-4.280029296875,1.8784208297729492,-1.6641900539398193,4.107576847076416,-1.9102253913879395,-1.3846782445907593,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-4.336162567138672,-2.5519535541534424,-2.3733317852020264,3.623007297515869,-2.4476706981658936,-0.06967179477214813,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-0.5660488605499268,-2.184946298599243,-3.974456310272217,-0.8148581981658936,-5.054152965545654,0.08807842433452606,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,2.1651084423065186,-0.6489017009735107,-1.5087765455245972,7.936556816101074,1.6533316373825073,-0.6616460680961609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,-0.6894657015800476,1.2370530366897583,0.1794501692056656,1.4970686435699463,-1.6735069751739502,0.9182623624801636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.9183465242385864,0.07637538015842438,-0.43873438239097595,1.3470841646194458,-0.9665753245353699,2.4635608196258545,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.7761765122413635,-1.2019327878952026,-1.4272420406341553,1.8664158582687378,0.09716455638408661,1.8851847648620605,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,1.4099180698394775,0.23586462438106537,-3.244582414627075,1.6624749898910522,-0.783259391784668,0.4595281183719635,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-1.8138560056686401,2.4505152702331543,-4.598595142364502,3.7314112186431885,-1.1772392988204956,2.218015670776367,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
