split,feature_0,feature_1,feature_2,feature_3,feature_4,class_0,class_1,class_2,class_3,class_4,class_5
train,0.6541301608085632,-1.723168969154358,-1.316846489906311,1.2912406921386719,-1.5614581108093262,1.0,0.0,0.0,0.0,0.0,0.0
train,1.6367533206939697,-1.609291911125183,-1.5863168239593506,0.5501541495323181,-2.2281787395477295,0.0,1.0,0.0,0.0,0.0,0.0
train,2.8259060382843018,-1.3583180904388428,0.4638083577156067,2.5768251419067383,0.021633131429553032,0.0,0.0,1.0,0.0,0.0,0.0
train,0.1583569496870041,-3.842801332473755,-1.418803334236145,1.6057031154632568,1.6057757139205933,0.0,0.0,0.0,1.0,0.0,0.0
train,-0.7893991470336914,-3.4726836681365967,0.28036734461784363,0.5787736177444458,-5.002254486083984,0.0,0.0,0.0,0.0,1.0,0.0
train,-0.8426420092582703,2.8331356048583984,0.057868845760822296,5.250204086303711,-3.007298707962036,0.0,0.0,0.0,0.0,0.0,1.0
train,0.5726234316825867,-0.49678269028663635,-0.8170395493507385,2.271082878112793,-1.0661697387695312,1.0,0.0,0.0,0.0,0.0,0.0
train,-0.966626763343811,-1.6378334760665894,-0.48221173882484436,2.346290111541748,-1.4346983432769775,0.0,1.0,0.0,0.0,0.0,0.0
train,1.1616466045379639,-1.4625470638275146,-2.315972089767456,3.44995379447937,-2.5547285079956055,0.0,0.0,1.0,0.0,0.0,0.0
train,3.669787883758545,-1.306422233581543,-2.3268895149230957,3.494375705718994,-0.8060757517814636,0.0,0.0,0.0,1.0,0.0,0.0
train,-1.3177177906036377,-3.0894241333007812,-1.6312806606292725,5.0598344802856445,0.6128623485565186,0.0,0.0,0.0,0.0,1.0,0.0
train,-2.929953098297119,-2.975517511367798,0.6866205334663391,4.898613452911377,1.1798089742660522,0.0,0.0,0.0,0.0,0.0,1.0
train,1.3579907417297363,-0.6324483752250671,-1.2733124494552612,1.4629312753677368,-1.40333092212677,1.0,0.0,0.0,0.0,0.0,0.0
train,0.17627635598182678,-0.5441458225250244,-1.3606648445129395,3.172074794769287,-1.5168392658233643,0.0,1.0,0.0,0.0,0.0,0.0
train,2.5049426555633545,1.0901473760604858,-0.23644007742404938,1.536859393119812,-1.9823590517044067,0.0,0.0,1.0,0.0,0.0,0.0
train,-1.949690818786621,0.7252901196479797,-3.227774143218994,1.8294047117233276,-1.2162503004074097,0.0,0.0,0.0,1.0,0.0,0.0
train,-0.5696635246276855,2.3834850788116455,0.3337036371231079,1.2584190368652344,2.1486525535583496,0.0,0.0,0.0,0.0,1.0,0.0
train,3.0279479026794434,-3.5050036907196045,1.8669248819351196,2.3948287963867188,2.922278642654419,0.0,0.0,0.0,0.0,0.0,1.0
train,1.0440952777862549,-0.15594413876533508,-0.6361485719680786,1.3727383613586426,-1.355894684791565,1.0,0.0,0.0,0.0,0.0,0.0
train,0.07360123097896576,-2.543869972229004,-1.0595951080322266,1.6485421657562256,0.0027430718764662743,0.0,1.0,0.0,0.0,0.0,0.0
train,1.2887630462646484,0.6251738667488098,0.11353883147239685,-0.6833236217498779,-1.89091157913208,0.0,0.0,1.0,0.0,0.0,0.0
train,-1.5089668035507202,-3.3872263431549072,-0.6932517886161804,0.9205503463745117,1.2383863925933838,0.0,0.0,0.0,1.0,0.0,0.0
train,0.8385257124900818,-4.334210395812988,-3.3331947326660156,2.929332733154297,-3.398179292678833,0.0,0.0,0.0,0.0,1.0,0.0
train,2.8016092777252197,-4.585022926330566,-2.709864854812622,5.1008992195129395,-2.32088565826416,0.0,0.0,0.0,0.0,0.0,1.0
train,0.40197616815567017,-1.6373436450958252,-1.4519679546356201,1.6396455764770508,-0.8593860864639282,1.0,0.0,0.0,0.0,0.0,0.0
train,-0.829062283039093,-1.3877990245819092,-1.9063003063201904,0.8002766966819763,-1.2478013038635254,0.0,1.0,0.0,0.0,0.0,0.0
train,-0.23019079864025116,-3.0392351150512695,-0.8329019546508789,3.0415730476379395,-2.3706250190734863,0.0,0.0,1.0,0.0,0.0,0.0
train,-1.629448413848877,-4.091405391693115,0.16228646039962769,1.5275746583938599,-1.8566783666610718,0.0,0.0,0.0,1.0,0.0,0.0
