split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,class_0,class_1,class_2
train,1.7068061828613281,-3.1177470684051514,-0.17648719251155853,0.5197873115539551,0.10900788009166718,0.9833579659461975,-2.620852470397949,-1.579926609992981,1.0,0.0,0.0
train,0.4816758930683136,-2.837646961212158,-0.39956796169281006,0.5050691962242126,0.5936270952224731,1.6725090742111206,-1.1831384897232056,-1.5203291177749634,0.0,1.0,0.0
train,1.8175560235977173,-0.9483903646469116,0.847866415977478,0.7671287059783936,-1.0180985927581787,0.3884362578392029,-0.8055487871170044,-2.2486283779144287,0.0,0.0,1.0
train,1.8640633821487427,-2.792695999145508,0.2248474657535553,1.3769673109054565,0.11307582259178162,1.4361730813980103,-2.2703990936279297,-0.4991896450519562,1.0,0.0,0.0
train,1.316939353942871,-2.405728816986084,-0.1084882915019989,-0.41668254137039185,1.004699945449829,0.8424805402755737,-3.2775282859802246,-0.6969189047813416,0.0,1.0,0.0
train,2.7348902225494385,-2.3100130558013916,1.7829619646072388,-0.7212796807289124,-0.6250616312026978,1.1186587810516357,-3.9571287631988525,-1.426901936531067,0.0,0.0,1.0
train,1.422628402709961,-2.6340298652648926,0.30394208431243896,0.12042338401079178,-0.10918586701154709,1.1798527240753174,-1.4599946737289429,-0.6401818990707397,1.0,0.0,0.0
train,1.1116688251495361,-1.578928828239441,1.2152889966964722,0.6145156025886536,-0.8401108384132385,1.7375879287719727,-2.6989645957946777,-0.4149174690246582,0.0,1.0,0.0
train,3.175266981124878,-2.644896984100342,-0.7065175771713257,1.8783644437789917,-2.0980772972106934,0.5087371468544006,-2.089859962463379,-1.1422374248504639,0.0,0.0,1.0
train,1.1149890422821045,-2.9502859115600586,-0.05998781695961952,0.8357287049293518,-0.7370139956474304,1.3774504661560059,-2.025735855102539,-1.217347264289856,1.0,0.0,0.0
train,1.7590941190719604,-3.538461208343506,-0.2481866031885147,1.3029226064682007,-0.5574355125427246,1.60724675655365,-3.7312686443328857,-1.2472186088562012,0.0,1.0,0.0
train,3.469203233718872,-2.308532953262329,-1.7758638858795166,0.5214844942092896,1.0984257459640503,1.4879130125045776,-2.921888589859009,-0.931265115737915,0.0,0.0,1.0
train,1.2402143478393555,-2.9909591674804688,-0.0197670329362154,0.6450327634811401,-0.41014859080314636,1.4398689270019531,-2.042773485183716,-0.1964750736951828,1.0,0.0,0.0
train,2.397040843963623,-1.4012004137039185,0.6101016402244568,-0.10531831532716751,-0.019770808517932892,1.7650240659713745,-1.342829704284668,-0.5837979912757874,0.0,1.0,0.0
train,2.4749906063079834,-2.576687812805176,0.6609362363815308,-0.524003803730011,1.213371753692627,3.049563407897949,-0.9966908097267151,-1.6361768245697021,0.0,0.0,1.0
val,1.505243182182312,-2.8907618522644043,0.23621417582035065,0.43134060502052307,0.261074423789978,0.7052238583564758,-2.255788564682007,-1.545395851135254,1.0,0.0,0.0
val,2.0320661067962646,-3.443451166152954,-0.5112709403038025,0.16539406776428223,0.3627670407295227,-0.29581218957901,-2.3472344875335693,-0.886880099773407,0.0,1.0,0.0
val,2.0200436115264893,-3.357806444168091,1.2281118631362915,0.9643466472625732,1.1184419393539429,-0.18283773958683014,-3.573011875152588,-2.1666040420532227,0.0,0.0,1.0
val,1.577287197113037,-3.013805389404297,-0.5424945950508118,0.1127980500459671,0.22140511870384216,1.462438702583313,-2.3532238006591797,-1.1397426128387451,1.0,0.0,0.0
val,1.4517238140106201,-2.7023096084594727,1.8177995681762695,1.0903029441833496,0.5264229774475098,1.5357478857040405,-1.6964608430862427,-0.990473210811615,0.0,1.0,0.0
val,1.690111756324768,-0.7892958521842957,-0.5707892775535583,0.9867872595787048,-0.2742713391780853,1.5928207635879517,-0.1706041544675827,-0.44526970386505127,0.0,0.0,1.0
val,1.1441625356674194,-2.433356523513794,0.26777711510658264,0.1710985153913498,0.15200583636760712,0.9641121625900269,-2.0952365398406982,-0.4959127902984619,1.0,0.0,0.0
val,1.563523292541504,-2.2150802612304688,1.1162405014038086,-0.24107691645622253,-0.48115065693855286,1.3883445262908936,-3.6292529106140137,-0.7128779888153076,0.0,1.0,0.0
val,2.1275906562805176,-2.54375958442688,-1.8923264741897583,0.07390329241752625,-0.1827976554632187,0.7601568698883057,-0.3890402615070343,-0.04189671576023102,0.0,0.0,1.0
val,1.3347318172454834,-2.6837077140808105,0.24508722126483917,0.040980253368616104,0.3326796889305115,1.8284828662872314,-2.2806007862091064,-1.1238011121749878,1.0,0.0,0.0
val,1.1358845233917236,-3.5246472358703613,0.645397424697876,-0.08868815749883652,1.21408212184906,1.842442274093628,-2.601010799407959,-0.9843073487281799,0.0,1.0,0.0
val,1.99070143699646,-0.6207643747329712,-1.0126785039901733,1.8468362092971802,0.1369636058807373,0.6157731413841248,-1.3575119972229004,-0.4855300188064575,0.0,0.0,1.0
val,2.4358222484588623,-2.817528247833252,0.06099683791399002,0.6901152729988098,0.19099923968315125,1.3392143249511719,-2.3516030311584473,-1.4972182512283325,1.0,0.0,0.0
val,2.1847081184387207,-2.9774699211120605,-0.9419618844985962,0.8173399567604065,1.2197715044021606,1.431477665901184,-1.4820225238800049,-0.9335141181945801,0.0,1.0,0.0
val,0.8888947367668152,-3.794306516647339,-1.4807138442993164,-0.1286868005990982,-1.3835787773132324,1.6643571853637695,-0.8196541666984558,-1.6162384748458862,0.0,0.0,1.0
test,1.8580944538116455,-3.064289093017578,-0.40256229043006897,0.6517669558525085,-0.40357521176338196,0.6548987030982971,-1.9660313129425049,-1.114254117012024,1.0,0.0,0.0
test,2.3730459213256836,-1.478499412536621,0.006505297962576151,-0.5452773571014404,-0.0407181978225708,1.5954430103302002,-1.829431176185608,-1.6709781885147095,0.0,1.0,0.0
test,3.0430362224578857,-3.328502893447876,-0.13770216703414917,1.1715977191925049,-0.5866813659667969,3.5378811359405518,-1.2899599075317383,-1.5186219215393066,0.0,0.0,1.0
test,2.595686197280884,-3.048666477203369,0.21803335845470428,0.6242163181304932,0.07406395673751831,1.4338804483413696,-2.4415299892425537,-0.9842904806137085,1.0,0.0,0.0
test,0.9823011159896851,-1.173683762550354,-0.1664760559797287,0.8710799813270569,-0.3374600112438202,1.6504265069961548,-2.99558424949646,-0.6251396536827087,0.0,1.0,0.0
test,1.82649564743042,-4.75877571105957,-0.6055256128311157,-0.7203989624977112,-0.31328532099723816,1.2069789171218872,-1.6158503293991089,-2.4424843788146973,0.0,0.0,1.0
test,1.5706617832183838,-2.5683934688568115,0.8099458813667297,0.6792856454849243,-0.3180580735206604,0.6178888082504272,-2.2045705318450928,-0.8491396903991699,1.0,0.0,0.0
test,1.6239594221115112,-1.77332603931427,0.19241680204868317,1.5413345098495483,-0.20774433016777039,0.8409953117370605,-3.0405399799346924,0.17660200595855713,0.0,1.0,0.0
test,3.801025152206421,-3.0829782485961914,1.847714900970459,0.734284520149231,-0.212915301322937,0.6579749584197998,-1.1374635696411133,-0.7750470638275146,0.0,0.0,1.0
