split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,class_0,class_1,class_2
train,-0.5106116533279419,1.118969202041626,0.04914337769150734,-0.640978217124939,1.29766047000885,0.7275822162628174,1.0,0.0,0.0
train,-0.485221266746521,2.21203875541687,0.20704229176044464,-1.7413445711135864,1.0358887910842896,0.7248255610466003,0.0,1.0,0.0
train,-0.8525177836418152,-1.9897739887237549,-0.6801496744155884,-1.9633134603500366,1.4903253316879272,0.7713791728019714,0.0,0.0,1.0
train,-0.9778379797935486,0.11752332001924515,-0.02815389074385166,-1.0265021324157715,0.2663128674030304,-0.2656801640987396,1.0,0.0,0.0
train,-0.5845548510551453,-0.3595724403858185,0.0933879092335701,-1.7900681495666504,-0.10743926465511322,-1.0541080236434937,0.0,1.0,0.0
train,1.3109960556030273,0.5141137838363647,-1.6038483381271362,-2.229240894317627,1.2958985567092896,0.5257486701011658,0.0,0.0,1.0
train,-0.6715578436851501,0.37961018085479736,-0.24301831424236298,-0.8162130117416382,1.4623891115188599,0.7826962471008301,1.0,0.0,0.0
train,0.9357452988624573,-0.3787025213241577,0.8599916100502014,-1.590187668800354,0.8835610151290894,-0.25328460335731506,0.0,1.0,0.0
train,0.4616513252258301,-0.48726344108581543,1.7403161525726318,-3.016310214996338,1.0680549144744873,-0.42624467611312866,0.0,0.0,1.0
train,-0.6312272548675537,0.32228541374206543,0.345255047082901,-0.24077704548835754,0.217617467045784,0.15767735242843628,1.0,0.0,0.0
train,0.03478484973311424,1.5618739128112793,1.2603334188461304,-1.638738751411438,1.6200934648513794,0.8238504528999329,0.0,1.0,0.0
train,0.7650970816612244,-0.5086092352867126,0.6090814471244812,1.3033878803253174,0.1652456372976303,-0.6524407863616943,0.0,0.0,1.0
train,-0.7920800447463989,0.5914596915245056,0.2952978312969208,-0.6667584180831909,0.19612881541252136,-0.4616367816925049,1.0,0.0,0.0
train,0.27253422141075134,0.47741052508354187,1.6392987966537476,-0.5317227244377136,-0.07999978214502335,0.586700975894928,0.0,1.0,0.0
train,0.2279772013425827,0.40608805418014526,-0.2722938656806946,-2.5950615406036377,2.2451257705688477,1.9986000061035156,0.0,0.0,1.0
val,-0.29230380058288574,0.2500305771827698,-0.41315361857414246,-1.3651055097579956,0.6268746852874756,-0.2259528785943985,1.0,0.0,0.0
val,0.2124486118555069,0.769627034664154,0.43994706869125366,0.7922172546386719,0.9615193009376526,-0.500091552734375,0.0,1.0,0.0
val,0.8143625855445862,0.6159955859184265,1.911691427230835,-2.7967445850372314,0.6912533044815063,0.9704544544219971,0.0,0.0,1.0
val,-1.4155112504959106,0.35848936438560486,0.22833822667598724,-0.4145703911781311,0.8967621326446533,0.03253912553191185,1.0,0.0,0.0
val,-0.6243470907211304,0.7274172306060791,-0.8844659328460693,-1.2840107679367065,-0.3486674129962921,-0.8154469132423401,0.0,1.0,0.0
val,-1.7116261720657349,0.9683689475059509,-0.5149027109146118,-0.12482961267232895,2.7907769680023193,1.7944644689559937,0.0,0.0,1.0
val,-0.5443872809410095,1.4391489028930664,0.3423500955104828,-0.6906881332397461,0.817983865737915,-0.10164930671453476,1.0,0.0,0.0
val,-0.5760351419448853,-1.0561037063598633,1.3333353996276855,-0.8723664283752441,1.540268898010254,0.30151739716529846,0.0,1.0,0.0
val,-1.7750182151794434,-0.8655591607093811,-0.09863658994436264,0.55976802110672,-0.4534476399421692,1.3371708393096924,0.0,0.0,1.0
val,-0.17818087339401245,0.40816766023635864,0.5616874694824219,-0.9880613088607788,0.939449667930603,0.983869194984436,1.0,0.0,0.0
val,-0.9057339429855347,1.6240638494491577,1.634162425994873,-1.7058745622634888,0.847350537776947,-0.14776694774627686,0.0,1.0,0.0
val,-2.859632730484009,0.06739937514066696,-1.4450652599334717,-1.1703236103057861,0.4819047152996063,0.7530542016029358,0.0,0.0,1.0
val,-0.4415951073169708,1.2580980062484741,0.23761044442653656,-0.27731841802597046,1.0303280353546143,0.13606347143650055,1.0,0.0,0.0
val,-0.9023157954216003,1.8022947311401367,1.1435115337371826,-0.3713637888431549,0.005362733267247677,-0.3818880021572113,0.0,1.0,0.0
val,0.7858490943908691,1.8920972347259521,-1.0291506052017212,-2.2844395637512207,1.5224722623825073,-1.041701078414917,0.0,0.0,1.0
test,-0.716815710067749,0.8745824098587036,0.11638419330120087,-1.1820539236068726,1.3278937339782715,-0.6416712403297424,1.0,0.0,0.0
test,0.5880299210548401,0.30106741189956665,0.7737149000167847,0.5690007209777832,1.2954686880111694,0.3146509826183319,0.0,1.0,0.0
test,0.27220261096954346,-0.018893463537096977,0.3447969853878021,-0.5221936702728271,-0.5775312185287476,-2.2433602809906006,0.0,0.0,1.0
test,-0.9575735330581665,0.002549055265262723,0.3067862093448639,-0.2987687885761261,1.260054349899292,-0.20870129764080048,1.0,0.0,0.0
test,-1.104058027267456,-0.10518043488264084,1.5477983951568604,-2.035053014755249,0.8505132794380188,-0.503229558467865,0.0,1.0,0.0
test,-2.441450595855713,-0.01348094642162323,0.7164753675460815,-2.543940782546997,-0.29917988181114197,-0.7829825282096863,0.0,0.0,1.0
test,-0.3722471594810486,0.38666629791259766,0.3841767907142639,-0.38347023725509644,1.7166471481323242,0.30765846371650696,1.0,0.0,0.0
test,-2.0209848880767822,1.165899634361267,-0.5987507700920105,-0.11635094881057739,0.739392101764679,0.3378153443336487,0.0,1.0,0.0
test,-2.244058132171631,0.24959909915924072,1.984969139099121,-0.4237115681171417,1.5615510940551758,1.697378396987915,0.0,0.0,1.0
test,-0.29264670610427856,0.6290609836578369,0.5161965489387512,-0.12415767461061478,0.4804822504520416,-0.02166598290205002,1.0,0.0,0.0
test,-0.7300136685371399,1.0229828357696533,-0.9563983082771301,-0.9433606266975403,2.322380781173706,0.6666742563247681,0.0,1.0,0.0
test,-1.5946639776229858,-0.8536418080329895,1.9074546098709106,-1.105556607246399,1.1689162254333496,1.9315968751907349,0.0,0.0,1.0
test,-1.2326387166976929,0.7485188841819763,0.41520848870277405,-1.4974955320358276,1.2523003816604614,-0.00482829287648201,1.0,0.0,0.0
test,-0.01584595814347267,1.7418792247772217,1.0505728721618652,-1.0222291946411133,0.6527494192123413,-1.073684573173523,0.0,1.0,0.0
test,-1.3946712017059326,2.4870805740356445,0.01377188041806221,-0.28470155596733093,2.882620096206665,0.43879252672195435,0.0,0.0,1.0
test,0.1260569989681244,0.10025954246520996,0.0030688163824379444,-0.9643075466156006,0.5663390755653381,-0.2841256260871887,1.0,0.0,0.0
test,-1.4571231603622437,-0.320837140083313,0.6152954697608948,-0.011219597421586514,1.420337438583374,-1.036790132522583,0.0,1.0,0.0
test,-1.8348369598388672,0.1456933319568634,-2.033684253692627,-0.7923526763916016,0.03700891137123108,-0.9833956956863403,0.0,0.0,1.0
test,-0.5079092383384705,1.2515974044799805,0.1579834669828415,-1.3712728023529053,0.476097047328949,0.20795704424381256,1.0,0.0,0.0
test,-0.06460312753915787,-0.2110351026058197,0.9761213064193726,-2.4775702953338623,1.309843897819519,0.46701979637145996,0.0,1.0,0.0
test,-0.8641449809074402,-0.5730013847351074,0.7954027056694031,-2.4912586212158203,2.9080424308776855,1.145666241645813,0.0,0.0,1.0
test,-0.2142055332660675,0.5221725702285767,0.07641513645648956,-0.9580594301223755,0.38764774799346924,-0.6187365651130676,1.0,0.0,0.0
test,-1.2353286743164062,-0.9590134024620056,-0.32065120339393616,-0.6027464270591736,0.3609394133090973,-0.6971999406814575,0.0,1.0,0.0
test,-0.645384669303894,0.10597790777683258,1.0160447359085083,1.2806782722473145,0.29831984639167786,-1.6247798204421997,0.0,0.0,1.0
test,-1.1294325590133667,0.31767702102661133,-0.21006014943122864,-0.5224980115890503,0.8290274143218994,0.6460970640182495,1.0,0.0,0.0
test,-1.7302714586257935,1.1403204202651978,0.87399822473526,-0.9560797810554504,0.7112512588500977,1.463890790939331,0.0,1.0,0.0
test,-2.3233835697174072,0.14001211524009705,1.0596286058425903,-1.1022067070007324,-1.2212269306182861,-0.559466540813446,0.0,0.0,1.0
test,-0.2360372543334961,0.1483418494462967,0.5625312328338623,-0.23396487534046173,0.5147678852081299,0.3302946984767914,1.0,0.0,0.0
test,-2.0041301250457764,0.6972097158432007,0.4613112509250641,-0.3277004063129425,0.942058265209198,-1.1036895513534546,0.0,1.0,0.0
test,0.5996657013893127,0.922799289226532,-1.0918132066726685,-0.24272288382053375,-1.2283211946487427,-0.6257579922676086,0.0,0.0,1.0
test,-0.8507668375968933,0.3952380120754242,0.7559918165206909,-0.25546589493751526,0.5424846410751343,0.39802271127700806,1.0,0.0,0.0
test,-1.0458474159240723,0.8494114279747009,0.6558244228363037,-0.2884141802787781,1.5095171928405762,1.7847707271575928,0.0,1.0,0.0
test,-1.2295769453048706,0.45364484190940857,1.6311748027801514,-2.8371493816375732,1.1998846530914307,-1.570246934890747,0.0,0.0,1.0
test,-0.33076390624046326,0.34833386540412903,-0.34034305810928345,-0.44150063395500183,1.241411566734314,-0.37945759296417236,1.0,0.0,0.0
test,-1.006912112236023,2.4475152492523193,0.226643905043602,-0.9459631443023682,0.8313350081443787,0.18390488624572754,0.0,1.0,0.0
test,-1.6316089630126953,1.895700454711914,-1.9288320541381836,-1.1378929615020752,0.9152876138687134,-0.9282756447792053,0.0,0.0,1.0
test,-0.9086560606956482,0.6579940915107727,-0.4348732531070709,-1.3928165435791016,0.715016782283783,-0.20242540538311005,1.0,0.0,0.0
test,-0.08452950417995453,1.2173951864242554,-1.1413242816925049,-1.8411717414855957,1.5856765508651733,-0.0008867211872711778,0.0,1.0,0.0
