split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8
train,0.16663695871829987,1.5788344144821167,-0.20277179777622223,-0.04057534784078598,-0.005262966733425856,-0.8980240225791931,-1.5851062536239624,-1.54680335521698,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.8585744500160217,1.6694579124450684,-0.406980037689209,0.6841687560081482,0.5016567707061768,-0.37012022733688354,-1.3701858520507812,-0.10246667265892029,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.20614373683929443,2.6653409004211426,0.57712721824646,-1.3831264972686768,-1.3385423421859741,-2.2679052352905273,-1.1011689901351929,0.4935443699359894,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.19143334031105042,2.963289737701416,1.4734435081481934,1.1356515884399414,-2.9384658336639404,-0.14676910638809204,-2.062061309814453,-0.12709179520606995,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-0.8724851012229919,2.8144736289978027,2.1123673915863037,2.6811611652374268,-2.398171901702881,-2.3398749828338623,-0.9365324378013611,-1.3783798217773438,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-0.48106449842453003,-0.7007063627243042,-1.970383882522583,0.5158093571662903,-5.0262131690979,-0.7732142210006714,0.28453582525253296,-1.08480703830719,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,1.2308831214904785,3.7113537788391113,-4.820783615112305,-3.7297098636627197,-0.3841378688812256,-0.5623182654380798,0.5471210479736328,-4.17071008682251,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-0.4690268933773041,5.629024982452393,-1.8421076536178589,-0.6398664712905884,2.294612407684326,-1.1886621713638306,-6.371843338012695,1.9013545513153076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,0.11514690518379211,6.153631687164307,-1.8986457586288452,2.441206693649292,4.277369499206543,-5.616325855255127,-2.1488285064697266,0.03849366679787636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,0.09073852002620697,1.3886282444000244,0.4464792311191559,-0.2453741580247879,-0.4960945248603821,-0.5530908107757568,-0.44756463170051575,-1.5780483484268188,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.5893505215644836,0.6965022087097168,0.5253394246101379,-0.19808357954025269,-0.8562822937965393,-1.4303909540176392,-0.3462463915348053,-1.1672950983047485,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.15848857164382935,3.648195505142212,-0.7418950200080872,-0.5102931261062622,0.5606371760368347,-0.7060362696647644,0.8286025524139404,-2.2027664184570312,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.6474555730819702,2.850282907485962,-0.5889407396316528,0.9425411224365234,-0.13017155230045319,-0.9350409507751465,0.48438453674316406,1.3087915182113647,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,0.5478769540786743,3.1331872940063477,-1.7904798984527588,0.29490527510643005,0.8320552110671997,-4.4247050285339355,-1.7289752960205078,-2.712470769882202,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
