split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,class_0,class_1,class_2
train,1.2334073781967163,-0.9910760521888733,-0.11322461813688278,-0.4142804741859436,-1.7876378297805786,0.41740259528160095,-1.6830472946166992,0.37557902932167053,-0.5760680437088013,1.0,0.0,0.0
train,1.2488678693771362,-0.2923353612422943,-0.7172890901565552,-0.13133521378040314,-1.322049617767334,-0.8301900625228882,-2.589616298675537,1.176382303237915,-0.6385374069213867,0.0,1.0,0.0
train,1.5767850875854492,-3.1345880031585693,-1.3469107151031494,-0.6194214224815369,-1.0524795055389404,0.1443457454442978,-2.740098476409912,0.681976318359375,-1.1829969882965088,0.0,0.0,1.0
train,0.7194292545318604,-1.0342392921447754,-0.5997100472450256,-0.49556466937065125,-1.4814391136169434,0.525553822517395,-1.0711075067520142,0.8367984294891357,-0.527177631855011,1.0,0.0,0.0
train,0.6924539804458618,-1.2192403078079224,-1.3984997272491455,-0.1787358671426773,-0.6009078621864319,0.31982046365737915,-2.2023258209228516,0.4166577160358429,-1.2678160667419434,0.0,1.0,0.0
train,2.520362138748169,-0.39121341705322266,-0.11341273039579391,-0.9106970429420471,-3.3463642597198486,-0.8159964084625244,0.26088446378707886,1.5033087730407715,-0.9298504590988159,0.0,0.0,1.0
train,1.334366798400879,-0.9234273433685303,-0.6343961954116821,-0.049648843705654144,-1.4375503063201904,0.15670712292194366,-0.29719072580337524,0.17452441155910492,-0.6104322075843811,1.0,0.0,0.0
train,0.8866979479789734,-0.6143900752067566,-0.33389630913734436,0.18528100848197937,-2.3915529251098633,-0.8053106665611267,-1.1186294555664062,-0.29298219084739685,-1.5593857765197754,0.0,1.0,0.0
train,0.885510265827179,-2.4357666969299316,0.4146391451358795,0.9349673986434937,-1.7928086519241333,-0.20343352854251862,-2.332789897918701,-0.7299007773399353,-1.096610426902771,0.0,0.0,1.0
train,2.265641689300537,-0.8259611129760742,-0.33507218956947327,-0.08858776837587357,-1.3317629098892212,0.1525990068912506,-0.8907580971717834,0.477782279253006,-0.639988362789154,1.0,0.0,0.0
train,1.3392914533615112,-0.35462698340415955,0.36833786964416504,1.219805359840393,-2.1505837440490723,-0.33906200528144836,-1.2816210985183716,0.5704929232597351,-0.4507421553134918,0.0,1.0,0.0
train,2.253551959991455,0.33663955330848694,-0.7896963357925415,1.1399403810501099,-0.4688405990600586,1.1251451969146729,-2.558614730834961,-0.288001149892807,-0.212590292096138,0.0,0.0,1.0
train,1.634216547012329,-0.37313929200172424,-1.3185268640518188,0.1701170653104782,-1.8656518459320068,-0.0027041248977184296,-1.2668119668960571,0.6264187693595886,-0.06469671428203583,1.0,0.0,0.0
train,0.49949178099632263,-1.2642837762832642,-1.1805940866470337,1.137871265411377,-1.4606237411499023,0.15408572554588318,-1.808846116065979,1.2495667934417725,-0.8852588534355164,0.0,1.0,0.0
train,0.72294682264328,0.635226845741272,-1.118086338043213,-0.6321407556533813,-0.2057826817035675,-0.9665384292602539,-0.23850485682487488,1.7726613283157349,-0.27056965231895447,0.0,0.0,1.0
val,1.3045663833618164,-0.45180773735046387,-0.9989255666732788,-0.2074732929468155,-1.4410446882247925,-0.18083716928958893,-0.8286206722259521,1.078295350074768,-1.0145103931427002,1.0,0.0,0.0
val,1.9269508123397827,0.039397209882736206,-0.10166972875595093,0.8285914659500122,-1.6481964588165283,-0.493527889251709,-1.1512597799301147,1.3596912622451782,0.16354243457317352,0.0,1.0,0.0
val,1.8005095720291138,0.536870002746582,-2.1478512287139893,-0.5469903349876404,-0.5731950402259827,0.6777337193489075,-1.804652214050293,-0.9745304584503174,0.14029482007026672,0.0,0.0,1.0
val,2.1326704025268555,-0.6709800362586975,-0.9607561230659485,-0.5455271005630493,-1.7121381759643555,-0.07649701088666916,-1.5895402431488037,0.8822261095046997,-0.49265316128730774,1.0,0.0,0.0
val,2.461597204208374,-0.4300423860549927,-1.4236259460449219,-0.6582226157188416,-0.7966235876083374,0.06455973535776138,-0.180394247174263,0.1514405608177185,-1.081423282623291,0.0,1.0,0.0
val,2.6990442276000977,0.8679981231689453,-1.204508662223816,-0.44909170269966125,-2.496264696121216,-0.7938522696495056,-1.2825164794921875,2.197704553604126,-0.6477909684181213,0.0,0.0,1.0
val,1.5427441596984863,-0.9820752739906311,-1.290689468383789,-0.19063974916934967,-1.4885557889938354,0.8592727184295654,-1.1290901899337769,0.5102181434631348,-0.10098421573638916,1.0,0.0,0.0
val,2.1585533618927,-1.1528280973434448,-0.6167482733726501,-0.35582494735717773,-0.38189876079559326,0.6326297521591187,-1.348436713218689,0.8566157221794128,0.6304354071617126,0.0,1.0,0.0
val,1.8375225067138672,0.5334554314613342,-1.2955647706985474,-0.4988183379173279,-0.5884227156639099,2.143104314804077,-2.2477355003356934,0.9335924386978149,-0.8315791487693787,0.0,0.0,1.0
val,0.8473384976387024,-1.0241507291793823,-1.267136573791504,0.18425899744033813,-1.8421478271484375,0.4660925567150116,-1.318964958190918,0.5622416734695435,-0.3047564923763275,1.0,0.0,0.0
val,0.9651282429695129,-0.2540102005004883,-1.7957115173339844,-0.9689553380012512,-1.4247034788131714,-0.07418438792228699,-1.8207050561904907,1.5733087062835693,-0.3109608590602875,0.0,1.0,0.0
val,2.3250720500946045,0.7272962331771851,-0.7933068871498108,1.6396459341049194,-1.3398871421813965,0.887390673160553,-2.1448326110839844,-0.23106108605861664,-1.0112730264663696,0.0,0.0,1.0
val,1.8690056800842285,-0.7728878855705261,-0.5382269620895386,0.6228668093681335,-1.6697431802749634,0.2179386168718338,-1.0014052391052246,0.18516436219215393,-0.6433194875717163,1.0,0.0,0.0
val,2.0952908992767334,-0.8809303045272827,-0.7089885473251343,-0.042182836681604385,-2.9225564002990723,-0.5165048241615295,-1.980648159980774,0.4301683306694031,-1.4850356578826904,0.0,1.0,0.0
val,1.8540536165237427,0.5843101143836975,-0.8112096786499023,0.8471677303314209,-0.9488043189048767,2.033536434173584,-0.7207903861999512,-0.33486953377723694,0.28535959124565125,0.0,0.0,1.0
test,1.15579354763031,-1.4582420587539673,-0.5370917320251465,0.15685075521469116,-2.2085633277893066,0.04682306945323944,-0.8337694406509399,0.6366992592811584,-0.455827921628952,1.0,0.0,0.0
test,0.7347750663757324,-1.000685453414917,-0.795317530632019,-0.31329545378685,-1.325547456741333,-1.3227968215942383,-1.8657550811767578,1.0986847877502441,-1.0357871055603027,0.0,1.0,0.0
test,1.6047210693359375,0.6124151349067688,-1.6225796937942505,1.370367407798767,-1.4950382709503174,0.7892416715621948,-0.32885828614234924,1.2417869567871094,-2.050658941268921,0.0,0.0,1.0
test,1.4569133520126343,-0.599010169506073,-1.1148126125335693,-0.35716813802719116,-2.2510437965393066,0.1890878677368164,-0.8826459646224976,0.9620537161827087,-0.07467243820428848,1.0,0.0,0.0
test,0.9723533987998962,-0.602625846862793,0.18368487060070038,-0.7584717273712158,-1.9390504360198975,-0.33153828978538513,-1.1151013374328613,-0.6579249501228333,0.13933351635932922,0.0,1.0,0.0
test,1.399611234664917,-0.3444979786872864,0.16069476306438446,-0.2638724148273468,0.7945383191108704,-1.0784467458724976,-1.4300652742385864,0.5994800329208374,-0.3504064381122589,0.0,0.0,1.0
test,1.59816312789917,-0.9444128274917603,-0.9011639356613159,-0.20757189393043518,-2.1054980754852295,-0.07312260568141937,-0.9130152463912964,0.9294894337654114,0.1909984052181244,1.0,0.0,0.0
test,1.912739872932434,-1.0168640613555908,0.5985506772994995,-0.9508270621299744,-0.8002704977989197,0.42929691076278687,-1.3961342573165894,0.9964148998260498,-1.0139012336730957,0.0,1.0,0.0
