split,feature_0,feature_1,feature_2,class_0,class_1
train,0.5163573026657104,0.6285853385925293,-2.5840022563934326,1.0,0.0
train,2.3206369876861572,0.2572942078113556,-2.591383218765259,0.0,1.0
train,0.48042425513267517,0.0735691711306572,-1.4919980764389038,1.0,0.0
train,2.3453848361968994,0.051880501210689545,-2.7845232486724854,0.0,1.0
train,0.9380081295967102,0.5062646269798279,-2.4637773036956787,1.0,0.0
train,2.174874782562256,-0.6843857169151306,-3.3048861026763916,0.0,1.0
train,0.36236056685447693,-0.6009128093719482,-1.430606484413147,1.0,0.0
train,-0.21664930880069733,-1.6698073148727417,-3.754734754562378,0.0,1.0
train,-0.21967200934886932,0.10158140957355499,-1.7790412902832031,1.0,0.0
train,2.233590602874756,0.24853409826755524,-3.005551338195801,0.0,1.0
val,-0.4362967014312744,-0.12012901157140732,-1.9427618980407715,1.0,0.0
val,1.2146873474121094,0.9919260740280151,-3.652243137359619,0.0,1.0
val,-0.09220217913389206,0.24693402647972107,-3.010460138320923,1.0,0.0
val,-1.4534831047058105,0.29618343710899353,-2.630967855453491,0.0,1.0
val,1.2368522882461548,0.20097607374191284,-2.2020726203918457,1.0,0.0
val,2.357245683670044,-0.3299556374549866,-2.911761999130249,0.0,1.0
val,0.8431329131126404,-0.45744433999061584,-3.2983171939849854,1.0,0.0
val,0.09123033285140991,1.5655238628387451,-1.9255263805389404,0.0,1.0
val,0.5259554982185364,-0.8957313299179077,-1.5649933815002441,1.0,0.0
val,1.081372618675232,1.538395881652832,-2.324024200439453,0.0,1.0
test,0.13901449739933014,-1.2927988767623901,-2.5646021366119385,1.0,0.0
test,-1.012719988822937,-0.17167480289936066,-1.0174025297164917,0.0,1.0
test,1.2624831199645996,-0.5844225883483887,-1.9033138751983643,1.0,0.0
test,1.1762241125106812,0.10476061701774597,-0.5994381308555603,0.0,1.0
test,-0.4967166781425476,-0.7346574068069458,-2.443847179412842,1.0,0.0
test,0.06936053931713104,0.833406388759613,-0.8233572840690613,0.0,1.0
test,0.4259175658226013,0.1815289556980133,-1.5490217208862305,1.0,0.0
test,-0.5677409172058105,-1.9728550910949707,-3.0121524333953857,0.0,1.0
test,-0.04639599099755287,-0.6660327911376953,-3.219632625579834,1.0,0.0
test,0.31946682929992676,1.1760996580123901,-1.1073509454727173,0.0,1.0
test,-0.45428335666656494,0.08680963516235352,-2.2045860290527344,1.0,0.0
test,0.9759561419487,0.8593131899833679,-3.8915393352508545,0.0,1.0
test,-0.4034217298030853,-0.618250846862793,-1.904863953590393,1.0,0.0
test,-0.8569291234016418,0.35757550597190857,-3.7592201232910156,0.0,1.0
test,0.9653528332710266,0.15677309036254883,-3.068504810333252,1.0,0.0
test,-0.5084675550460815,1.3234624862670898,-1.8216218948364258,0.0,1.0
test,-0.14957615733146667,-0.3572554290294647,-3.2149415016174316,1.0,0.0
test,2.356839656829834,-0.003133493009954691,-2.01224422454834,0.0,1.0
test,1.2516947984695435,-0.5555923581123352,-2.9197449684143066,1.0,0.0
test,0.6465956568717957,0.1300133764743805,-4.325429439544678,0.0,1.0
test,1.1594995260238647,-0.938029944896698,-2.7338342666625977,1.0,0.0
test,1.62106454372406,0.472889244556427,-3.772291421890259,0.0,1.0
test,1.0839771032333374,-0.9123137593269348,-2.89514422416687,1.0,0.0
test,-1.010522723197937,0.4054591953754425,-3.5668365955352783,0.0,1.0
test,0.06662102043628693,-1.2180174589157104,-2.054159641265869,1.0,0.0
test,1.187545657157898,-1.6534632444381714,-3.7070658206939697,0.0,1.0
test,1.1777746677398682,-0.2454102337360382,-3.046304702758789,1.0,0.0
test,1.1544651985168457,-0.7400925159454346,-0.5757103562355042,0.0,1.0
test,0.3741433322429657,-0.7623825669288635,-1.4871150255203247,1.0,0.0
test,-0.8210771083831787,0.866428554058075,-3.381007671356201,0.0,1.0
test,0.15731219947338104,-0.8998767137527466,-1.6056267023086548,1.0,0.0
test,0.509290874004364,1.135047197341919,-1.0587927103042603,0.0,1.0
test,1.2099976539611816,0.04098217561841011,-2.877253532409668,1.0,0.0
test,1.132627248764038,-0.8283045291900635,-0.5881989598274231,0.0,1.0
test,0.43528425693511963,0.586068868637085,-2.7497012615203857,1.0,0.0
test,0.8642387986183167,-0.721584677696228,-4.3117547035217285,0.0,1.0
test,0.7297426462173462,-1.1537452936172485,-1.8864593505859375,1.0,0.0
test,1.1316847801208496,-1.9441639184951782,-3.374772787094116,0.0,1.0
test,1.0270233154296875,-0.8588310480117798,-1.7817093133926392,1.0,0.0
test,1.00704824924469,-0.9579358696937561,-0.5823956727981567,0.0,1.0
test,0.307645708322525,-0.6710711717605591,-3.3360047340393066,1.0,0.0
test,-1.3206689357757568,-1.1903020143508911,-1.9004919528961182,0.0,1.0
test,0.5529792308807373,0.39474257826805115,-1.7408138513565063,1.0,0.0
test,0.7963426113128662,1.3113335371017456,-3.4471447467803955,0.0,1.0
test,0.1540711522102356,-0.529928982257843,-1.4508836269378662,1.0,0.0
test,2.265002727508545,-0.1024589017033577,-1.6528372764587402,0.0,1.0
test,0.5591944456100464,-0.33076611161231995,-3.3872015476226807,1.0,0.0
