split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
train,-0.1392402946949005,-1.666936993598938,0.5134347677230835,1.4064745903015137,0.5740390419960022,1.1802533864974976,-0.3370594382286072,-0.18755973875522614,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.14552508294582367,-2.05853271484375,0.8021895289421082,0.15139029920101166,0.6312653422355652,0.5050694346427917,0.9695844054222107,-0.06889622658491135,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-1.2829093933105469,-3.0339443683624268,0.09822835773229599,1.5793150663375854,0.3732985258102417,1.4869983196258545,-2.0503344535827637,0.2218610793352127,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.1566145420074463,-1.1114283800125122,0.47482389211654663,1.1999304294586182,-0.022019822150468826,-1.412348985671997,1.3266521692276,3.0862059593200684,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train,-0.6115938425064087,-5.10252046585083,0.2102203220129013,3.270641326904297,-1.617740273475647,1.596944808959961,-1.3439167737960815,0.8271647691726685,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
train,-2.5943915843963623,0.35860517621040344,-2.3407461643218994,0.2941557466983795,0.05678867921233177,2.7029106616973877,-1.0508733987808228,4.209221363067627,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
train,-2.9573559761047363,-1.9930349588394165,0.1756097972393036,0.5036603808403015,-0.5107089281082153,6.587145805358887,1.552568793296814,-2.118726968765259,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
train,-1.503342866897583,2.4267921447753906,-0.4983842670917511,-2.1847312450408936,-3.902817726135254,4.73494291305542,0.8113647699356079,-0.3113926947116852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
train,-0.14770832657814026,0.8465501070022583,6.719674110412598,3.251505136489868,-1.2627065181732178,2.362522840499878,1.3228055238723755,-4.801248550415039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
train,1.7503079175949097,5.087857246398926,2.9884579181671143,1.3711379766464233,2.3758130073547363,-3.166835069656372,4.079632759094238,-2.325664520263672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
