split,feature_0,feature_1,feature_2,class_0,class_1,class_2
train,-0.34808045625686646,-0.4775572717189789,-1.5172289609909058,1.0,0.0,0.0
train,2.478320598602295,-1.0252151489257812,-1.1869255304336548,0.0,1.0,0.0
train,1.348073959350586,1.7739793062210083,-2.125732183456421,0.0,0.0,1.0
train,0.8369585871696472,-0.7295465469360352,-2.3076491355895996,1.0,0.0,0.0
train,2.055346965789795,-1.7935417890548706,-2.382758140563965,0.0,1.0,0.0
train,3.021878957748413,0.5936416387557983,-1.5537519454956055,0.0,0.0,1.0
train,0.5252097249031067,-0.6032870411872864,-2.3250036239624023,1.0,0.0,0.0
train,1.1141396760940552,-2.893160820007324,-1.147965908050537,0.0,1.0,0.0
train,1.7730382680892944,-3.6468939781188965,-0.7724727988243103,0.0,0.0,1.0
train,0.312734991312027,-0.3117259442806244,-2.104658365249634,1.0,0.0,0.0
train,-0.13817164301872253,-1.3664352893829346,0.45226365327835083,0.0,1.0,0.0
train,-1.985124945640564,-1.111365556716919,0.2779668867588043,0.0,0.0,1.0
train,1.4228105545043945,-0.6866731643676758,-1.2492355108261108,1.0,0.0,0.0
train,-0.4580287039279938,-1.0043418407440186,0.34779343008995056,0.0,1.0,0.0
train,-2.365948438644409,-1.1875886917114258,-0.5148912668228149,0.0,0.0,1.0
val,-0.0756058618426323,-0.8268213868141174,-2.2156083583831787,1.0,0.0,0.0
val,-0.8752800822257996,0.10638583451509476,-2.352782964706421,0.0,1.0,0.0
val,-1.0601783990859985,1.0236167907714844,0.15359053015708923,0.0,0.0,1.0
val,0.4204328656196594,-1.428602695465088,-2.3185694217681885,1.0,0.0,0.0
val,0.12070067226886749,-2.8270435333251953,-2.1645565032958984,0.0,1.0,0.0
val,1.2843191623687744,0.6054481863975525,-3.8120644092559814,0.0,0.0,1.0
val,1.4357706308364868,-1.338560938835144,-1.4350863695144653,1.0,0.0,0.0
val,-1.3940918445587158,-1.4631046056747437,-1.9041911363601685,0.0,1.0,0.0
val,-0.1273084580898285,-3.087193727493286,-3.488109827041626,0.0,0.0,1.0
val,0.600136935710907,-1.945803165435791,-1.751145839691162,1.0,0.0,0.0
val,2.430018901824951,-0.5274187326431274,-1.49469792842865,0.0,1.0,0.0
val,1.9293537139892578,0.4715265929698944,-3.5881857872009277,0.0,0.0,1.0
val,1.2644609212875366,-0.741009533405304,-1.9861855506896973,1.0,0.0,0.0
val,1.732033133506775,-0.05367426946759224,-0.17028553783893585,0.0,1.0,0.0
val,2.5719213485717773,-3.1370787620544434,-1.0241068601608276,0.0,0.0,1.0
test,0.18064898252487183,-1.3470385074615479,-0.5233450531959534,1.0,0.0,0.0
test,-0.8745083808898926,-0.4099654257297516,-0.08087162673473358,0.0,1.0,0.0
test,1.0711219310760498,-2.934783935546875,0.8152549266815186,0.0,0.0,1.0
test,0.04352504387497902,-1.3338006734848022,-2.246610164642334,1.0,0.0,0.0
test,1.7339452505111694,-1.7812342643737793,-0.047888435423374176,0.0,1.0,0.0
test,-0.18741917610168457,-2.3160452842712402,-4.027354717254639,0.0,0.0,1.0
test,1.2188208103179932,-1.507383942604065,-1.886184573173523,1.0,0.0,0.0
test,1.5529524087905884,-1.902878761291504,-2.8539445400238037,0.0,1.0,0.0
test,-0.8225483298301697,0.7424218058586121,-3.4617767333984375,0.0,0.0,1.0
test,1.0988941192626953,-1.398654818534851,-2.1057963371276855,1.0,0.0,0.0
test,0.9373394250869751,-1.9817674160003662,-3.1034321784973145,0.0,1.0,0.0
test,-1.7339324951171875,0.549977719783783,-0.14304038882255554,0.0,0.0,1.0
test,0.08082443475723267,-1.7297228574752808,-1.9741605520248413,1.0,0.0,0.0
test,1.8500137329101562,-0.88772052526474,-2.874880075454712,0.0,1.0,0.0
test,3.1534345149993896,-1.4542040824890137,-0.10267014801502228,0.0,0.0,1.0
test,0.7741270065307617,-1.7602477073669434,-2.011629343032837,1.0,0.0,0.0
test,-0.9456862211227417,0.16838273406028748,-2.150270700454712,0.0,1.0,0.0
test,0.08523581922054291,-2.6845247745513916,1.0440465211868286,0.0,0.0,1.0
test,0.05043913424015045,-1.7975693941116333,-0.9797419905662537,1.0,0.0,0.0
test,1.0758860111236572,-1.7749170064926147,0.3408964276313782,0.0,1.0,0.0
test,1.946183204650879,1.441166877746582,-0.4804939031600952,0.0,0.0,1.0
test,0.48848167061805725,-0.3449733555316925,-2.1583704948425293,1.0,0.0,0.0
test,-0.9234806895256042,-2.2129945755004883,-2.157248020172119,0.0,1.0,0.0
test,-1.4218685626983643,-2.0499110221862793,0.651711106300354,0.0,0.0,1.0
test,-0.4986357092857361,-0.9101975560188293,-1.3119279146194458,1.0,0.0,0.0
test,1.034069538116455,-0.38292357325553894,-3.2320950031280518,0.0,1.0,0.0
test,2.4440505504608154,0.033438801765441895,0.6109806895256042,0.0,0.0,1.0
test,0.6317223906517029,-1.7991137504577637,-0.813108503818512,1.0,0.0,0.0
test,2.0365488529205322,-1.7810688018798828,-0.40315505862236023,0.0,1.0,0.0
test,-1.6015217304229736,-1.7661250829696655,0.600051760673523,0.0,0.0,1.0
test,-0.10425711423158646,-1.5682810544967651,-1.9915226697921753,1.0,0.0,0.0
test,1.4341204166412354,-2.4463694095611572,-0.3874099850654602,0.0,1.0,0.0
test,-1.7038073539733887,-1.8523668050765991,-3.2766377925872803,0.0,0.0,1.0
test,0.5008939504623413,-1.738080620765686,-2.099287509918213,1.0,0.0,0.0
test,-1.0243703126907349,-0.5914196968078613,-2.6483347415924072,0.0,1.0,0.0
test,2.3180034160614014,-3.08577823638916,-2.578218936920166,0.0,0.0,1.0
test,0.22861844301223755,-0.3408265709877014,-2.106658697128296,1.0,0.0,0.0
test,-1.2801705598831177,-1.1260267496109009,-2.334160566329956,0.0,1.0,0.0
test,1.2226605415344238,-2.902776002883911,0.7979909181594849,0.0,0.0,1.0
test,0.5733387470245361,-0.9015833735466003,-0.42203933000564575,1.0,0.0,0.0
test,-0.8714760541915894,-2.179277181625366,-0.5301021933555603,0.0,1.0,0.0
test,1.5892393589019775,-3.467413902282715,-2.739682197570801,0.0,0.0,1.0
test,1.1359961032867432,-1.7602694034576416,-1.2608344554901123,1.0,0.0,0.0
test,0.07411540299654007,-1.819093942642212,0.36878374218940735,0.0,1.0,0.0
test,0.2714022099971771,1.9164865016937256,-0.7957931756973267,0.0,0.0,1.0
test,0.7733222842216492,-1.0349467992782593,-2.371678590774536,1.0,0.0,0.0
test,0.7913207411766052,0.9597269892692566,-1.2532134056091309,0.0,1.0,0.0
test,3.196640729904175,-1.968196988105774,-0.5383028388023376,0.0,0.0,1.0
test,0.4219030737876892,-1.9247819185256958,-1.813288688659668,1.0,0.0,0.0
test,1.2235239744186401,-2.179861545562744,-2.8609931468963623,0.0,1.0,0.0
test,0.7475792765617371,1.5048655271530151,-3.026221990585327,0.0,0.0,1.0
test,0.6229982376098633,-1.9211581945419312,-1.0194697380065918,1.0,0.0,0.0
test,0.7356517910957336,-2.7381715774536133,-2.3912463188171387,0.0,1.0,0.0
test,1.3346617221832275,-2.526104211807251,-3.860772132873535,0.0,0.0,1.0
test,-0.3519272208213806,-0.9875999093055725,-1.9498947858810425,1.0,0.0,0.0
test,-0.05250610411167145,-2.9304518699645996,-1.2682092189788818,0.0,1.0,0.0
test,2.093276262283325,-0.7590311169624329,1.111194372177124,0.0,0.0,1.0
test,0.5995007753372192,-0.024147624149918556,-1.53101646900177,1.0,0.0,0.0
test,0.027555329725146294,-2.9418106079101562,-1.1722726821899414,0.0,1.0,0.0
test,1.0812946557998657,-1.5369579792022705,1.481397271156311,0.0,0.0,1.0
test,1.0135225057601929,-1.22349214553833,-0.5867500901222229,1.0,0.0,0.0
test,0.05607378110289574,-2.692455530166626,-2.404597043991089,0.0,1.0,0.0
test,1.173003911972046,-3.4639079570770264,0.17459078133106232,0.0,0.0,1.0
test,0.9371834993362427,-1.437242031097412,-2.1997087001800537,1.0,0.0,0.0
test,-1.2354940176010132,-0.3126067519187927,-2.1411097049713135,0.0,1.0,0.0
test,1.5560977458953857,-2.6303656101226807,-3.702615737915039,0.0,0.0,1.0
test,-0.26214930415153503,-0.3642025291919708,-1.2944390773773193,1.0,0.0,0.0
test,2.1492221355438232,-1.7034170627593994,-0.5342084765434265,0.0,1.0,0.0
test,-0.49120280146598816,-3.827547550201416,-1.7336795330047607,0.0,0.0,1.0
test,1.3037241697311401,-1.0274075269699097,-0.829986572265625,1.0,0.0,0.0
test,-1.2014344930648804,-1.5194541215896606,-0.4762152135372162,0.0,1.0,0.0
test,1.7364082336425781,1.3154969215393066,0.014231143519282341,0.0,0.0,1.0
test,0.4076797366142273,-0.22998784482479095,-0.7939287424087524,1.0,0.0,0.0
test,-0.6111063957214355,-0.5299431681632996,-3.0105631351470947,0.0,1.0,0.0
test,1.606294870376587,0.4715982675552368,-3.7701094150543213,0.0,0.0,1.0
