split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,class_0,class_1,class_2,class_3
train,0.07856356352567673,-0.7089675664901733,0.10459893196821213,0.791714072227478,1.6060683727264404,1.878770112991333,3.68471360206604,1.6699621677398682,1.0,0.0,0.0,0.0
train,0.8897835612297058,-0.7623710036277771,0.8550085425376892,1.147027611732483,1.2149145603179932,3.0775461196899414,2.2576394081115723,2.0812184810638428,0.0,1.0,0.0,0.0
train,0.4136558771133423,-2.287367343902588,-0.2623881697654724,0.1576271653175354,0.9012318253517151,0.028928685933351517,5.0052103996276855,2.398898124694824,0.0,0.0,1.0,0.0
train,-0.07456378638744354,-2.439030885696411,-2.2083332538604736,0.901991605758667,3.7051172256469727,1.963317632675171,2.6490821838378906,3.278224468231201,0.0,0.0,0.0,1.0
train,0.2663612365722656,-1.171859622001648,-0.04084085673093796,2.022934913635254,1.62510347366333,2.1252684593200684,3.0171427726745605,1.7919739484786987,1.0,0.0,0.0,0.0
train,-0.3377978503704071,-1.669071078300476,0.08848391473293304,0.697593092918396,-0.0636167824268341,1.8074085712432861,3.1858277320861816,0.6531618237495422,0.0,1.0,0.0,0.0
train,1.7131351232528687,-1.9016060829162598,-0.13921217620372772,0.6215012073516846,2.9657654762268066,3.122346878051758,2.1222167015075684,1.2913434505462646,0.0,0.0,1.0,0.0
train,-1.8508051633834839,-0.5726994276046753,1.2759891748428345,0.3168010413646698,0.4636884033679962,1.4098930358886719,4.943480491638184,-0.316996693611145,0.0,0.0,0.0,1.0
train,0.2591542899608612,-0.564955472946167,-0.24867816269397736,1.2359745502471924,1.406975269317627,1.445083737373352,3.2864158153533936,1.2948260307312012,1.0,0.0,0.0,0.0
train,1.902706265449524,-0.9427157044410706,0.11132629215717316,0.5960670709609985,0.7994177937507629,1.5221142768859863,2.6915526390075684,0.9158331155776978,0.0,1.0,0.0,0.0
train,1.6407251358032227,-1.0995453596115112,0.44137513637542725,0.9163243174552917,0.7079986929893494,-0.023641498759388924,2.828895092010498,-0.03564014285802841,0.0,0.0,1.0,0.0
train,-1.1642168760299683,-4.298828601837158,0.26023897528648376,1.1010782718658447,2.370103359222412,2.0043931007385254,2.6839778423309326,0.42664438486099243,0.0,0.0,0.0,1.0
