split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,class_0,class_1,class_2,class_3
train,0.07829567044973373,0.21256084740161896,-1.3240004777908325,0.2613414227962494,1.1677862405776978,-0.2617936432361603,1.4669512510299683,-0.6559699177742004,1.0467873811721802,-0.4076082408428192,1.0,0.0,0.0,0.0
train,0.521673321723938,0.029841775074601173,-1.0370421409606934,0.5067648887634277,-0.04118393734097481,-0.7262138724327087,0.8896631002426147,-0.09214163571596146,0.9348779916763306,-1.481732726097107,0.0,1.0,0.0,0.0
train,0.2804829478263855,-1.0963717699050903,-2.2834391593933105,-1.1878548860549927,0.9157790541648865,-0.09543783962726593,-0.774494469165802,0.303311288356781,0.4969761371612549,-1.011159896850586,0.0,0.0,1.0,0.0
train,-0.9094347953796387,-0.5294332504272461,-2.019026517868042,-0.15192289650440216,3.2280478477478027,1.298709511756897,1.6005423069000244,1.8903307914733887,0.04474513232707977,-1.903908610343933,0.0,0.0,0.0,1.0
train,-0.2970159649848938,0.47425538301467896,-1.0326128005981445,0.2199653536081314,1.455928921699524,0.021245287731289864,0.8552494645118713,0.08282119035720825,0.18784373998641968,-0.6860451698303223,1.0,0.0,0.0,0.0
train,0.39308780431747437,-0.08285465091466904,-1.4815834760665894,-0.5461034178733826,0.5747974514961243,-0.3117038905620575,-0.2473057508468628,-0.8489917516708374,0.8598800897598267,-0.7496190667152405,0.0,1.0,0.0,0.0
train,-0.498248428106308,0.44256430864334106,-0.24612875282764435,0.2224794626235962,-0.21624517440795898,-0.34975185990333557,2.8356635570526123,-1.5282050371170044,0.1885337382555008,0.22352585196495056,0.0,0.0,1.0,0.0
train,1.075280785560608,0.3527292311191559,-2.611572027206421,1.451684832572937,2.0958364009857178,0.4445646405220032,0.12071748077869415,1.3352230787277222,-0.0941992998123169,-2.880941152572632,0.0,0.0,0.0,1.0
train,0.38263562321662903,0.7331023812294006,-1.0281437635421753,-0.25598424673080444,1.5918563604354858,-0.02958017587661743,0.6783038973808289,-0.10109775513410568,0.1734076589345932,-0.22694548964500427,1.0,0.0,0.0,0.0
train,1.5083903074264526,-0.428852915763855,-1.9669382572174072,-0.27198877930641174,0.881450891494751,-0.2354675680398941,0.63172447681427,0.3472691774368286,-0.11938968300819397,0.007399267051368952,0.0,1.0,0.0,0.0
train,-1.4235541820526123,0.601954996585846,-2.7589447498321533,-0.4710730016231537,1.3678933382034302,0.32110944390296936,-0.24666079878807068,-0.27792397141456604,1.3620392084121704,0.5113600492477417,0.0,0.0,1.0,0.0
train,-0.8632733225822449,1.5611904859542847,-2.0245723724365234,1.6764155626296997,0.5570465922355652,0.7088757157325745,3.565211772918701,-0.923619270324707,-0.9337630867958069,0.21707846224308014,0.0,0.0,0.0,1.0
train,-0.23622867465019226,0.5173002481460571,-1.1889499425888062,-0.13745851814746857,0.7068201303482056,-0.34968021512031555,1.3374214172363281,0.5514853596687317,0.4511827528476715,-0.7197296023368835,1.0,0.0,0.0,0.0
