split,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,class_0,class_1,class_2,class_3,class_4
train,0.3639432191848755,0.2791388928890228,-0.2385471761226654,-3.2123968601226807,0.7981568574905396,-1.7393038272857666,1.0162911415100098,-0.11191461980342865,0.25356683135032654,1.9822198152542114,1.0,0.0,0.0,0.0,0.0
train,1.2777576446533203,2.0470850467681885,0.08028674125671387,-2.5918805599212646,0.754135012626648,-1.7899810075759888,0.22438384592533112,-0.8887239694595337,0.8893056511878967,1.6533889770507812,0.0,1.0,0.0,0.0,0.0
train,0.9177958369255066,1.6398929357528687,-1.5144544839859009,-1.7258388996124268,1.6938687562942505,-3.3936595916748047,1.015986442565918,0.08981809765100479,0.4185584485530853,2.7129883766174316,0.0,0.0,1.0,0.0,0.0
train,-0.7300382852554321,-1.231165885925293,-0.6771385073661804,-2.6705901622772217,2.699510335922241,-2.368948459625244,1.2548635005950928,0.2170138955116272,2.1787922382354736,-0.08878834545612335,0.0,0.0,0.0,1.0,0.0
train,0.544267475605011,3.227201223373413,-0.5399360060691833,-3.8007819652557373,-0.6220234036445618,-3.805112600326538,1.447788119316101,1.0293585062026978,-2.0749478340148926,2.758429527282715,0.0,0.0,0.0,0.0,1.0
train,0.06798788160085678,1.0185798406600952,0.28531914949417114,-2.9486207962036133,1.0303956270217896,-1.0797021389007568,0.7761749029159546,-0.7629992365837097,0.022930758073925972,2.133716583251953,1.0,0.0,0.0,0.0,0.0
train,1.7017637491226196,1.0393577814102173,0.8528572916984558,-3.2323145866394043,1.2686773538589478,-1.3603140115737915,0.07797557860612869,-0.005149798933416605,0.15276852250099182,2.165519952774048,0.0,1.0,0.0,0.0,0.0
train,-0.8389533758163452,0.18126524984836578,0.7605416178703308,-3.387693166732788,1.9092367887496948,-3.710078239440918,0.5358176827430725,-1.0634112358093262,-0.3917578160762787,1.9446159601211548,0.0,0.0,1.0,0.0,0.0
train,0.5004940629005432,-0.3846098780632019,-0.21675682067871094,-4.361676216125488,4.104084014892578,-2.9342830181121826,0.9153551459312439,0.998195230960846,1.0228642225265503,2.3067259788513184,0.0,0.0,0.0,1.0,0.0
train,-0.6580130457878113,-0.30814266204833984,1.3439724445343018,-2.7833330631256104,-0.25755757093429565,-4.557950973510742,-1.0319538116455078,-2.376122236251831,0.002234786981716752,3.215843915939331,0.0,0.0,0.0,0.0,1.0
train,0.008188815787434578,1.0384268760681152,-0.29777929186820984,-3.3485662937164307,1.511406421661377,-1.7841458320617676,0.37197306752204895,0.07325153797864914,0.15344840288162231,1.2523999214172363,1.0,0.0,0.0,0.0,0.0
train,0.6512947678565979,1.720802664756775,-0.3982228636741638,-1.6986985206604004,1.7510559558868408,-2.053360939025879,-0.17148937284946442,0.23614397644996643,0.08981669694185257,2.2300195693969727,0.0,1.0,0.0,0.0,0.0
train,0.3078213930130005,2.137111186981201,-1.3881103992462158,-2.0158824920654297,0.6418024301528931,-2.1085124015808105,2.0590579509735107,-1.3044594526290894,-0.2686105966567993,0.997846245765686,0.0,0.0,1.0,0.0,0.0
train,1.8536571264266968,2.670469045639038,-0.08308829367160797,-3.5113658905029297,-0.6130108833312988,-0.7939798831939697,-1.064598560333252,-0.4506765604019165,1.9170548915863037,1.5563263893127441,0.0,0.0,0.0,1.0,0.0
train,-0.02982962131500244,-0.02291448973119259,-3.2641334533691406,-2.04638671875,-1.0802230834960938,-0.7184782028198242,-0.2563821077346802,0.38920357823371887,2.5393311977386475,3.2074830532073975,0.0,0.0,0.0,0.0,1.0
train,0.34879180788993835,0.8803610801696777,-0.4375225603580475,-3.3636529445648193,1.0070781707763672,-1.7813081741333008,0.7683086395263672,-0.502309262752533,0.4956739842891693,2.5304548740386963,1.0,0.0,0.0,0.0,0.0
train,-0.2831372618675232,0.763302743434906,-0.6136829853057861,-2.1034302711486816,2.353609561920166,-0.8337097764015198,-0.10175283253192902,0.16236627101898193,-0.3586300015449524,2.3765745162963867,0.0,1.0,0.0,0.0,0.0
train,-0.6084025502204895,0.9369481801986694,0.9160683751106262,-4.947151184082031,0.2825184464454651,-2.241870164871216,0.2616131603717804,-0.7217692732810974,-0.6466859579086304,1.7431981563568115,0.0,0.0,1.0,0.0,0.0
train,-1.4924414157867432,-0.009834721684455872,1.865088939666748,-2.753638982772827,2.628797769546509,-1.9042882919311523,1.022951364517212,2.041447877883911,0.39491474628448486,2.457179069519043,0.0,0.0,0.0,1.0,0.0
train,1.1360234022140503,1.0700629949569702,3.180865526199341,-1.9257034063339233,-0.8844023942947388,-1.7097233533859253,-1.7740683555603027,0.1370958685874939,1.3337639570236206,1.7961475849151611,0.0,0.0,0.0,0.0,1.0
train,0.4785642921924591,0.7781849503517151,-0.1021050214767456,-2.3919358253479004,1.4990425109863281,-1.802851915359497,0.49051612615585327,-0.8562275171279907,-0.13868863880634308,1.7191084623336792,1.0,0.0,0.0,0.0,0.0
train,0.48434877395629883,0.6380689740180969,-0.15970231592655182,-3.0765511989593506,1.0690298080444336,-2.143505096435547,0.9766017198562622,-1.0616940259933472,1.7424089908599854,2.6891701221466064,0.0,1.0,0.0,0.0,0.0
train,0.6560959815979004,-0.030109558254480362,0.07499052584171295,-1.9392571449279785,0.6350985765457153,-1.480040431022644,-1.608095645904541,0.14160577952861786,-0.917184054851532,1.535361409187317,0.0,0.0,1.0,0.0,0.0
train,-1.7997608184814453,0.9579787254333496,-0.5832492709159851,-0.33293071389198303,3.1605703830718994,-2.1967852115631104,1.0255250930786133,-1.3036152124404907,0.2359558790922165,1.5137052536010742,0.0,0.0,0.0,1.0,0.0
train,-0.05891703441739082,-1.7955667972564697,-0.3158086836338043,-3.715067148208618,0.17686685919761658,0.952984631061554,0.034780263900756836,0.8027580976486206,2.438865900039673,3.872295618057251,0.0,0.0,0.0,0.0,1.0
val,0.025779705494642258,0.7255634069442749,-0.3435397148132324,-3.2318313121795654,0.6952723264694214,-1.9855610132217407,0.24775871634483337,-0.4942043721675873,0.24133670330047607,1.5781077146530151,1.0,0.0,0.0,0.0,0.0
val,0.42117413878440857,0.3555164337158203,-0.25400248169898987,-2.875938892364502,0.377521812915802,-1.8018498420715332,0.04641690477728844,-0.8977301716804504,-1.137350082397461,1.9554576873779297,0.0,1.0,0.0,0.0,0.0
val,1.1159570217132568,1.2018756866455078,0.2939535975456238,-3.1447386741638184,1.3734012842178345,-0.2754342257976532,1.8457027673721313,-0.5082356929779053,0.1118648499250412,-0.2534146010875702,0.0,0.0,1.0,0.0,0.0
val,0.8851162195205688,1.5391734838485718,-0.6982955932617188,-3.664663314819336,2.0246949195861816,-4.549208164215088,-1.1143513917922974,0.3352171778678894,1.2330776453018188,2.5240678787231445,0.0,0.0,0.0,1.0,0.0
val,1.910200595855713,1.2712911367416382,2.2299718856811523,-2.934349775314331,1.3968137502670288,0.30677783489227295,-1.9102286100387573,1.314512014389038,-1.518397331237793,1.2333612442016602,0.0,0.0,0.0,0.0,1.0
val,0.14515221118927002,0.376164972782135,-0.11827392876148224,-3.305795431137085,1.4755494594573975,-1.5519213676452637,0.28518953919410706,0.36972829699516296,0.33358141779899597,1.6528384685516357,1.0,0.0,0.0,0.0,0.0
val,-0.24155722558498383,0.45358943939208984,0.3609931468963623,-3.2264790534973145,2.245659351348877,-2.3229355812072754,-0.284075528383255,-0.8972288966178894,0.48103809356689453,2.6381211280822754,0.0,1.0,0.0,0.0,0.0
val,0.8435286283493042,0.5471821427345276,0.739578902721405,-3.3062374591827393,-0.1816381961107254,-1.6756815910339355,1.57731032371521,-0.3575076460838318,1.2443677186965942,0.03902556747198105,0.0,0.0,1.0,0.0,0.0
val,0.023491065949201584,1.7718579769134521,1.4928054809570312,-3.694744825363159,0.4887414872646332,-1.5004565715789795,-0.5646412968635559,1.4478719234466553,1.7603000402450562,-0.23162104189395905,0.0,0.0,0.0,1.0,0.0
val,-0.7670819759368896,2.078091621398926,3.195305585861206,-3.2400288581848145,2.1689414978027344,-0.1869487464427948,-1.8930786848068237,-0.762877881526947,1.2196635007858276,2.934546947479248,0.0,0.0,0.0,0.0,1.0
val,0.16933400928974152,0.6045476198196411,-0.2461206614971161,-2.9824438095092773,1.8469593524932861,-1.1199792623519897,0.7026287913322449,-0.9128602743148804,-0.008727658540010452,1.7283351421356201,1.0,0.0,0.0,0.0,0.0
val,0.14145153760910034,0.06387442350387573,-0.10964848846197128,-2.9756648540496826,1.520477533340454,-0.5435271859169006,0.2808437943458557,-0.07678531855344772,1.8361434936523438,1.7267478704452515,0.0,1.0,0.0,0.0,0.0
val,-0.48212718963623047,0.9218639731407166,0.11416759341955185,-2.9339487552642822,-0.5986542701721191,-0.3616405427455902,1.1200106143951416,-1.3564481735229492,-0.20501142740249634,3.1742849349975586,0.0,0.0,1.0,0.0,0.0
val,0.10465797781944275,1.3916877508163452,-0.07554164528846741,-3.3736181259155273,1.632041096687317,-2.10396671295166,2.1239376068115234,-1.349191665649414,3.6470987796783447,1.164870262145996,0.0,0.0,0.0,1.0,0.0
val,0.09827017784118652,-1.9149291515350342,0.77348393201828,-1.5037779808044434,3.533849000930786,-1.5735381841659546,2.8541882038116455,-0.8643583655357361,-0.3004816472530365,3.780693531036377,0.0,0.0,0.0,0.0,1.0
val,0.4225776791572571,0.8755353093147278,-0.18683341145515442,-2.3865582942962646,0.8726154565811157,-0.9780314564704895,0.8265016674995422,-0.4607042968273163,0.0027801720425486565,1.7557928562164307,1.0,0.0,0.0,0.0,0.0
val,-0.16333720088005066,1.684030294418335,-0.6192113161087036,-2.1057980060577393,2.0090973377227783,-1.0365149974822998,-0.08731692284345627,-1.1686949729919434,1.0115735530853271,1.8163291215896606,0.0,1.0,0.0,0.0,0.0
val,1.853766679763794,0.9964133501052856,1.1828547716140747,-3.3277080059051514,1.0336670875549316,0.2578757703304291,0.5280780792236328,-0.8883075714111328,-0.4368928074836731,1.7692354917526245,0.0,0.0,1.0,0.0,0.0
val,-0.6392425894737244,-0.38646432757377625,1.5966228246688843,-2.570812702178955,-0.9660859107971191,-0.9564356207847595,-0.1521022617816925,1.4510068893432617,-0.7766935229301453,1.7830842733383179,0.0,0.0,0.0,1.0,0.0
val,1.880403757095337,-1.2511765956878662,-1.9899905920028687,-3.789231061935425,0.5160736441612244,1.8420435190200806,0.0318242572247982,-0.08998153358697891,-0.876724362373352,2.4336891174316406,0.0,0.0,0.0,0.0,1.0
val,0.5494712591171265,0.5896238088607788,-0.17870737612247467,-3.562950849533081,1.5626111030578613,-1.6226500272750854,1.1010844707489014,-0.2759999632835388,0.289233922958374,2.0396382808685303,1.0,0.0,0.0,0.0,0.0
val,-1.0229520797729492,1.5894825458526611,-0.02205832488834858,-2.645007848739624,0.9809499979019165,-0.571577787399292,0.42743831872940063,-1.067897915840149,0.7386071681976318,2.021144390106201,0.0,1.0,0.0,0.0,0.0
val,-0.4316214919090271,-1.5894041061401367,0.02525738812983036,-2.930828332901001,0.9799514412879944,-2.3235065937042236,0.5301887392997742,0.8655651211738586,-0.2764676511287689,2.255875825881958,0.0,0.0,1.0,0.0,0.0
